"time","shuffle_write_bytes_total","executor"
"2021-08-01 22:09:59.243+00",10302132,"0"
"2021-08-01 22:09:59.243+00",14074,"4"
"2021-08-01 22:10:29.243+00",13309621,"0"
"2021-08-01 22:10:29.243+00",12591314,"5"
"2021-08-01 22:10:29.243+00",13388594,"1"
"2021-08-01 22:10:29.243+00",12847618,"3"
"2021-08-01 22:10:29.243+00",14347,"4"
"2021-08-01 22:10:29.243+00",13130792,"2"
"2021-08-01 22:10:59.243+00",16589296,"1"
"2021-08-01 22:10:59.243+00",14920,"4"
"2021-08-01 22:10:59.243+00",16394865,"2"
"2021-08-01 22:10:59.243+00",16638839,"0"
"2021-08-01 22:10:59.243+00",15716776,"5"
"2021-08-01 22:10:59.243+00",16052248,"3"
"2021-08-01 22:11:29.243+00",19714130,"3"
"2021-08-01 22:11:29.243+00",20360232,"0"
"2021-08-01 22:11:29.243+00",20098174,"2"
"2021-08-01 22:11:29.243+00",15641,"4"
"2021-08-01 22:11:29.243+00",20262559,"1"
"2021-08-01 22:11:29.243+00",19327243,"5"
"2021-08-01 22:11:59.243+00",21960705,"3"
"2021-08-01 22:11:59.243+00",22690061,"0"
"2021-08-01 22:11:59.243+00",22384376,"2"
"2021-08-01 22:11:59.243+00",16214,"4"
"2021-08-01 22:11:59.243+00",21480422,"5"
"2021-08-01 22:11:59.243+00",22503381,"1"
"2021-08-01 22:12:29.243+00",24860842,"3"
"2021-08-01 22:12:29.243+00",25744051,"0"
"2021-08-01 22:12:29.243+00",25342251,"2"
"2021-08-01 22:12:29.243+00",17085,"4"
"2021-08-01 22:12:29.243+00",25426944,"1"
"2021-08-01 22:12:29.243+00",24394786,"5"
"2021-08-01 22:12:59.243+00",27763781,"5"
"2021-08-01 22:12:59.243+00",28756148,"1"
"2021-08-01 22:12:59.243+00",17956,"4"
"2021-08-01 22:12:59.243+00",28713558,"2"
"2021-08-01 22:12:59.243+00",29217418,"0"
"2021-08-01 22:12:59.243+00",28168059,"3"
"2021-08-01 22:13:29.243+00",31945794,"1"
"2021-08-01 22:13:29.243+00",31365002,"3"
"2021-08-01 22:13:29.243+00",31949392,"2"
"2021-08-01 22:13:29.243+00",32512905,"0"
"2021-08-01 22:13:29.243+00",18677,"4"
"2021-08-01 22:13:29.243+00",31001513,"5"
"2021-08-01 22:13:59.243+00",32695569,"3"
"2021-08-01 22:13:59.243+00",32338180,"5"
"2021-08-01 22:13:59.243+00",33252319,"1"
"2021-08-01 22:13:59.243+00",33325899,"2"
"2021-08-01 22:13:59.243+00",33919588,"0"
"2021-08-01 22:13:59.243+00",19100,"4"
"2021-08-01 22:14:29.243+00",34033702,"0"
"2021-08-01 22:14:29.243+00",32450929,"5"
"2021-08-01 22:14:29.243+00",33364795,"1"
"2021-08-01 22:14:29.243+00",32808045,"3"
"2021-08-01 22:14:29.243+00",33438375,"2"
"2021-08-01 22:14:29.243+00",19673,"4"
"2021-08-01 22:14:59.243+00",20096,"4"
"2021-08-01 22:14:59.243+00",32591797,"5"
"2021-08-01 22:14:59.243+00",32947821,"3"
"2021-08-01 22:14:59.243+00",33505936,"1"
"2021-08-01 22:14:59.243+00",33579243,"2"
"2021-08-01 22:14:59.243+00",34174570,"0"
"2021-08-01 22:15:29.243+00",33613225,"1"
"2021-08-01 22:15:29.243+00",33055110,"3"
"2021-08-01 22:15:29.243+00",20519,"4"
"2021-08-01 22:15:29.243+00",33685167,"2"
"2021-08-01 22:15:29.243+00",34282132,"0"
"2021-08-01 22:15:29.243+00",32699905,"5"
"2021-08-01 22:15:59.243+00",20792,"4"
"2021-08-01 22:15:59.243+00",33761334,"2"
"2021-08-01 22:15:59.243+00",33129912,"3"
"2021-08-01 22:15:59.243+00",33689119,"1"
"2021-08-01 22:15:59.243+00",32776618,"5"
"2021-08-01 22:15:59.243+00",34358845,"0"
"2021-08-01 22:16:29.243+00",34994000,"2"
"2021-08-01 22:16:29.243+00",33993875,"5"
"2021-08-01 22:16:29.243+00",34897225,"1"
"2021-08-01 22:16:29.243+00",34359694,"3"
"2021-08-01 22:16:29.243+00",35614242,"0"
"2021-08-01 22:16:29.243+00",21698,"4"
"2021-08-01 22:16:59.243+00",35766471,"3"
"2021-08-01 22:16:59.243+00",36286738,"1"
"2021-08-01 22:16:59.243+00",35394734,"5"
"2021-08-01 22:16:59.243+00",21971,"4"
"2021-08-01 22:16:59.243+00",36420770,"2"
"2021-08-01 22:16:59.243+00",37047099,"0"
"2021-08-01 22:17:29.243+00",22394,"4"
"2021-08-01 22:17:29.243+00",37189415,"2"
"2021-08-01 22:17:29.243+00",37838554,"0"
"2021-08-01 22:17:29.243+00",36524775,"3"
"2021-08-01 22:17:29.243+00",36134417,"5"
"2021-08-01 22:17:29.243+00",37023924,"1"
"2021-08-01 22:17:59.243+00",37485806,"3"
"2021-08-01 22:17:59.243+00",37981399,"1"
"2021-08-01 22:17:59.243+00",22967,"4"
"2021-08-01 22:17:59.243+00",38172174,"2"
"2021-08-01 22:17:59.243+00",38833457,"0"
"2021-08-01 22:17:59.243+00",37094765,"5"
"2021-08-01 22:18:29.243+00",39801333,"2"
"2021-08-01 22:18:29.243+00",23390,"4"
"2021-08-01 22:18:29.243+00",38694662,"5"
"2021-08-01 22:18:29.243+00",40480529,"0"
"2021-08-01 22:18:29.243+00",39090326,"3"
"2021-08-01 22:18:29.243+00",39579816,"1"
"2021-08-01 22:18:59.243+00",23813,"4"
"2021-08-01 22:18:59.243+00",41881938,"0"
"2021-08-01 22:18:59.243+00",41181053,"2"
"2021-08-01 22:18:59.243+00",40064257,"5"
"2021-08-01 22:18:59.243+00",40939450,"1"
"2021-08-01 22:18:59.243+00",40441868,"3"
"2021-08-01 22:19:29.243+00",42593085,"0"
"2021-08-01 22:19:29.243+00",24086,"4"
"2021-08-01 22:19:29.243+00",41099602,"3"
"2021-08-01 22:19:29.243+00",41615263,"1"
"2021-08-01 22:19:29.243+00",40735009,"5"
"2021-08-01 22:19:29.243+00",41867256,"2"
"2021-08-01 22:19:59.243+00",43063864,"2"
"2021-08-01 22:19:59.243+00",42284128,"3"
"2021-08-01 22:19:59.243+00",42763607,"1"
"2021-08-01 22:19:59.243+00",41907967,"5"
"2021-08-01 22:19:59.243+00",43773026,"0"
"2021-08-01 22:19:59.243+00",24659,"4"
"2021-08-01 22:20:29.243+00",45298972,"0"
"2021-08-01 22:20:29.243+00",25415,"4"
"2021-08-01 22:20:29.243+00",44548084,"2"
"2021-08-01 22:20:29.243+00",43740961,"3"
"2021-08-01 22:20:29.243+00",43397956,"5"
"2021-08-01 22:20:29.243+00",44246168,"1"
"2021-08-01 22:20:59.243+00",45519135,"1"
"2021-08-01 22:20:59.243+00",25688,"4"
"2021-08-01 22:20:59.243+00",46588922,"0"
"2021-08-01 22:20:59.243+00",45834828,"2"
"2021-08-01 22:20:59.243+00",44678129,"5"
"2021-08-01 22:20:59.243+00",45004205,"3"
"2021-08-01 22:21:29.243+00",46110556,"2"
"2021-08-01 22:21:29.243+00",45791837,"1"
"2021-08-01 22:21:29.243+00",44954037,"5"
"2021-08-01 22:21:29.243+00",46871726,"0"
"2021-08-01 22:21:29.243+00",45279218,"3"
"2021-08-01 22:21:29.243+00",26411,"4"
"2021-08-01 22:21:59.243+00",45376679,"3"
"2021-08-01 22:21:59.243+00",45052317,"5"
"2021-08-01 22:21:59.243+00",46970825,"0"
"2021-08-01 22:21:59.243+00",46207198,"2"
"2021-08-01 22:21:59.243+00",26684,"4"
"2021-08-01 22:21:59.243+00",45888206,"1"
"2021-08-01 22:22:29.243+00",45494615,"3"
"2021-08-01 22:22:29.243+00",27257,"4"
"2021-08-01 22:22:29.243+00",47090126,"0"
"2021-08-01 22:22:29.243+00",46325407,"2"
"2021-08-01 22:22:29.243+00",45170799,"5"
"2021-08-01 22:22:29.243+00",46006415,"1"
"2021-08-01 22:22:59.243+00",45583340,"3"
"2021-08-01 22:22:59.243+00",47179670,"0"
"2021-08-01 22:22:59.243+00",46413313,"2"
"2021-08-01 22:22:59.243+00",27680,"4"
"2021-08-01 22:22:59.243+00",45259797,"5"
"2021-08-01 22:22:59.243+00",46095140,"1"
"2021-08-01 22:23:29.243+00",46195331,"1"
"2021-08-01 22:23:29.243+00",47280953,"0"
"2021-08-01 22:23:29.243+00",45360807,"5"
"2021-08-01 22:23:29.243+00",28103,"4"
"2021-08-01 22:23:29.243+00",46513777,"2"
"2021-08-01 22:23:29.243+00",45683531,"3"
"2021-08-01 22:23:59.243+00",45769799,"3"
"2021-08-01 22:23:59.243+00",46279415,"1"
"2021-08-01 22:23:59.243+00",28376,"4"
"2021-08-01 22:23:59.243+00",46600045,"2"
"2021-08-01 22:23:59.243+00",47369678,"0"
"2021-08-01 22:23:59.243+00",45447348,"5"
"2021-08-01 22:24:29.243+00",46380425,"1"
"2021-08-01 22:24:29.243+00",46701055,"2"
"2021-08-01 22:24:29.243+00",47471507,"0"
"2021-08-01 22:24:29.243+00",28949,"4"
"2021-08-01 22:24:29.243+00",45871082,"3"
"2021-08-01 22:24:29.243+00",45549177,"5"
"2021-08-01 22:24:59.243+00",46797697,"2"
"2021-08-01 22:24:59.243+00",45646638,"5"
"2021-08-01 22:24:59.243+00",46477067,"1"
"2021-08-01 22:24:59.243+00",45966905,"3"
"2021-08-01 22:24:59.243+00",29372,"4"
"2021-08-01 22:24:59.243+00",47568422,"0"
"2021-08-01 22:25:29.243+00",29795,"4"
"2021-08-01 22:25:29.243+00",47627117,"0"
"2021-08-01 22:25:29.243+00",46855846,"2"
"2021-08-01 22:25:29.243+00",45704514,"5"
"2021-08-01 22:25:29.243+00",46534124,"1"
"2021-08-01 22:25:29.243+00",46022324,"3"
"2021-08-01 22:25:59.243+00",46624487,"1"
"2021-08-01 22:25:59.243+00",45795969,"5"
"2021-08-01 22:25:59.243+00",30517,"4"
"2021-08-01 22:25:59.243+00",47720210,"0"
"2021-08-01 22:25:59.243+00",46947301,"2"
"2021-08-01 22:25:59.243+00",46112960,"3"
"2021-08-01 22:26:29.243+00",50020831,"5"
"2021-08-01 22:26:29.243+00",50349039,"3"
"2021-08-01 22:26:29.243+00",52127396,"0"
"2021-08-01 22:26:29.243+00",51239630,"2"
"2021-08-01 22:26:29.243+00",31090,"4"
"2021-08-01 22:26:29.243+00",50808821,"1"
"2021-08-01 22:26:59.243+00",54825947,"2"
"2021-08-01 22:26:59.243+00",55758247,"0"
"2021-08-01 22:26:59.243+00",53876140,"3"
"2021-08-01 22:26:59.243+00",54321078,"1"
"2021-08-01 22:26:59.243+00",53560333,"5"
"2021-08-01 22:26:59.243+00",31363,"4"
"2021-08-01 22:27:29.243+00",55256891,"3"
"2021-08-01 22:27:29.243+00",54968024,"5"
"2021-08-01 22:27:29.243+00",57259136,"0"
"2021-08-01 22:27:29.243+00",56266819,"2"
"2021-08-01 22:27:29.243+00",31786,"4"
"2021-08-01 22:27:29.243+00",55705706,"1"
"2021-08-01 22:27:59.243+00",57846975,"5"
"2021-08-01 22:27:59.243+00",59199968,"2"
"2021-08-01 22:27:59.243+00",32359,"4"
"2021-08-01 22:27:59.243+00",58557644,"1"
"2021-08-01 22:27:59.243+00",58153459,"3"
"2021-08-01 22:27:59.243+00",60237487,"0"
"2021-08-01 22:28:29.243+00",63351754,"2"
"2021-08-01 22:28:29.243+00",61984191,"5"
"2021-08-01 22:28:29.243+00",62685975,"1"
"2021-08-01 22:28:29.243+00",62241639,"3"
"2021-08-01 22:28:29.243+00",64466229,"0"
"2021-08-01 22:28:29.243+00",32782,"4"
"2021-08-01 22:28:59.243+00",66442678,"2"
"2021-08-01 22:28:59.243+00",33055,"4"
"2021-08-01 22:28:59.243+00",65030752,"5"
"2021-08-01 22:28:59.243+00",67589623,"0"
"2021-08-01 22:28:59.243+00",65722636,"1"
"2021-08-01 22:28:59.243+00",65234572,"3"
"2021-08-01 22:29:29.243+00",66757925,"5"
"2021-08-01 22:29:29.243+00",67452380,"1"
"2021-08-01 22:29:29.243+00",66944455,"3"
"2021-08-01 22:29:29.243+00",69397864,"0"
"2021-08-01 22:29:29.243+00",68205157,"2"
"2021-08-01 22:29:29.243+00",33205,"4"
"2021-08-01 22:29:59.245+00",69570511,"5"
"2021-08-01 22:29:59.245+00",72318214,"0"
"2021-08-01 22:29:59.245+00",71130841,"2"
"2021-08-01 22:29:59.245+00",34051,"4"
"2021-08-01 22:29:59.245+00",70252337,"1"
"2021-08-01 22:29:59.245+00",69778319,"3"
"2021-08-01 22:30:29.243+00",76510399,"0"
"2021-08-01 22:30:29.243+00",75197410,"2"
"2021-08-01 22:30:29.243+00",34474,"4"
"2021-08-01 22:30:29.243+00",73657987,"5"
"2021-08-01 22:30:29.243+00",74321833,"1"
"2021-08-01 22:30:29.243+00",73773670,"3"
"2021-08-01 22:30:59.248+00",78316033,"2"
"2021-08-01 22:30:59.248+00",34747,"4"
"2021-08-01 22:30:59.248+00",76752612,"5"
"2021-08-01 22:30:59.248+00",77381509,"1"
"2021-08-01 22:30:59.248+00",76834479,"3"
"2021-08-01 22:30:59.248+00",79667671,"0"
"2021-08-01 22:31:29.243+00",77108472,"5"
"2021-08-01 22:31:29.243+00",80034232,"0"
"2021-08-01 22:31:29.243+00",78675088,"2"
"2021-08-01 22:31:29.243+00",35470,"4"
"2021-08-01 22:31:29.243+00",77185202,"3"
"2021-08-01 22:31:29.243+00",77737771,"1"
"2021-08-01 22:31:59.243+00",77228046,"5"
"2021-08-01 22:31:59.243+00",77857072,"1"
"2021-08-01 22:31:59.243+00",77304230,"3"
"2021-08-01 22:31:59.243+00",80154625,"0"
"2021-08-01 22:31:59.243+00",78794662,"2"
"2021-08-01 22:31:59.243+00",35743,"4"
"2021-08-01 22:32:29.243+00",77344617,"5"
"2021-08-01 22:32:29.243+00",80271196,"0"
"2021-08-01 22:32:29.243+00",78910687,"2"
"2021-08-01 22:32:29.243+00",36316,"4"
"2021-08-01 22:32:29.243+00",77973097,"1"
"2021-08-01 22:32:29.243+00",77419163,"3"
"2021-08-01 22:32:59.243+00",77450541,"5"
"2021-08-01 22:32:59.243+00",80377120,"0"
"2021-08-01 22:32:59.243+00",79014973,"2"
"2021-08-01 22:32:59.243+00",36739,"4"
"2021-08-01 22:32:59.243+00",78078475,"1"
"2021-08-01 22:32:59.243+00",77524814,"3"
"2021-08-01 22:33:29.243+00",79039270,"2"
"2021-08-01 22:33:29.243+00",37162,"4"
"2021-08-01 22:33:29.243+00",77475930,"5"
"2021-08-01 22:33:29.243+00",77545835,"3"
"2021-08-01 22:33:29.243+00",80404147,"0"
"2021-08-01 22:33:29.243+00",78103045,"1"
"2021-08-01 22:33:59.243+00",77599872,"5"
"2021-08-01 22:33:59.243+00",77669777,"3"
"2021-08-01 22:33:59.243+00",78227260,"1"
"2021-08-01 22:33:59.243+00",80530000,"0"
"2021-08-01 22:33:59.243+00",79163758,"2"
"2021-08-01 22:33:59.243+00",37435,"4"
"2021-08-01 22:34:29.243+00",77716989,"5"
"2021-08-01 22:34:29.243+00",77786894,"3"
"2021-08-01 22:34:29.243+00",80648482,"0"
"2021-08-01 22:34:29.243+00",79280329,"2"
"2021-08-01 22:34:29.243+00",38008,"4"
"2021-08-01 22:34:29.243+00",78344104,"1"
"2021-08-01 22:34:59.243+00",77817726,"5"
"2021-08-01 22:34:59.243+00",77887358,"3"
"2021-08-01 22:34:59.243+00",78444568,"1"
"2021-08-01 22:34:59.243+00",80749765,"0"
"2021-08-01 22:34:59.243+00",79380793,"2"
"2021-08-01 22:34:59.243+00",38431,"4"
"2021-08-01 22:35:29.243+00",77937573,"5"
"2021-08-01 22:35:29.243+00",78007205,"3"
"2021-08-01 22:35:29.243+00",78564142,"1"
"2021-08-01 22:35:29.243+00",80869612,"0"
"2021-08-01 22:35:29.243+00",79501186,"2"
"2021-08-01 22:35:29.243+00",38854,"4"
"2021-08-01 22:35:59.245+00",79244416,"5"
"2021-08-01 22:35:59.245+00",79872712,"1"
"2021-08-01 22:35:59.245+00",79323439,"3"
"2021-08-01 22:35:59.245+00",80825492,"2"
"2021-08-01 22:35:59.245+00",39610,"4"
"2021-08-01 22:35:59.245+00",82209156,"0"
"2021-08-01 22:36:29.243+00",80798029,"5"
"2021-08-01 22:36:29.243+00",81423305,"1"
"2021-08-01 22:36:29.243+00",80885831,"3"
"2021-08-01 22:36:29.243+00",83827221,"0"
"2021-08-01 22:36:29.243+00",82417128,"2"
"2021-08-01 22:36:29.243+00",40424,"4"
"2021-08-01 22:36:59.247+00",82081467,"5"
"2021-08-01 22:36:59.247+00",82700283,"1"
"2021-08-01 22:36:59.247+00",82177027,"3"
"2021-08-01 22:36:59.247+00",85145887,"0"
"2021-08-01 22:36:59.247+00",83704246,"2"
"2021-08-01 22:36:59.247+00",41180,"4"
"2021-08-01 22:37:29.243+00",83516185,"5"
"2021-08-01 22:37:29.243+00",84143298,"1"
"2021-08-01 22:37:29.243+00",83624429,"3"
"2021-08-01 22:37:29.243+00",86617280,"0"
"2021-08-01 22:37:29.243+00",85165230,"2"
"2021-08-01 22:37:29.243+00",41453,"4"
"2021-08-01 22:37:59.243+00",42026,"4"
"2021-08-01 22:37:59.243+00",84708109,"5"
"2021-08-01 22:37:59.243+00",85322915,"1"
"2021-08-01 22:37:59.243+00",84845697,"3"
"2021-08-01 22:37:59.243+00",87832808,"0"
"2021-08-01 22:37:59.243+00",86397056,"2"
"2021-08-01 22:38:29.243+00",86365140,"5"
"2021-08-01 22:38:29.243+00",86976306,"1"
"2021-08-01 22:38:29.243+00",86456848,"3"
"2021-08-01 22:38:29.243+00",89535816,"0"
"2021-08-01 22:38:29.243+00",88021244,"2"
"2021-08-01 22:38:29.243+00",42449,"4"
"2021-08-01 22:38:59.243+00",90962107,"0"
"2021-08-01 22:38:59.243+00",42722,"4"
"2021-08-01 22:38:59.243+00",89449050,"2"
"2021-08-01 22:38:59.243+00",87766564,"5"
"2021-08-01 22:38:59.243+00",88378146,"1"
"2021-08-01 22:38:59.243+00",87862212,"3"
"2021-08-01 22:39:29.248+00",88828526,"5"
"2021-08-01 22:39:29.248+00",43145,"4"
"2021-08-01 22:39:29.248+00",92038218,"0"
"2021-08-01 22:39:29.248+00",90505956,"2"
"2021-08-01 22:39:29.248+00",89424502,"1"
"2021-08-01 22:39:29.248+00",88902739,"3"
"2021-08-01 22:39:59.243+00",90403122,"5"
"2021-08-01 22:39:59.243+00",90476676,"3"
"2021-08-01 22:39:59.243+00",90995585,"1"
"2021-08-01 22:39:59.243+00",92105057,"2"
"2021-08-01 22:39:59.243+00",93655584,"0"
"2021-08-01 22:39:59.243+00",43718,"4"
"2021-08-01 22:40:29.243+00",43991,"4"
"2021-08-01 22:40:29.243+00",91808086,"3"
"2021-08-01 22:40:29.243+00",95031684,"0"
"2021-08-01 22:40:29.243+00",91720433,"5"
"2021-08-01 22:40:29.243+00",93459996,"2"
"2021-08-01 22:40:29.243+00",92338609,"1"
"2021-08-01 22:40:59.243+00",95535558,"0"
"2021-08-01 22:40:59.243+00",92830102,"1"
"2021-08-01 22:40:59.243+00",92300232,"3"
"2021-08-01 22:40:59.243+00",93952879,"2"
"2021-08-01 22:40:59.243+00",44714,"4"
"2021-08-01 22:40:59.243+00",92213240,"5"
"2021-08-01 22:41:29.243+00",95667690,"0"
"2021-08-01 22:41:29.243+00",94085284,"2"
"2021-08-01 22:41:29.243+00",45137,"4"
"2021-08-01 22:41:29.243+00",92431272,"3"
"2021-08-01 22:41:29.243+00",92962234,"1"
"2021-08-01 22:41:29.243+00",92344280,"5"
"2021-08-01 22:41:59.243+00",92452293,"3"
"2021-08-01 22:41:59.243+00",45410,"4"
"2021-08-01 22:41:59.243+00",94108489,"2"
"2021-08-01 22:41:59.243+00",95691987,"0"
"2021-08-01 22:41:59.243+00",92985712,"1"
"2021-08-01 22:41:59.243+00",92367758,"5"
"2021-08-01 22:42:29.243+00",92564769,"3"
"2021-08-01 22:42:29.243+00",45983,"4"
"2021-08-01 22:42:29.243+00",94221784,"2"
"2021-08-01 22:42:29.243+00",95806920,"0"
"2021-08-01 22:42:29.243+00",92480507,"5"
"2021-08-01 22:42:29.243+00",93099280,"1"
"2021-08-01 22:42:59.243+00",95919669,"0"
"2021-08-01 22:42:59.243+00",92674788,"3"
"2021-08-01 22:42:59.243+00",93210391,"1"
"2021-08-01 22:42:59.243+00",94332622,"2"
"2021-08-01 22:42:59.243+00",46406,"4"
"2021-08-01 22:42:59.243+00",92589161,"5"
"2021-08-01 22:43:29.243+00",93301300,"1"
"2021-08-01 22:43:29.243+00",96011124,"0"
"2021-08-01 22:43:29.243+00",92679251,"5"
"2021-08-01 22:43:29.243+00",92765424,"3"
"2021-08-01 22:43:29.243+00",94422985,"2"
"2021-08-01 22:43:29.243+00",46829,"4"
"2021-08-01 22:43:59.243+00",96127968,"0"
"2021-08-01 22:43:59.243+00",94538464,"2"
"2021-08-01 22:43:59.243+00",47102,"4"
"2021-08-01 22:43:59.243+00",92880630,"3"
"2021-08-01 22:43:59.243+00",93417871,"1"
"2021-08-01 22:43:59.243+00",92794457,"5"
"2021-08-01 22:44:29.243+00",94657219,"2"
"2021-08-01 22:44:29.243+00",92913212,"5"
"2021-08-01 22:44:29.243+00",47675,"4"
"2021-08-01 22:44:29.243+00",92999658,"3"
"2021-08-01 22:44:29.243+00",93537172,"1"
"2021-08-01 22:44:29.243+00",96248907,"0"
"2021-08-01 22:44:59.243+00",94767238,"2"
"2021-08-01 22:44:59.243+00",93110223,"3"
"2021-08-01 22:44:59.243+00",93646918,"1"
"2021-08-01 22:44:59.243+00",93022412,"5"
"2021-08-01 22:44:59.243+00",48098,"4"
"2021-08-01 22:44:59.243+00",96360564,"0"
"2021-08-01 22:45:29.243+00",96469764,"0"
"2021-08-01 22:45:29.243+00",93131066,"5"
"2021-08-01 22:45:29.243+00",93755299,"1"
"2021-08-01 22:45:29.243+00",93218331,"3"
"2021-08-01 22:45:29.243+00",94875619,"2"
"2021-08-01 22:45:29.243+00",48521,"4"
"2021-08-01 22:45:59.243+00",93334356,"3"
"2021-08-01 22:45:59.243+00",48794,"4"
"2021-08-01 22:45:59.243+00",94991917,"2"
"2021-08-01 22:45:59.243+00",96586881,"0"
"2021-08-01 22:45:59.243+00",93246545,"5"
"2021-08-01 22:45:59.243+00",93871324,"1"
"2021-08-01 22:46:29.243+00",96702087,"0"
"2021-08-01 22:46:29.243+00",95106850,"2"
"2021-08-01 22:46:29.243+00",49367,"4"
"2021-08-01 22:46:29.243+00",93360386,"5"
"2021-08-01 22:46:29.243+00",93985165,"1"
"2021-08-01 22:46:29.243+00",93448470,"3"
"2021-08-01 22:46:59.243+00",49640,"4"
"2021-08-01 22:46:59.243+00",95210590,"2"
"2021-08-01 22:46:59.243+00",96806646,"0"
"2021-08-01 22:46:59.243+00",93463034,"5"
"2021-08-01 22:46:59.243+00",94088905,"1"
"2021-08-01 22:46:59.243+00",93552483,"3"
"2021-08-01 22:47:29.243+00",93664959,"3"
"2021-08-01 22:47:29.243+00",93575237,"5"
"2021-08-01 22:47:29.243+00",96918849,"0"
"2021-08-01 22:47:29.243+00",95323339,"2"
"2021-08-01 22:47:29.243+00",50213,"4"
"2021-08-01 22:47:29.243+00",94202200,"1"
"2021-08-01 22:47:59.243+00",97020678,"0"
"2021-08-01 22:47:59.243+00",93765969,"3"
"2021-08-01 22:47:59.243+00",94302664,"1"
"2021-08-01 22:47:59.243+00",93674882,"5"
"2021-08-01 22:47:59.243+00",50486,"4"
"2021-08-01 22:47:59.243+00",95424895,"2"
"2021-08-01 22:48:29.243+00",93787904,"5"
"2021-08-01 22:48:29.243+00",51059,"4"
"2021-08-01 22:48:29.243+00",95539009,"2"
"2021-08-01 22:48:29.243+00",97135884,"0"
"2021-08-01 22:48:29.243+00",93879537,"3"
"2021-08-01 22:48:29.243+00",94416505,"1"
"2021-08-01 22:48:59.243+00",51482,"4"
"2021-08-01 22:48:59.243+00",97162365,"0"
"2021-08-01 22:48:59.243+00",93900831,"3"
"2021-08-01 22:48:59.243+00",94439710,"1"
"2021-08-01 22:48:59.243+00",93809471,"5"
"2021-08-01 22:48:59.243+00",95561941,"2"
"2021-08-01 22:49:29.243+00",97293132,"0"
"2021-08-01 22:49:29.243+00",95693254,"2"
"2021-08-01 22:49:29.243+00",51905,"4"
"2021-08-01 22:49:29.243+00",94030506,"3"
"2021-08-01 22:49:29.243+00",94570477,"1"
"2021-08-01 22:49:29.243+00",93938873,"5"
"2021-08-01 22:49:59.243+00",97409976,"0"
"2021-08-01 22:49:59.243+00",95809006,"2"
"2021-08-01 22:49:59.243+00",52178,"4"
"2021-08-01 22:49:59.243+00",94053533,"5"
"2021-08-01 22:49:59.243+00",94686229,"1"
"2021-08-01 22:49:59.243+00",94145712,"3"
