"time","last_batch_records_per_sec"
"2021-08-01 22:16:10.373+00",10624.5
"2021-08-01 22:16:20.373+00",7998.5
"2021-08-01 22:16:30.373+00",7999
"2021-08-01 22:16:40.373+00",7963
"2021-08-01 22:16:50.382+00",9748
"2021-08-01 22:17:00.373+00",6753.5
"2021-08-01 22:17:10.373+00",6811.5
"2021-08-01 22:17:20.373+00",6539.5
"2021-08-01 22:17:30.373+00",7998.5
"2021-08-01 22:17:40.373+00",5927
"2021-08-01 22:17:50.373+00",11876.5
"2021-08-01 22:18:00.373+00",9080
"2021-08-01 22:18:10.373+00",8001.5
"2021-08-01 22:18:20.373+00",6581
"2021-08-01 22:18:30.373+00",7782.5
"2021-08-01 22:18:40.373+00",7995.5
"2021-08-01 22:18:50.373+00",7995
"2021-08-01 22:19:00.373+00",11213.5
"2021-08-01 22:19:10.373+00",6176.5
"2021-08-01 22:19:20.373+00",4942.5
"2021-08-01 22:19:30.373+00",8001
"2021-08-01 22:19:40.373+00",4801
"2021-08-01 22:19:50.373+00",5985
"2021-08-01 22:20:00.373+00",7992
"2021-08-01 22:20:10.373+00",9376.5
"2021-08-01 22:20:20.373+00",5734
"2021-08-01 22:20:30.373+00",7765
"2021-08-01 22:20:40.373+00",7994.5
"2021-08-01 22:20:50.388+00",8003
"2021-08-01 22:21:00.373+00",10976
"2021-08-01 22:21:10.373+00",11255
"2021-08-01 22:21:20.373+00",763
"2021-08-01 22:21:30.373+00",10224
"2021-08-01 22:21:40.39+00",8034
"2021-08-01 22:21:50.373+00",7997
"2021-08-01 22:22:00.373+00",7995
"2021-08-01 22:22:10.373+00",7996.5
"2021-08-01 22:22:20.373+00",7999.5
"2021-08-01 22:22:30.373+00",8031.5
"2021-08-01 22:22:40.373+00",7999.5
"2021-08-01 22:22:50.373+00",8002
"2021-08-01 22:23:00.373+00",8005.5
"2021-08-01 22:23:10.373+00",7998
"2021-08-01 22:23:20.373+00",8001
"2021-08-01 22:23:30.373+00",8001.5
"2021-08-01 22:23:40.373+00",7995.5
"2021-08-01 22:23:50.373+00",7996
"2021-08-01 22:24:00.373+00",8268.5
"2021-08-01 22:24:10.373+00",20684.5
"2021-08-01 22:24:20.373+00",15990.5
"2021-08-01 22:24:30.373+00",15997.5
"2021-08-01 22:24:40.373+00",16006.5
"2021-08-01 22:24:50.375+00",15998
"2021-08-01 22:25:00.373+00",15988
"2021-08-01 22:25:10.378+00",16010.5
"2021-08-01 22:25:20.373+00",16006
"2021-08-01 22:25:30.373+00",15990.5
"2021-08-01 22:25:40.373+00",15995.5
"2021-08-01 22:25:50.373+00",15999
"2021-08-01 22:26:00.373+00",15993.5
"2021-08-01 22:26:10.373+00",16035
"2021-08-01 22:26:20.373+00",22378.5
"2021-08-01 22:26:30.373+00",12720.5
"2021-08-01 22:26:40.373+00",15995
"2021-08-01 22:26:50.373+00",15997.5
"2021-08-01 22:27:00.373+00",13684
"2021-08-01 22:27:10.373+00",950.5
"2021-08-01 22:27:20.373+00",25406
"2021-08-01 22:27:30.373+00",13555
"2021-08-01 22:27:40.373+00",839.5
"2021-08-01 22:27:50.373+00",16637.5
"2021-08-01 22:28:00.373+00",15990.5
"2021-08-01 22:28:10.373+00",19087.5
"2021-08-01 22:28:20.373+00",12504
"2021-08-01 22:28:30.373+00",15998.5
"2021-08-01 22:28:40.373+00",15990
"2021-08-01 22:28:50.373+00",16000
"2021-08-01 22:29:00.373+00",23161.5
"2021-08-01 22:29:10.381+00",12540
"2021-08-01 22:29:20.373+00",14055
"2021-08-01 22:29:30.373+00",7126.5
"2021-08-01 22:29:40.373+00",20256
"2021-08-01 22:29:50.373+00",17776
"2021-08-01 22:30:00.373+00",15999
"2021-08-01 22:30:10.373+00",18675.5
"2021-08-01 22:30:20.373+00",9341
"2021-08-01 22:30:30.373+00",12991
"2021-08-01 22:30:40.373+00",15992.5
"2021-08-01 22:30:50.373+00",16004
"2021-08-01 22:31:00.373+00",24474.5
"2021-08-01 22:31:10.373+00",13132
"2021-08-01 22:31:20.373+00",705
"2021-08-01 22:31:30.373+00",13257
"2021-08-01 22:31:40.377+00",15999
"2021-08-01 22:31:50.373+00",15997
"2021-08-01 22:32:00.373+00",15995
"2021-08-01 22:32:10.373+00",20167
"2021-08-01 22:32:20.373+00",15997.5
"2021-08-01 22:32:30.373+00",15999
"2021-08-01 22:32:40.373+00",15999
"2021-08-01 22:32:50.373+00",16010
"2021-08-01 22:33:00.373+00",15992
"2021-08-01 22:33:10.373+00",15995
"2021-08-01 22:33:20.373+00",15998
"2021-08-01 22:33:30.373+00",18042
"2021-08-01 22:33:40.373+00",15997.5
"2021-08-01 22:33:50.373+00",15995.5
"2021-08-01 22:34:00.373+00",15998
"2021-08-01 22:34:10.373+00",20548.5
"2021-08-01 22:34:20.373+00",15997.5
"2021-08-01 22:34:30.373+00",15899
"2021-08-01 22:34:40.373+00",15989.5
"2021-08-01 22:34:50.373+00",16004
"2021-08-01 22:35:00.373+00",15993
"2021-08-01 22:35:10.377+00",16008
"2021-08-01 22:35:20.373+00",17170
"2021-08-01 22:35:30.373+00",15989
"2021-08-01 22:35:40.373+00",15994
"2021-08-01 22:35:50.373+00",16012
"2021-08-01 22:36:00.373+00",15989
"2021-08-01 22:36:10.373+00",15986
"2021-08-01 22:36:20.373+00",11855.5
"2021-08-01 22:36:30.373+00",12230
"2021-08-01 22:36:40.373+00",32299
"2021-08-01 22:36:50.373+00",15999
"2021-08-01 22:37:00.373+00",26758
"2021-08-01 22:37:10.373+00",369
"2021-08-01 22:37:20.373+00",20060
"2021-08-01 22:37:30.373+00",15988.5
"2021-08-01 22:37:40.373+00",11378
"2021-08-01 22:37:50.373+00",16000
"2021-08-01 22:38:00.373+00",26615.5
"2021-08-01 22:38:10.373+00",17819
"2021-08-01 22:38:20.373+00",3279
"2021-08-01 22:38:30.373+00",12781
"2021-08-01 22:38:40.373+00",16004.5
"2021-08-01 22:38:50.373+00",15994.5
"2021-08-01 22:39:00.373+00",14539.5
"2021-08-01 22:39:10.373+00",18674
"2021-08-01 22:39:20.373+00",8930.5
"2021-08-01 22:39:30.373+00",17765
"2021-08-01 22:39:40.373+00",20691
"2021-08-01 22:39:50.376+00",16014
"2021-08-01 22:40:00.373+00",15990.5
"2021-08-01 22:40:10.373+00",15978
"2021-08-01 22:40:20.373+00",13019
"2021-08-01 22:40:30.373+00",4158
"2021-08-01 22:40:40.373+00",8053.5
"2021-08-01 22:40:50.373+00",15986
"2021-08-01 22:41:00.373+00",15994.5
"2021-08-01 22:41:10.373+00",16007
"2021-08-01 22:41:20.373+00",16000.5
"2021-08-01 22:41:30.373+00",15997
"2021-08-01 22:41:40.373+00",16004
"2021-08-01 22:41:50.373+00",16002
"2021-08-01 22:42:00.373+00",16002
"2021-08-01 22:42:10.373+00",19939
"2021-08-01 22:42:20.373+00",15640
"2021-08-01 22:42:30.373+00",15994
"2021-08-01 22:42:40.373+00",16003.5
"2021-08-01 22:42:50.38+00",16010
"2021-08-01 22:43:00.373+00",16002.5
"2021-08-01 22:43:10.373+00",16001.5
"2021-08-01 22:43:20.373+00",15990
"2021-08-01 22:43:30.373+00",15988
"2021-08-01 22:43:40.373+00",16018.5
"2021-08-01 22:43:50.373+00",15955.5
"2021-08-01 22:44:00.373+00",15991
"2021-08-01 22:44:10.373+00",21567.5
"2021-08-01 22:44:20.373+00",16001
"2021-08-01 22:44:30.373+00",16001
"2021-08-01 22:44:40.373+00",16005
"2021-08-01 22:44:50.373+00",15999
"2021-08-01 22:45:00.373+00",15996
"2021-08-01 22:45:10.373+00",16004.5
"2021-08-01 22:45:20.373+00",16000
"2021-08-01 22:45:30.383+00",15889.5
"2021-08-01 22:45:40.373+00",15996
"2021-08-01 22:45:50.373+00",16028
"2021-08-01 22:46:00.373+00",16006.5
"2021-08-01 22:46:10.373+00",21548.5
"2021-08-01 22:46:20.38+00",15998.5
"2021-08-01 22:46:30.373+00",15991
"2021-08-01 22:46:40.373+00",16008.5
"2021-08-01 22:46:50.373+00",16012.5
"2021-08-01 22:47:00.373+00",15978.5
"2021-08-01 22:47:10.377+00",2957
"2021-08-01 22:47:20.373+00",15997.5
"2021-08-01 22:47:30.373+00",15989
"2021-08-01 22:47:40.373+00",15992
"2021-08-01 22:47:50.373+00",15993.5
"2021-08-01 22:48:00.373+00",15993.5
"2021-08-01 22:48:10.373+00",22481.5
"2021-08-01 22:48:20.373+00",15994
"2021-08-01 22:48:30.373+00",15993.5
"2021-08-01 22:48:40.373+00",15988.5
"2021-08-01 22:48:50.373+00",15998.5
"2021-08-01 22:49:00.373+00",16394.5
"2021-08-01 22:49:10.373+00",16003
"2021-08-01 22:49:20.373+00",16026
"2021-08-01 22:49:30.373+00",15789.5
"2021-08-01 22:49:40.373+00",15998
"2021-08-01 22:49:50.373+00",16011.5
"2021-08-01 22:50:00.373+00",15992.5
"2021-08-01 22:50:10.379+00",22840.5
"2021-08-01 22:50:20.373+00",15992
"2021-08-01 22:50:30.373+00",15997.5
"2021-08-01 22:50:40.373+00",16002
"2021-08-01 22:50:50.373+00",17015.5
"2021-08-01 22:51:00.373+00",15987.5
"2021-08-01 22:51:10.373+00",16003
"2021-08-01 22:51:20.377+00",16000.5
"2021-08-01 22:51:30.373+00",15991.5
"2021-08-01 22:51:40.373+00",15999.5
"2021-08-01 22:51:50.381+00",16001
"2021-08-01 22:52:00.373+00",15993.5
"2021-08-01 22:52:10.382+00",20684.5
"2021-08-01 22:52:20.373+00",8085.5
"2021-08-01 22:52:30.382+00",7975
"2021-08-01 22:52:40.373+00",1549.5
"2021-08-01 22:52:50.373+00",8000
"2021-08-01 22:53:00.381+00",7997
"2021-08-01 22:53:10.373+00",0
"2021-08-01 22:53:20.373+00",0
"2021-08-01 22:53:30.373+00",0
"2021-08-01 22:53:40.373+00",0
"2021-08-01 22:53:50.383+00",0
"2021-08-01 22:54:00.373+00",0
"2021-08-01 22:54:10.373+00",0
"2021-08-01 22:54:20.373+00",0
"2021-08-01 22:54:30.373+00",0
"2021-08-01 22:54:40.373+00",0
"2021-08-01 22:54:50.382+00",0
"2021-08-01 22:55:00.381+00",1000
"2021-08-01 22:55:10.373+00",1000.5
"2021-08-01 22:55:20.381+00",1000
"2021-08-01 22:55:30.382+00",1000
"2021-08-01 22:55:40.373+00",1001.5
"2021-08-01 22:55:50.373+00",1000
"2021-08-01 22:56:00.373+00",1000
"2021-08-01 22:56:10.373+00",1001
"2021-08-01 22:56:20.373+00",999.5
"2021-08-01 22:56:30.373+00",1000
"2021-08-01 22:56:40.373+00",999.5
"2021-08-01 22:56:50.373+00",976.5
"2021-08-01 22:57:00.373+00",999
"2021-08-01 22:57:10.375+00",999.5
"2021-08-01 22:57:20.373+00",1000
"2021-08-01 22:57:30.373+00",1000
"2021-08-01 22:57:40.373+00",1008.5
"2021-08-01 22:57:50.392+00",1000
"2021-08-01 22:58:00.376+00",1000
"2021-08-01 22:58:10.386+00",1000.5
"2021-08-01 22:58:20.373+00",1000
"2021-08-01 22:58:30.373+00",999.5
"2021-08-01 22:58:40.381+00",1000
"2021-08-01 22:58:50.373+00",1005.5
"2021-08-01 22:59:00.373+00",1000
"2021-08-01 22:59:10.373+00",1000.5
"2021-08-01 22:59:20.373+00",1000
"2021-08-01 22:59:30.373+00",1001
"2021-08-01 22:59:40.373+00",24.5
"2021-08-01 22:59:50.373+00",1025
"2021-08-01 23:00:00.373+00",999.5
"2021-08-01 23:00:10.38+00",1009.5
"2021-08-01 23:00:20.377+00",1287.5
"2021-08-01 23:00:30.373+00",999.5
"2021-08-01 23:00:40.373+00",1000
"2021-08-01 23:00:50.373+00",1386.5
"2021-08-01 23:01:00.373+00",901
"2021-08-01 23:01:10.373+00",1000
"2021-08-01 23:01:20.373+00",1000
"2021-08-01 23:01:30.373+00",995.5
"2021-08-01 23:01:40.373+00",623.5
"2021-08-01 23:01:50.373+00",1000
"2021-08-01 23:02:00.373+00",1000
"2021-08-01 23:02:10.373+00",1208
"2021-08-01 23:02:20.373+00",999
"2021-08-01 23:02:30.373+00",1000
"2021-08-01 23:02:40.373+00",1000.5
"2021-08-01 23:02:50.373+00",1048
"2021-08-01 23:03:00.373+00",659.5
"2021-08-01 23:03:10.373+00",1000.5
"2021-08-01 23:03:20.373+00",999.5
"2021-08-01 23:03:30.373+00",1189.5
"2021-08-01 23:03:40.373+00",1260
"2021-08-01 23:03:50.373+00",1000.5
"2021-08-01 23:04:00.373+00",1000
"2021-08-01 23:04:10.373+00",1028
"2021-08-01 23:04:20.377+00",1000.5
"2021-08-01 23:04:30.373+00",1000
"2021-08-01 23:04:40.373+00",1000.5
"2021-08-01 23:04:50.373+00",1000
"2021-08-01 23:05:00.373+00",1000
"2021-08-01 23:05:10.392+00",1000
"2021-08-01 23:05:20.381+00",1000
"2021-08-01 23:05:30.373+00",1000
"2021-08-01 23:05:40.373+00",1000
"2021-08-01 23:05:50.373+00",1000
"2021-08-01 23:06:00.373+00",1000
"2021-08-01 23:06:10.373+00",1030
"2021-08-01 23:06:20.373+00",999.5
"2021-08-01 23:06:30.373+00",1000
"2021-08-01 23:06:40.373+00",1000
"2021-08-01 23:06:50.373+00",1262.5
"2021-08-01 23:07:00.373+00",1014
"2021-08-01 23:07:10.373+00",1000.5
"2021-08-01 23:07:20.373+00",1000
"2021-08-01 23:07:30.373+00",999.5
"2021-08-01 23:07:40.381+00",1432
"2021-08-01 23:07:50.373+00",1194.5
"2021-08-01 23:08:00.373+00",999.5
"2021-08-01 23:08:10.373+00",1186
"2021-08-01 23:08:20.373+00",650
"2021-08-01 23:08:30.373+00",1000
"2021-08-01 23:08:40.373+00",1000
"2021-08-01 23:08:50.373+00",1125.5
"2021-08-01 23:09:00.375+00",843.5
"2021-08-01 23:09:10.373+00",999.5
"2021-08-01 23:09:20.373+00",1000
"2021-08-01 23:09:30.373+00",1160.5
"2021-08-01 23:09:40.373+00",1149
"2021-08-01 23:09:50.373+00",1000.5
"2021-08-01 23:10:00.373+00",1000
"2021-08-01 23:10:10.376+00",1166.5
"2021-08-01 23:10:20.382+00",1236.5
"2021-08-01 23:10:30.373+00",1000.5
"2021-08-01 23:10:40.373+00",1000
"2021-08-01 23:10:50.373+00",1178.5
"2021-08-01 23:11:00.373+00",1000
"2021-08-01 23:11:10.382+00",1000
"2021-08-01 23:11:20.376+00",1000
"2021-08-01 23:11:30.373+00",1000
"2021-08-01 23:11:40.373+00",999.5
"2021-08-01 23:11:50.373+00",1000
"2021-08-01 23:12:00.382+00",1000
"2021-08-01 23:12:10.378+00",1000
"2021-08-01 23:12:20.373+00",1000
"2021-08-01 23:12:30.373+00",1000
"2021-08-01 23:12:40.373+00",1000
"2021-08-01 23:12:50.383+00",1000
"2021-08-01 23:13:00.373+00",1000.5
"2021-08-01 23:13:10.377+00",994.5
"2021-08-01 23:13:20.382+00",1000
"2021-08-01 23:13:30.381+00",1000.5
"2021-08-01 23:13:40.373+00",1000
"2021-08-01 23:13:50.373+00",1000
"2021-08-01 23:14:00.373+00",999
"2021-08-01 23:14:10.373+00",1000.5
"2021-08-01 23:14:20.373+00",1000.5
"2021-08-01 23:14:30.373+00",999.5
"2021-08-01 23:14:40.373+00",1000
"2021-08-01 23:14:50.373+00",1000
