"time","processing_time"
"2021-08-01 22:43:40.373+00",16
"2021-08-01 22:43:50.373+00",72
"2021-08-01 22:44:00.373+00",48
"2021-08-01 22:44:10.373+00",14
"2021-08-01 22:44:20.373+00",18
"2021-08-01 22:44:30.373+00",17
"2021-08-01 22:44:40.373+00",17
"2021-08-01 22:44:50.373+00",19
"2021-08-01 22:45:00.373+00",18
"2021-08-01 22:45:10.373+00",18
"2021-08-01 22:45:20.373+00",18
"2021-08-01 22:45:30.383+00",94
"2021-08-01 22:45:40.373+00",14
"2021-08-01 22:45:50.373+00",18
"2021-08-01 22:46:00.373+00",19
"2021-08-01 22:46:10.373+00",74
"2021-08-01 22:46:20.38+00",17
"2021-08-01 22:46:30.373+00",73
"2021-08-01 22:46:40.373+00",15
"2021-08-01 22:46:50.373+00",16
"2021-08-01 22:47:00.373+00",19
"2021-08-01 22:47:10.377+00",524
"2021-08-01 22:47:20.373+00",15
"2021-08-01 22:47:30.373+00",17
"2021-08-01 22:47:40.373+00",13
"2021-08-01 22:47:50.373+00",18
"2021-08-01 22:48:00.373+00",22
"2021-08-01 22:48:10.373+00",12
"2021-08-01 22:48:20.373+00",18
"2021-08-01 22:48:30.373+00",18
"2021-08-01 22:48:40.373+00",19
"2021-08-01 22:48:50.373+00",15
"2021-08-01 22:49:00.373+00",101
"2021-08-01 22:49:10.373+00",18
"2021-08-01 22:49:20.373+00",17
"2021-08-01 22:49:30.373+00",17
"2021-08-01 22:49:40.373+00",14
"2021-08-01 22:49:50.373+00",22
"2021-08-01 22:50:00.373+00",21
"2021-08-01 22:50:10.379+00",14
"2021-08-01 22:50:20.373+00",17
"2021-08-01 22:50:30.373+00",16
"2021-08-01 22:50:40.373+00",18
"2021-08-01 22:50:50.373+00",107
"2021-08-01 22:51:00.373+00",18
"2021-08-01 22:51:10.373+00",18
"2021-08-01 22:51:20.377+00",19
"2021-08-01 22:51:30.373+00",18
"2021-08-01 22:51:40.373+00",16
"2021-08-01 22:51:50.381+00",19
"2021-08-01 22:52:00.373+00",19
"2021-08-01 22:52:10.382+00",15
"2021-08-01 22:52:20.373+00",21
"2021-08-01 22:52:30.382+00",17
"2021-08-01 22:52:40.373+00",523
"2021-08-01 22:52:50.373+00",16
"2021-08-01 22:53:00.381+00",16
"2021-08-01 22:53:10.373+00",16
"2021-08-01 22:53:20.373+00",18
"2021-08-01 22:53:30.373+00",16
"2021-08-01 22:53:40.373+00",17
"2021-08-01 22:53:50.383+00",17
"2021-08-01 22:54:00.373+00",22
"2021-08-01 22:54:10.373+00",18
"2021-08-01 22:54:20.373+00",17
"2021-08-01 22:54:30.373+00",17
"2021-08-01 22:54:40.373+00",19
"2021-08-01 22:54:50.382+00",18
"2021-08-01 22:55:00.381+00",17
"2021-08-01 22:55:10.373+00",20
"2021-08-01 22:55:20.381+00",19
"2021-08-01 22:55:30.382+00",18
"2021-08-01 22:55:40.373+00",16
"2021-08-01 22:55:50.373+00",20
"2021-08-01 22:56:00.373+00",19
"2021-08-01 22:56:10.373+00",17
"2021-08-01 22:56:20.373+00",19
"2021-08-01 22:56:30.373+00",13
"2021-08-01 22:56:40.373+00",20
"2021-08-01 22:56:50.373+00",84
"2021-08-01 22:57:00.373+00",17
"2021-08-01 22:57:10.375+00",19
"2021-08-01 22:57:20.373+00",20
"2021-08-01 22:57:30.373+00",16
"2021-08-01 22:57:40.373+00",19
"2021-08-01 22:57:50.392+00",22
"2021-08-01 22:58:00.376+00",20
"2021-08-01 22:58:10.386+00",16
"2021-08-01 22:58:20.373+00",16
"2021-08-01 22:58:30.373+00",18
"2021-08-01 22:58:40.381+00",22
"2021-08-01 22:58:50.373+00",643
"2021-08-01 22:59:00.373+00",583
"2021-08-01 22:59:10.373+00",530
"2021-08-01 22:59:20.373+00",480
"2021-08-01 22:59:30.373+00",5359
"2021-08-01 22:59:40.373+00",578
"2021-08-01 22:59:50.373+00",223
"2021-08-01 23:00:00.373+00",477
"2021-08-01 23:00:10.38+00",1818
"2021-08-01 23:00:20.377+00",314
"2021-08-01 23:00:30.373+00",473
"2021-08-01 23:00:40.373+00",481
"2021-08-01 23:00:50.373+00",1627
"2021-08-01 23:01:00.373+00",322
"2021-08-01 23:01:10.373+00",426
"2021-08-01 23:01:20.373+00",392
"2021-08-01 23:01:30.373+00",5188
"2021-08-01 23:01:40.373+00",1041
"2021-08-01 23:01:50.373+00",486
"2021-08-01 23:02:00.373+00",488
"2021-08-01 23:02:10.373+00",1236
"2021-08-01 23:02:20.373+00",493
"2021-08-01 23:02:30.373+00",498
"2021-08-01 23:02:40.373+00",493
"2021-08-01 23:02:50.373+00",1166
"2021-08-01 23:03:00.373+00",226
"2021-08-01 23:03:10.373+00",451
"2021-08-01 23:03:20.373+00",458
"2021-08-01 23:03:30.373+00",1234
"2021-08-01 23:03:40.373+00",289
"2021-08-01 23:03:50.373+00",26
"2021-08-01 23:04:00.373+00",19
"2021-08-01 23:04:10.373+00",196
"2021-08-01 23:04:20.377+00",16
"2021-08-01 23:04:30.373+00",16
"2021-08-01 23:04:40.373+00",19
"2021-08-01 23:04:50.373+00",16
"2021-08-01 23:05:00.373+00",17
"2021-08-01 23:05:10.392+00",18
"2021-08-01 23:05:20.381+00",20
"2021-08-01 23:05:30.373+00",16
"2021-08-01 23:05:40.373+00",31
"2021-08-01 23:05:50.373+00",18
"2021-08-01 23:06:00.373+00",23
"2021-08-01 23:06:10.373+00",14
"2021-08-01 23:06:20.373+00",606
"2021-08-01 23:06:30.373+00",533
"2021-08-01 23:06:40.373+00",496
"2021-08-01 23:06:50.373+00",1474
"2021-08-01 23:07:00.373+00",209
"2021-08-01 23:07:10.373+00",429
"2021-08-01 23:07:20.373+00",411
"2021-08-01 23:07:30.373+00",1693
"2021-08-01 23:07:40.381+00",3085
"2021-08-01 23:07:50.373+00",205
"2021-08-01 23:08:00.373+00",414
"2021-08-01 23:08:10.373+00",1277
"2021-08-01 23:08:20.373+00",183
"2021-08-01 23:08:30.373+00",429
"2021-08-01 23:08:40.373+00",451
"2021-08-01 23:08:50.373+00",1245
"2021-08-01 23:09:00.375+00",300
"2021-08-01 23:09:10.373+00",391
"2021-08-01 23:09:20.373+00",382
"2021-08-01 23:09:30.373+00",1180
"2021-08-01 23:09:40.373+00",1115
"2021-08-01 23:09:50.373+00",411
"2021-08-01 23:10:00.373+00",432
"2021-08-01 23:10:10.376+00",1247
"2021-08-01 23:10:20.382+00",719
"2021-08-01 23:10:30.373+00",417
"2021-08-01 23:10:40.373+00",640
"2021-08-01 23:10:50.373+00",1525
"2021-08-01 23:11:00.373+00",407
"2021-08-01 23:11:10.382+00",384
"2021-08-01 23:11:20.376+00",21
"2021-08-01 23:11:30.373+00",21
"2021-08-01 23:11:40.373+00",16
"2021-08-01 23:11:50.373+00",17
"2021-08-01 23:12:00.382+00",19
"2021-08-01 23:12:10.378+00",188
"2021-08-01 23:12:20.373+00",18
"2021-08-01 23:12:30.373+00",18
"2021-08-01 23:12:40.373+00",21
"2021-08-01 23:12:50.383+00",17
"2021-08-01 23:13:00.373+00",16
"2021-08-01 23:13:10.377+00",18
"2021-08-01 23:13:20.382+00",19
"2021-08-01 23:13:30.381+00",16
"2021-08-01 23:13:40.373+00",17
"2021-08-01 23:13:50.373+00",18
"2021-08-01 23:14:00.373+00",19
"2021-08-01 23:14:10.373+00",15
"2021-08-01 23:14:20.373+00",21
"2021-08-01 23:14:30.373+00",23
"2021-08-01 23:14:40.373+00",19
"2021-08-01 23:14:50.373+00",22
