"time","on_heap_mem_used_mb"
"2021-08-01 22:18:30.373+00",136
"2021-08-01 22:18:40.373+00",143
"2021-08-01 22:18:50.373+00",152
"2021-08-01 22:19:00.373+00",155
"2021-08-01 22:19:10.373+00",154
"2021-08-01 22:19:20.373+00",148
"2021-08-01 22:19:30.373+00",154
"2021-08-01 22:19:40.373+00",152
"2021-08-01 22:19:50.373+00",145
"2021-08-01 22:20:00.373+00",141
"2021-08-01 22:20:10.373+00",148
"2021-08-01 22:20:20.373+00",146
"2021-08-01 22:20:30.373+00",136
"2021-08-01 22:20:40.373+00",144
"2021-08-01 22:20:50.388+00",154
"2021-08-01 22:21:00.373+00",156
"2021-08-01 22:21:10.373+00",154
"2021-08-01 22:21:20.373+00",148
"2021-08-01 22:21:30.373+00",141
"2021-08-01 22:21:40.39+00",137
"2021-08-01 22:21:50.373+00",134
"2021-08-01 22:22:00.373+00",130
"2021-08-01 22:22:10.373+00",131
"2021-08-01 22:22:20.373+00",118
"2021-08-01 22:22:30.373+00",119
"2021-08-01 22:22:40.373+00",121
"2021-08-01 22:22:50.373+00",120
"2021-08-01 22:23:00.373+00",121
"2021-08-01 22:23:10.373+00",121
"2021-08-01 22:23:20.373+00",121
"2021-08-01 22:23:30.373+00",118
"2021-08-01 22:23:40.373+00",121
"2021-08-01 22:23:50.373+00",121
"2021-08-01 22:24:00.373+00",123
"2021-08-01 22:24:10.373+00",141
"2021-08-01 22:24:20.373+00",153
"2021-08-01 22:24:30.373+00",166
"2021-08-01 22:24:40.373+00",181
"2021-08-01 22:24:50.375+00",196
"2021-08-01 22:25:00.373+00",209
"2021-08-01 22:25:10.378+00",224
"2021-08-01 22:25:20.373+00",238
"2021-08-01 22:25:30.373+00",235
"2021-08-01 22:25:40.373+00",237
"2021-08-01 22:25:50.373+00",237
"2021-08-01 22:26:00.373+00",237
"2021-08-01 22:26:10.373+00",256
"2021-08-01 22:26:20.373+00",266
"2021-08-01 22:26:30.373+00",264
"2021-08-01 22:26:40.373+00",275
"2021-08-01 22:26:50.373+00",293
"2021-08-01 22:27:00.373+00",318
"2021-08-01 22:27:10.373+00",324
"2021-08-01 22:27:20.373+00",324
"2021-08-01 22:27:30.373+00",326
"2021-08-01 22:27:40.373+00",307
"2021-08-01 22:27:50.373+00",287
"2021-08-01 22:28:00.373+00",288
"2021-08-01 22:28:10.373+00",299
"2021-08-01 22:28:20.373+00",288
"2021-08-01 22:28:30.373+00",278
"2021-08-01 22:28:40.373+00",286
"2021-08-01 22:28:50.373+00",312
"2021-08-01 22:29:00.373+00",325
"2021-08-01 22:29:10.381+00",325
"2021-08-01 22:29:20.373+00",328
"2021-08-01 22:29:30.373+00",322
"2021-08-01 22:29:40.373+00",315
"2021-08-01 22:29:50.373+00",289
"2021-08-01 22:30:00.373+00",285
"2021-08-01 22:30:10.373+00",296
"2021-08-01 22:30:20.373+00",291
"2021-08-01 22:30:30.373+00",282
"2021-08-01 22:30:40.373+00",295
"2021-08-01 22:30:50.373+00",308
"2021-08-01 22:31:00.373+00",325
"2021-08-01 22:31:10.373+00",319
"2021-08-01 22:31:20.373+00",306
"2021-08-01 22:31:30.373+00",276
"2021-08-01 22:31:40.377+00",273
"2021-08-01 22:31:50.373+00",266
"2021-08-01 22:32:00.373+00",255
"2021-08-01 22:32:10.373+00",243
"2021-08-01 22:32:20.373+00",234
"2021-08-01 22:32:30.373+00",228
"2021-08-01 22:32:40.373+00",233
"2021-08-01 22:32:50.373+00",237
"2021-08-01 22:33:00.373+00",237
"2021-08-01 22:33:10.373+00",237
"2021-08-01 22:33:20.373+00",237
"2021-08-01 22:33:30.373+00",235
"2021-08-01 22:33:40.373+00",237
"2021-08-01 22:33:50.373+00",237
"2021-08-01 22:34:00.373+00",236
"2021-08-01 22:34:10.373+00",237
"2021-08-01 22:34:20.373+00",237
"2021-08-01 22:34:30.373+00",237
"2021-08-01 22:34:40.373+00",237
"2021-08-01 22:34:50.373+00",237
"2021-08-01 22:35:00.373+00",237
"2021-08-01 22:35:10.377+00",238
"2021-08-01 22:35:20.373+00",244
"2021-08-01 22:35:30.373+00",235
"2021-08-01 22:35:40.373+00",238
"2021-08-01 22:35:50.373+00",241
"2021-08-01 22:36:00.373+00",246
"2021-08-01 22:36:10.373+00",261
"2021-08-01 22:36:20.373+00",267
"2021-08-01 22:36:30.373+00",259
"2021-08-01 22:36:40.373+00",277
"2021-08-01 22:36:50.373+00",280
"2021-08-01 22:37:00.373+00",284
"2021-08-01 22:37:10.373+00",281
"2021-08-01 22:37:20.373+00",271
"2021-08-01 22:37:30.373+00",278
"2021-08-01 22:37:40.373+00",268
"2021-08-01 22:37:50.373+00",267
"2021-08-01 22:38:00.373+00",278
"2021-08-01 22:38:10.373+00",280
"2021-08-01 22:38:20.373+00",280
"2021-08-01 22:38:30.373+00",255
"2021-08-01 22:38:40.373+00",270
"2021-08-01 22:38:50.373+00",284
"2021-08-01 22:39:00.373+00",278
"2021-08-01 22:39:10.373+00",286
"2021-08-01 22:39:20.373+00",278
"2021-08-01 22:39:30.373+00",277
"2021-08-01 22:39:40.373+00",270
"2021-08-01 22:39:50.376+00",266
"2021-08-01 22:40:00.373+00",266
"2021-08-01 22:40:10.373+00",280
"2021-08-01 22:40:20.373+00",279
"2021-08-01 22:40:30.373+00",288
"2021-08-01 22:40:40.373+00",266
"2021-08-01 22:40:50.373+00",277
"2021-08-01 22:41:00.373+00",258
"2021-08-01 22:41:10.373+00",256
"2021-08-01 22:41:20.373+00",252
"2021-08-01 22:41:30.373+00",247
"2021-08-01 22:41:40.373+00",243
"2021-08-01 22:41:50.373+00",237
"2021-08-01 22:42:00.373+00",240
"2021-08-01 22:42:10.373+00",237
"2021-08-01 22:42:20.373+00",238
"2021-08-01 22:42:30.373+00",237
"2021-08-01 22:42:40.373+00",238
"2021-08-01 22:42:50.38+00",238
"2021-08-01 22:43:00.373+00",237
"2021-08-01 22:43:10.373+00",238
"2021-08-01 22:43:20.373+00",238
"2021-08-01 22:43:30.373+00",236
"2021-08-01 22:43:40.373+00",238
"2021-08-01 22:43:50.373+00",239
"2021-08-01 22:44:00.373+00",238
"2021-08-01 22:44:10.373+00",240
"2021-08-01 22:44:20.373+00",238
"2021-08-01 22:44:30.373+00",238
"2021-08-01 22:44:40.373+00",239
"2021-08-01 22:44:50.373+00",239
"2021-08-01 22:45:00.373+00",239
"2021-08-01 22:45:10.373+00",239
"2021-08-01 22:45:20.373+00",239
"2021-08-01 22:45:30.383+00",235
"2021-08-01 22:45:40.373+00",238
"2021-08-01 22:45:50.373+00",237
"2021-08-01 22:46:00.373+00",236
"2021-08-01 22:46:10.373+00",238
"2021-08-01 22:46:20.38+00",236
"2021-08-01 22:46:30.373+00",236
"2021-08-01 22:46:40.373+00",236
"2021-08-01 22:46:50.373+00",236
"2021-08-01 22:47:00.373+00",236
"2021-08-01 22:47:10.377+00",247
"2021-08-01 22:47:20.373+00",237
"2021-08-01 22:47:30.373+00",234
"2021-08-01 22:47:40.373+00",237
"2021-08-01 22:47:50.373+00",237
"2021-08-01 22:48:00.373+00",236
"2021-08-01 22:48:10.373+00",239
"2021-08-01 22:48:20.373+00",237
"2021-08-01 22:48:30.373+00",235
"2021-08-01 22:48:40.373+00",238
"2021-08-01 22:48:50.373+00",238
"2021-08-01 22:49:00.373+00",239
"2021-08-01 22:49:10.373+00",237
"2021-08-01 22:49:20.373+00",237
"2021-08-01 22:49:30.373+00",234
"2021-08-01 22:49:40.373+00",237
"2021-08-01 22:49:50.373+00",237
"2021-08-01 22:50:00.373+00",237
"2021-08-01 22:50:10.379+00",242
"2021-08-01 22:50:20.373+00",238
"2021-08-01 22:50:30.373+00",238
"2021-08-01 22:50:40.373+00",239
"2021-08-01 22:50:50.373+00",243
"2021-08-01 22:51:00.373+00",238
"2021-08-01 22:51:10.373+00",239
"2021-08-01 22:51:20.377+00",239
"2021-08-01 22:51:30.373+00",236
"2021-08-01 22:51:40.373+00",239
"2021-08-01 22:51:50.381+00",239
"2021-08-01 22:52:00.373+00",239
"2021-08-01 22:52:10.382+00",239
"2021-08-01 22:52:20.373+00",233
"2021-08-01 22:52:30.382+00",218
"2021-08-01 22:52:40.373+00",213
"2021-08-01 22:52:50.373+00",189
"2021-08-01 22:53:00.381+00",173
"2021-08-01 22:53:10.373+00",145
"2021-08-01 22:53:20.373+00",117
"2021-08-01 22:53:30.373+00",85
"2021-08-01 22:53:40.373+00",63
"2021-08-01 22:53:50.383+00",48
"2021-08-01 22:54:00.373+00",32
"2021-08-01 22:54:10.373+00",18
"2021-08-01 22:54:20.373+00",4
"2021-08-01 22:54:30.373+00",0
"2021-08-01 22:54:40.373+00",0
"2021-08-01 22:54:50.382+00",1
"2021-08-01 22:55:00.381+00",2
"2021-08-01 22:55:10.373+00",4
"2021-08-01 22:55:20.381+00",6
"2021-08-01 22:55:30.382+00",8
"2021-08-01 22:55:40.373+00",10
"2021-08-01 22:55:50.373+00",12
"2021-08-01 22:56:00.373+00",14
"2021-08-01 22:56:10.373+00",16
"2021-08-01 22:56:20.373+00",17
"2021-08-01 22:56:30.373+00",16
"2021-08-01 22:56:40.373+00",17
"2021-08-01 22:56:50.373+00",16
"2021-08-01 22:57:00.373+00",16
"2021-08-01 22:57:10.375+00",16
"2021-08-01 22:57:20.373+00",16
"2021-08-01 22:57:30.373+00",16
"2021-08-01 22:57:40.373+00",16
"2021-08-01 22:57:50.392+00",16
"2021-08-01 22:58:00.376+00",16
"2021-08-01 22:58:10.386+00",16
"2021-08-01 22:58:20.373+00",16
"2021-08-01 22:58:30.373+00",16
"2021-08-01 22:58:40.381+00",16
"2021-08-01 22:58:50.373+00",19
"2021-08-01 22:59:00.373+00",28
"2021-08-01 22:59:10.373+00",38
"2021-08-01 22:59:20.373+00",46
"2021-08-01 22:59:30.373+00",51
"2021-08-01 22:59:40.373+00",55
"2021-08-01 22:59:50.373+00",57
"2021-08-01 23:00:00.373+00",64
"2021-08-01 23:00:10.38+00",72
"2021-08-01 23:00:20.377+00",66
"2021-08-01 23:00:30.373+00",62
"2021-08-01 23:00:40.373+00",62
"2021-08-01 23:00:50.373+00",68
"2021-08-01 23:01:00.373+00",69
"2021-08-01 23:01:10.373+00",73
"2021-08-01 23:01:20.373+00",72
"2021-08-01 23:01:30.373+00",72
"2021-08-01 23:01:40.373+00",63
"2021-08-01 23:01:50.373+00",63
"2021-08-01 23:02:00.373+00",63
"2021-08-01 23:02:10.373+00",63
"2021-08-01 23:02:20.373+00",60
"2021-08-01 23:02:30.373+00",61
"2021-08-01 23:02:40.373+00",62
"2021-08-01 23:02:50.373+00",66
"2021-08-01 23:03:00.373+00",69
"2021-08-01 23:03:10.373+00",68
"2021-08-01 23:03:20.373+00",67
"2021-08-01 23:03:30.373+00",68
"2021-08-01 23:03:40.373+00",69
"2021-08-01 23:03:50.373+00",63
"2021-08-01 23:04:00.373+00",56
"2021-08-01 23:04:10.373+00",51
"2021-08-01 23:04:20.377+00",44
"2021-08-01 23:04:30.373+00",38
"2021-08-01 23:04:40.373+00",32
"2021-08-01 23:04:50.373+00",23
"2021-08-01 23:05:00.373+00",19
"2021-08-01 23:05:10.392+00",16
"2021-08-01 23:05:20.381+00",16
"2021-08-01 23:05:30.373+00",15
"2021-08-01 23:05:40.373+00",16
"2021-08-01 23:05:50.373+00",16
"2021-08-01 23:06:00.373+00",16
"2021-08-01 23:06:10.373+00",16
"2021-08-01 23:06:20.373+00",17
"2021-08-01 23:06:30.373+00",20
"2021-08-01 23:06:40.373+00",22
"2021-08-01 23:06:50.373+00",26
"2021-08-01 23:07:00.373+00",26
"2021-08-01 23:07:10.373+00",29
"2021-08-01 23:07:20.373+00",31
"2021-08-01 23:07:30.373+00",34
"2021-08-01 23:07:40.381+00",36
"2021-08-01 23:07:50.373+00",33
"2021-08-01 23:08:00.373+00",32
"2021-08-01 23:08:10.373+00",33
"2021-08-01 23:08:20.373+00",32
"2021-08-01 23:08:30.373+00",32
"2021-08-01 23:08:40.373+00",33
"2021-08-01 23:08:50.373+00",33
"2021-08-01 23:09:00.375+00",32
"2021-08-01 23:09:10.373+00",34
"2021-08-01 23:09:20.373+00",34
"2021-08-01 23:09:30.373+00",34
"2021-08-01 23:09:40.373+00",34
"2021-08-01 23:09:50.373+00",34
"2021-08-01 23:10:00.373+00",33
"2021-08-01 23:10:10.376+00",34
"2021-08-01 23:10:20.382+00",34
"2021-08-01 23:10:30.373+00",33
"2021-08-01 23:10:40.373+00",33
"2021-08-01 23:10:50.373+00",34
"2021-08-01 23:11:00.373+00",34
"2021-08-01 23:11:10.382+00",34
"2021-08-01 23:11:20.376+00",33
"2021-08-01 23:11:30.373+00",30
"2021-08-01 23:11:40.373+00",29
"2021-08-01 23:11:50.373+00",27
"2021-08-01 23:12:00.382+00",24
"2021-08-01 23:12:10.378+00",23
"2021-08-01 23:12:20.373+00",20
"2021-08-01 23:12:30.373+00",18
"2021-08-01 23:12:40.373+00",16
"2021-08-01 23:12:50.383+00",16
"2021-08-01 23:13:00.373+00",16
"2021-08-01 23:13:10.377+00",16
"2021-08-01 23:13:20.382+00",16
"2021-08-01 23:13:30.381+00",16
"2021-08-01 23:13:40.373+00",16
"2021-08-01 23:13:50.373+00",16
"2021-08-01 23:14:00.373+00",16
"2021-08-01 23:14:10.373+00",16
"2021-08-01 23:14:20.373+00",16
"2021-08-01 23:14:30.373+00",15
"2021-08-01 23:14:40.373+00",16
"2021-08-01 23:14:50.373+00",16
