"time","current_producer_offset"
"2021-07-25 01:10:03.566+00",28737747
"2021-07-25 01:11:03.566+00",29338690
"2021-07-25 01:12:03.566+00",29920989
"2021-07-25 01:13:03.566+00",30526579
"2021-07-25 01:14:03.566+00",31103837
"2021-07-25 01:15:03.566+00",31685434
"2021-07-25 01:16:03.566+00",32267626
"2021-07-25 01:17:03.566+00",32835034
"2021-07-25 01:18:03.566+00",33398710
"2021-07-25 01:19:03.566+00",33994763
"2021-07-25 01:20:03.566+00",34587176
"2021-07-25 01:21:03.566+00",35187330
"2021-07-25 01:22:03.566+00",35757882
"2021-07-25 01:23:03.566+00",36360477
"2021-07-25 01:24:03.566+00",36938934
"2021-07-25 01:25:03.566+00",37550101
"2021-07-25 01:26:03.566+00",38143931
"2021-07-25 01:27:03.566+00",38732917
"2021-07-25 01:28:03.566+00",39309509
"2021-07-25 01:29:03.566+00",39887287
"2021-07-25 01:30:03.566+00",40493919
"2021-07-25 01:31:03.566+00",41085265
"2021-07-25 01:32:03.566+00",41660410
"2021-07-25 01:33:03.566+00",42248534
"2021-07-25 01:34:03.566+00",42840785
"2021-07-25 01:35:03.566+00",43439665
"2021-07-25 01:36:03.566+00",44027737
"2021-07-25 01:37:03.566+00",44616383
"2021-07-25 01:38:03.566+00",45213947
"2021-07-25 01:39:03.566+00",45762203
"2021-07-25 01:40:03.566+00",46349006
"2021-07-25 01:41:03.566+00",46944980
"2021-07-25 01:42:03.566+00",47542696
"2021-07-25 01:43:03.566+00",47799067
"2021-07-25 01:44:03.566+00",47799067
"2021-07-25 01:45:03.566+00",47838393
"2021-07-25 01:46:03.566+00",47898400
"2021-07-25 01:47:03.566+00",47958393
"2021-07-25 01:48:03.566+00",48018392
"2021-07-25 01:49:03.566+00",48078393
"2021-07-25 01:50:03.566+00",48138394
"2021-07-25 01:51:03.566+00",48198392
"2021-07-25 01:52:03.566+00",48258393
"2021-07-25 01:53:03.566+00",48318391
"2021-07-25 01:54:03.566+00",48378392
"2021-07-25 01:55:03.566+00",48438391
"2021-07-25 01:56:03.566+00",48498392
"2021-07-25 01:57:03.566+00",48558391
"2021-07-25 01:58:03.566+00",48618393
"2021-07-25 01:59:03.566+00",48678390
"2021-07-25 02:00:03.566+00",48738392
"2021-07-25 02:01:03.566+00",48798392
"2021-07-25 02:02:03.566+00",48858392
"2021-07-25 02:03:03.566+00",48918394
"2021-07-25 02:04:03.566+00",48978394
"2021-07-25 02:05:03.566+00",49038394
"2021-07-25 02:06:03.566+00",49098393
"2021-07-25 02:07:03.566+00",49158393
"2021-07-25 02:08:03.566+00",49218395
"2021-07-25 02:09:03.566+00",49278394
"2021-07-25 02:10:03.566+00",49338394
"2021-07-25 02:11:03.566+00",49398394
"2021-07-25 02:12:03.566+00",49458393
"2021-07-25 02:13:03.566+00",49518396
"2021-07-25 02:14:03.566+00",49578394
"2021-07-25 02:15:03.566+00",49638395
"2021-07-25 02:16:03.566+00",49698394
"2021-07-25 02:17:03.566+00",49758394
"2021-07-25 02:18:03.566+00",49818395
"2021-07-25 02:19:03.566+00",49878394
"2021-07-25 02:20:03.566+00",49938394
"2021-07-25 02:21:03.566+00",49998393
"2021-07-25 02:22:03.566+00",50058393
"2021-07-25 02:23:03.566+00",50118394
"2021-07-25 02:24:03.566+00",50178393
"2021-07-25 02:25:03.566+00",50238394
"2021-07-25 02:26:03.566+00",50298393
"2021-07-25 02:27:03.566+00",50358394
"2021-07-25 02:28:03.566+00",50418395
"2021-07-25 02:29:03.566+00",50478393
"2021-07-25 02:30:03.566+00",50538394
"2021-07-25 02:31:03.566+00",50598393
"2021-07-25 02:32:03.566+00",50658394
"2021-07-25 02:33:03.566+00",50718393
"2021-07-25 02:34:03.566+00",50778393
"2021-07-25 02:35:03.566+00",50838397
"2021-07-25 02:36:03.566+00",50898395
"2021-07-25 02:37:03.566+00",50958395
"2021-07-25 02:38:03.566+00",51018395
"2021-07-25 02:39:03.566+00",51078394
"2021-07-25 02:40:03.566+00",51138394
"2021-07-25 02:41:03.566+00",51198394
"2021-07-25 02:42:03.566+00",51258395
"2021-07-25 02:43:03.566+00",51318393
"2021-07-25 02:44:03.566+00",51378394
"2021-07-25 02:45:03.566+00",51436617
"2021-07-25 02:46:03.566+00",51496616
"2021-07-25 02:47:03.566+00",51556617
"2021-07-25 02:48:03.566+00",51616621
"2021-07-25 02:49:03.566+00",51676618
"2021-07-25 02:50:03.566+00",51736620
"2021-07-25 02:51:03.566+00",51796618
"2021-07-25 02:52:03.566+00",51856619
"2021-07-25 02:53:03.566+00",51916619
"2021-07-25 02:54:03.566+00",51976618
"2021-07-25 02:55:03.566+00",52036618
"2021-07-25 02:56:03.566+00",52096618
"2021-07-25 02:57:03.566+00",52156618
"2021-07-25 02:58:03.566+00",52216620
"2021-07-25 02:59:03.566+00",52276617
"2021-07-25 03:00:03.566+00",52336619
"2021-07-25 03:01:03.566+00",52396619
"2021-07-25 03:02:03.566+00",52456619
"2021-07-25 03:03:03.566+00",52516625
"2021-07-25 03:04:03.566+00",52576621
"2021-07-25 03:05:03.566+00",52636620
"2021-07-25 03:06:03.566+00",52696618
"2021-07-25 03:07:03.566+00",52756617
"2021-07-25 03:08:03.566+00",52816908
"2021-07-25 03:09:03.812+00",52876964
"2021-07-25 03:10:03.566+00",52936640
"2021-07-25 03:11:03.566+00",52996629
"2021-07-25 03:12:03.566+00",53056618
"2021-07-25 03:13:03.566+00",53116637
"2021-07-25 03:14:03.568+00",53176655
"2021-07-25 03:15:03.566+00",53236630
"2021-07-25 03:16:03.566+00",53296620
"2021-07-25 03:17:03.566+00",53356620
"2021-07-25 03:18:03.566+00",53416628
"2021-07-25 03:19:03.566+00",53476626
"2021-07-25 03:20:03.566+00",53536878
"2021-07-25 03:21:03.566+00",53596626
"2021-07-25 03:22:03.566+00",53656620
"2021-07-25 03:23:03.568+00",53716623
"2021-07-25 03:24:03.566+00",53776621
"2021-07-25 03:25:03.566+00",53836617
"2021-07-25 03:26:03.566+00",53896619
"2021-07-25 03:27:03.566+00",53956620
"2021-07-25 03:28:03.566+00",54016619
"2021-07-25 03:29:03.566+00",54076617
"2021-07-25 03:30:03.566+00",54136617
"2021-07-25 03:31:03.566+00",54196616
"2021-07-25 03:32:03.566+00",54256616
"2021-07-25 03:33:03.566+00",54316618
"2021-07-25 03:34:03.566+00",54376618
"2021-07-25 03:35:03.566+00",54436619
"2021-07-25 03:36:03.566+00",54496618
"2021-07-25 03:37:03.566+00",54556619
"2021-07-25 03:38:03.566+00",54616617
"2021-07-25 03:39:03.566+00",54676619
"2021-07-25 03:40:03.566+00",54736619
"2021-07-25 03:41:03.566+00",54796617
"2021-07-25 03:42:03.566+00",54856618
"2021-07-25 03:43:03.566+00",54916617
"2021-07-25 03:44:03.566+00",54976618
"2021-07-25 03:45:03.566+00",55034526
"2021-07-25 03:46:03.566+00",55094528
"2021-07-25 03:47:03.566+00",55154526
"2021-07-25 03:48:03.566+00",55214527
"2021-07-25 03:49:03.566+00",55274527
"2021-07-25 03:50:03.566+00",55334527
"2021-07-25 03:51:03.566+00",55394526
"2021-07-25 03:52:03.566+00",55454528
"2021-07-25 03:53:03.566+00",55479074
"2021-07-25 03:54:03.566+00",55479074
"2021-07-25 03:55:03.566+00",55824952
"2021-07-25 03:56:03.566+00",56374047
"2021-07-25 03:57:03.566+00",56920887
"2021-07-25 03:58:03.566+00",57484597
"2021-07-25 03:59:03.566+00",58044488
"2021-07-25 04:00:03.566+00",58609074
"2021-07-25 04:01:03.566+00",59175450
"2021-07-25 04:02:03.566+00",59744177
"2021-07-25 04:03:03.566+00",60304196
"2021-07-25 04:04:03.566+00",60831774
"2021-07-25 04:05:03.566+00",61395626
"2021-07-25 04:06:03.566+00",61967295
"2021-07-25 04:07:03.566+00",62525828
"2021-07-25 04:08:03.566+00",63097198
"2021-07-25 04:09:03.566+00",63660881
"2021-07-25 04:10:03.566+00",64219870
"2021-07-25 04:11:03.566+00",64788575
"2021-07-25 04:12:03.566+00",65343101
"2021-07-25 04:13:03.566+00",65898184
"2021-07-25 04:14:03.566+00",66443663
"2021-07-25 04:15:03.566+00",67004172
"2021-07-25 04:16:03.566+00",67569308
"2021-07-25 04:17:03.566+00",68135993
"2021-07-25 04:18:03.566+00",68719859
"2021-07-25 04:19:03.566+00",69289815
"2021-07-25 04:20:03.566+00",69855184
"2021-07-25 04:21:03.566+00",70413027
"2021-07-25 04:22:03.566+00",70983450
"2021-07-25 04:23:03.566+00",71238617
"2021-07-25 04:24:03.566+00",71238617
"2021-07-25 04:25:03.566+00",71276554
"2021-07-25 04:26:03.566+00",71336553
"2021-07-25 04:27:03.566+00",71396553
"2021-07-25 04:28:03.566+00",71456554
"2021-07-25 04:29:03.566+00",71516553
"2021-07-25 04:30:03.566+00",71576553
"2021-07-25 04:31:03.566+00",71636554
"2021-07-25 04:32:03.566+00",71696552
"2021-07-25 04:33:03.566+00",71756552
"2021-07-25 04:34:03.566+00",71816553
"2021-07-25 04:35:03.566+00",71876553
"2021-07-25 04:36:03.566+00",71936553
"2021-07-25 04:37:03.566+00",71996554
"2021-07-25 04:38:03.566+00",72056552
"2021-07-25 04:39:03.566+00",72116553
"2021-07-25 04:40:03.566+00",72176554
"2021-07-25 04:41:03.566+00",72236552
"2021-07-25 04:42:03.566+00",72296552
"2021-07-25 04:43:03.566+00",72356554
"2021-07-25 04:44:03.566+00",72416558
"2021-07-25 04:45:03.566+00",72476552
"2021-07-25 04:46:03.566+00",72536553
"2021-07-25 04:47:03.566+00",72596554
"2021-07-25 04:48:03.566+00",72656552
"2021-07-25 04:49:03.566+00",72716553
"2021-07-25 04:50:03.566+00",72776553
"2021-07-25 04:51:03.566+00",72836551
"2021-07-25 04:52:03.566+00",72896550
"2021-07-25 04:53:03.566+00",72956554
"2021-07-25 04:54:03.566+00",73016554
"2021-07-25 04:55:03.566+00",73076554
"2021-07-25 04:56:03.566+00",73136554
"2021-07-25 04:57:03.566+00",73196554
"2021-07-25 04:58:03.566+00",73256553
"2021-07-25 04:59:03.566+00",73316553
"2021-07-25 05:00:03.569+00",73376627
"2021-07-25 05:01:03.566+00",73436555
"2021-07-25 05:02:03.566+00",73496551
"2021-07-25 05:03:03.566+00",73556553
"2021-07-25 05:04:03.566+00",73616553
"2021-07-25 05:05:03.566+00",73676553
"2021-07-25 05:06:03.566+00",73736553
"2021-07-25 05:07:03.566+00",73796552
"2021-07-25 05:08:03.566+00",73856554
"2021-07-25 05:09:03.566+00",73916552
"2021-07-25 05:10:03.566+00",73976554
"2021-07-25 05:11:03.566+00",74036552
"2021-07-25 05:12:03.566+00",74096552
"2021-07-25 05:13:03.566+00",74156554
"2021-07-25 05:14:03.566+00",74216550
"2021-07-25 05:15:03.566+00",74276554
"2021-07-25 05:16:03.566+00",74336555
"2021-07-25 05:17:03.566+00",74396554
"2021-07-25 05:18:03.566+00",74456555
"2021-07-25 05:19:03.566+00",74516550
"2021-07-25 05:20:03.566+00",74576553
"2021-07-25 05:21:03.566+00",74636554
"2021-07-25 05:22:03.566+00",74646199
"2021-07-25 05:23:03.566+00",74646199
"2021-07-25 05:24:03.566+00",75150963
"2021-07-25 05:25:03.566+00",75733607
"2021-07-25 05:26:03.566+00",76306194
"2021-07-25 05:27:03.566+00",76898345
"2021-07-25 05:28:03.566+00",77457609
"2021-07-25 05:29:03.566+00",78045590
"2021-07-25 05:30:03.566+00",78600331
"2021-07-25 05:31:03.566+00",79180269
"2021-07-25 05:32:03.566+00",79758618
"2021-07-25 05:33:03.566+00",80291222
"2021-07-25 05:34:03.566+00",80849653
"2021-07-25 05:35:03.566+00",81434706
"2021-07-25 05:36:03.566+00",82004797
"2021-07-25 05:37:03.566+00",82581771
"2021-07-25 05:38:03.566+00",83151156
"2021-07-25 05:39:03.566+00",83718396
"2021-07-25 05:40:03.566+00",84277824
"2021-07-25 05:41:03.566+00",84849671
"2021-07-25 05:42:03.566+00",85429779
"2021-07-25 05:43:03.566+00",85960830
"2021-07-25 05:44:03.566+00",86527193
"2021-07-25 05:45:03.566+00",87112190
"2021-07-25 05:46:03.566+00",87676772
"2021-07-25 05:47:03.566+00",88240099
"2021-07-25 05:48:03.566+00",88813339
"2021-07-25 05:49:03.566+00",89392348
"2021-07-25 05:50:03.566+00",89953317
"2021-07-25 05:51:03.566+00",90527635
"2021-07-25 05:52:03.566+00",91087784
"2021-07-25 05:53:03.566+00",91659691
"2021-07-25 05:54:03.566+00",92117080
"2021-07-25 05:55:03.566+00",92690311
"2021-07-25 05:56:03.566+00",93260995
"2021-07-25 05:57:03.566+00",93842042
"2021-07-25 05:58:03.566+00",94417376
"2021-07-25 05:59:03.566+00",94972428
"2021-07-25 06:00:03.566+00",95531825
"2021-07-25 06:01:03.566+00",96106027
"2021-07-25 06:02:03.566+00",96684822
"2021-07-25 06:03:03.566+00",97257039
"2021-07-25 06:04:03.566+00",97839802
"2021-07-25 06:05:03.566+00",98402617
"2021-07-25 06:06:03.566+00",98978894
"2021-07-25 06:07:03.566+00",99540893
"2021-07-25 06:08:03.566+00",100081768
"2021-07-25 06:09:03.566+00",100624534
"2021-07-25 06:10:03.566+00",101163648
"2021-07-25 06:11:03.566+00",101705850
"2021-07-25 06:12:03.566+00",102246178
"2021-07-25 06:13:03.566+00",102791590
"2021-07-25 06:14:03.566+00",103336563
"2021-07-25 06:15:03.566+00",103886297
"2021-07-25 06:16:03.566+00",104436586
"2021-07-25 06:17:03.566+00",104970448
"2021-07-25 06:18:03.566+00",105488929
"2021-07-25 06:19:03.566+00",106026623
"2021-07-25 06:20:03.566+00",106572123
"2021-07-25 06:21:03.566+00",107125983
"2021-07-25 06:22:03.566+00",107673709
"2021-07-25 06:23:03.566+00",108235840
