"time","consumergroup_lag","consumergroup"
"2021-07-25 00:35:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:36:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:37:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:38:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:39:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:40:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:41:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:42:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:43:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:44:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:45:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:46:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:47:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:48:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:49:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:50:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:51:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:52:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:53:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:54:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:55:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:56:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:57:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:58:03.566+00",0,"bullet-consumer-group"
"2021-07-25 00:59:03.566+00",17000,"bullet-consumer-group"
"2021-07-25 01:00:03.566+00",14929,"bullet-consumer-group"
"2021-07-25 01:01:03.566+00",15895,"bullet-consumer-group"
"2021-07-25 01:02:03.566+00",14646,"bullet-consumer-group"
"2021-07-25 01:03:03.566+00",12204,"bullet-consumer-group"
"2021-07-25 01:04:03.566+00",15656,"bullet-consumer-group"
"2021-07-25 01:05:03.566+00",15275,"bullet-consumer-group"
"2021-07-25 01:06:03.566+00",13186,"bullet-consumer-group"
"2021-07-25 01:07:03.566+00",11948,"bullet-consumer-group"
"2021-07-25 01:08:03.566+00",13850,"bullet-consumer-group"
"2021-07-25 01:09:03.566+00",14406,"bullet-consumer-group"
"2021-07-25 01:10:03.566+00",11775,"bullet-consumer-group"
"2021-07-25 01:11:03.566+00",13856,"bullet-consumer-group"
"2021-07-25 01:12:03.566+00",13207,"bullet-consumer-group"
"2021-07-25 01:13:03.566+00",13678,"bullet-consumer-group"
"2021-07-25 01:14:03.566+00",14151,"bullet-consumer-group"
"2021-07-25 01:15:03.566+00",11551,"bullet-consumer-group"
"2021-07-25 01:16:03.566+00",12905,"bullet-consumer-group"
"2021-07-25 01:17:03.566+00",12731,"bullet-consumer-group"
"2021-07-25 01:18:03.566+00",13128,"bullet-consumer-group"
"2021-07-25 01:19:03.566+00",10060,"bullet-consumer-group"
"2021-07-25 01:20:03.566+00",12968,"bullet-consumer-group"
"2021-07-25 01:21:03.566+00",10744,"bullet-consumer-group"
"2021-07-25 01:22:03.566+00",10572,"bullet-consumer-group"
"2021-07-25 01:23:03.566+00",11833,"bullet-consumer-group"
"2021-07-25 01:24:03.566+00",10498,"bullet-consumer-group"
"2021-07-25 01:25:03.566+00",13032,"bullet-consumer-group"
"2021-07-25 01:26:03.566+00",12068,"bullet-consumer-group"
"2021-07-25 01:27:03.566+00",9490,"bullet-consumer-group"
"2021-07-25 01:28:03.566+00",7954,"bullet-consumer-group"
"2021-07-25 01:29:03.566+00",11522,"bullet-consumer-group"
"2021-07-25 01:30:03.566+00",9999,"bullet-consumer-group"
"2021-07-25 01:31:03.566+00",10903,"bullet-consumer-group"
"2021-07-25 01:32:03.566+00",9790,"bullet-consumer-group"
"2021-07-25 01:33:03.566+00",11220,"bullet-consumer-group"
"2021-07-25 01:34:03.566+00",9698,"bullet-consumer-group"
"2021-07-25 01:35:03.566+00",52387,"bullet-consumer-group"
"2021-07-25 01:36:03.566+00",3352,"bullet-consumer-group"
"2021-07-25 01:37:03.566+00",2996,"bullet-consumer-group"
"2021-07-25 01:38:03.566+00",2781,"bullet-consumer-group"
"2021-07-25 01:39:03.566+00",2673,"bullet-consumer-group"
"2021-07-25 01:40:03.566+00",50103,"bullet-consumer-group"
"2021-07-25 01:41:03.566+00",43997,"bullet-consumer-group"
"2021-07-25 01:42:03.566+00",48533,"bullet-consumer-group"
"2021-07-25 01:43:03.566+00",0,"bullet-consumer-group"
"2021-07-25 01:44:03.566+00",0,"bullet-consumer-group"
"2021-07-25 01:45:03.566+00",4859,"bullet-consumer-group"
"2021-07-25 01:46:03.566+00",4862,"bullet-consumer-group"
"2021-07-25 01:47:03.566+00",4850,"bullet-consumer-group"
"2021-07-25 01:48:03.566+00",4846,"bullet-consumer-group"
"2021-07-25 01:49:03.566+00",4843,"bullet-consumer-group"
"2021-07-25 01:50:03.566+00",4841,"bullet-consumer-group"
"2021-07-25 01:51:03.566+00",4835,"bullet-consumer-group"
"2021-07-25 01:52:03.566+00",4833,"bullet-consumer-group"
"2021-07-25 01:53:03.566+00",4803,"bullet-consumer-group"
"2021-07-25 01:54:03.566+00",4800,"bullet-consumer-group"
"2021-07-25 01:55:03.566+00",4770,"bullet-consumer-group"
"2021-07-25 01:56:03.566+00",4770,"bullet-consumer-group"
"2021-07-25 01:57:03.566+00",4766,"bullet-consumer-group"
"2021-07-25 01:58:03.566+00",4764,"bullet-consumer-group"
"2021-07-25 01:59:03.566+00",4758,"bullet-consumer-group"
"2021-07-25 02:00:03.566+00",4752,"bullet-consumer-group"
"2021-07-25 02:01:03.566+00",4746,"bullet-consumer-group"
"2021-07-25 02:02:03.566+00",4739,"bullet-consumer-group"
"2021-07-25 02:03:03.566+00",3748,"bullet-consumer-group"
"2021-07-25 02:04:03.566+00",3747,"bullet-consumer-group"
"2021-07-25 02:05:03.566+00",3744,"bullet-consumer-group"
"2021-07-25 02:06:03.566+00",3735,"bullet-consumer-group"
"2021-07-25 02:07:03.566+00",3728,"bullet-consumer-group"
"2021-07-25 02:08:03.566+00",3685,"bullet-consumer-group"
"2021-07-25 02:09:03.566+00",3677,"bullet-consumer-group"
"2021-07-25 02:10:03.566+00",2733,"bullet-consumer-group"
"2021-07-25 02:11:03.566+00",2720,"bullet-consumer-group"
"2021-07-25 02:12:03.566+00",2713,"bullet-consumer-group"
"2021-07-25 02:13:03.566+00",2690,"bullet-consumer-group"
"2021-07-25 02:14:03.566+00",2678,"bullet-consumer-group"
"2021-07-25 02:15:03.566+00",2654,"bullet-consumer-group"
"2021-07-25 02:16:03.566+00",2650,"bullet-consumer-group"
"2021-07-25 02:17:03.566+00",2645,"bullet-consumer-group"
"2021-07-25 02:18:03.566+00",2636,"bullet-consumer-group"
"2021-07-25 02:19:03.566+00",2634,"bullet-consumer-group"
"2021-07-25 02:20:03.566+00",2634,"bullet-consumer-group"
"2021-07-25 02:21:03.566+00",2620,"bullet-consumer-group"
"2021-07-25 02:22:03.566+00",2612,"bullet-consumer-group"
"2021-07-25 02:23:03.566+00",2605,"bullet-consumer-group"
"2021-07-25 02:24:03.566+00",2599,"bullet-consumer-group"
"2021-07-25 02:25:03.566+00",2596,"bullet-consumer-group"
"2021-07-25 02:26:03.566+00",2589,"bullet-consumer-group"
"2021-07-25 02:27:03.566+00",2585,"bullet-consumer-group"
"2021-07-25 02:28:03.566+00",2580,"bullet-consumer-group"
"2021-07-25 02:29:03.566+00",2571,"bullet-consumer-group"
"2021-07-25 02:30:03.566+00",2568,"bullet-consumer-group"
"2021-07-25 02:31:03.566+00",2562,"bullet-consumer-group"
"2021-07-25 02:32:03.566+00",27561,"bullet-consumer-group"
"2021-07-25 02:33:03.566+00",nan,"bullet-consumer-group"
