"time","current_consumer_offset","consumergroup"
"2021-07-24 22:16:03.566+00",2859802,"bullet-consumer-group"
"2021-07-24 22:17:03.566+00",2919812,"bullet-consumer-group"
"2021-07-24 22:18:03.566+00",2979814,"bullet-consumer-group"
"2021-07-24 22:19:03.566+00",3039839,"bullet-consumer-group"
"2021-07-24 22:20:03.566+00",3099850,"bullet-consumer-group"
"2021-07-24 22:21:03.566+00",3159862,"bullet-consumer-group"
"2021-07-24 22:22:03.566+00",3219867,"bullet-consumer-group"
"2021-07-24 22:23:03.566+00",3274873,"bullet-consumer-group"
"2021-07-24 22:24:03.566+00",3334905,"bullet-consumer-group"
"2021-07-24 22:25:03.566+00",3394912,"bullet-consumer-group"
"2021-07-24 22:26:03.566+00",3454925,"bullet-consumer-group"
"2021-07-24 22:27:03.566+00",3514908,"bullet-consumer-group"
"2021-07-24 22:28:03.566+00",3574934,"bullet-consumer-group"
"2021-07-24 22:29:03.566+00",3633066,"bullet-consumer-group"
"2021-07-24 22:30:03.566+00",3693077,"bullet-consumer-group"
"2021-07-24 22:31:03.566+00",3753082,"bullet-consumer-group"
"2021-07-24 22:32:03.566+00",3813103,"bullet-consumer-group"
"2021-07-24 22:33:03.566+00",3873107,"bullet-consumer-group"
"2021-07-24 22:34:03.566+00",3933112,"bullet-consumer-group"
"2021-07-24 22:35:03.566+00",3993118,"bullet-consumer-group"
"2021-07-24 22:36:03.566+00",4053122,"bullet-consumer-group"
"2021-07-24 22:37:03.566+00",4113128,"bullet-consumer-group"
"2021-07-24 22:38:03.566+00",4173133,"bullet-consumer-group"
"2021-07-24 22:39:03.566+00",4233138,"bullet-consumer-group"
"2021-07-24 22:40:03.566+00",4293764,"bullet-consumer-group"
"2021-07-24 22:41:03.566+00",4353767,"bullet-consumer-group"
"2021-07-24 22:42:03.566+00",4413772,"bullet-consumer-group"
"2021-07-24 22:43:03.566+00",4473776,"bullet-consumer-group"
"2021-07-24 22:44:03.566+00",4499475,"bullet-consumer-group"
"2021-07-24 22:45:03.566+00",4499475,"bullet-consumer-group"
"2021-07-24 22:46:03.566+00",4877208,"bullet-consumer-group"
"2021-07-24 22:47:03.566+00",5445789,"bullet-consumer-group"
"2021-07-24 22:48:03.566+00",6020442,"bullet-consumer-group"
"2021-07-24 22:49:03.566+00",6606142,"bullet-consumer-group"
"2021-07-24 22:50:03.566+00",7198316,"bullet-consumer-group"
"2021-07-24 22:51:03.566+00",7770420,"bullet-consumer-group"
"2021-07-24 22:52:03.566+00",8362576,"bullet-consumer-group"
"2021-07-24 22:53:03.566+00",8942322,"bullet-consumer-group"
"2021-07-24 22:54:03.566+00",9516342,"bullet-consumer-group"
"2021-07-24 22:55:03.566+00",10054076,"bullet-consumer-group"
"2021-07-24 22:56:03.566+00",10623064,"bullet-consumer-group"
"2021-07-24 22:57:03.566+00",11203885,"bullet-consumer-group"
"2021-07-24 22:58:03.566+00",11807544,"bullet-consumer-group"
"2021-07-24 22:59:03.566+00",12380752,"bullet-consumer-group"
"2021-07-24 23:00:03.566+00",12982004,"bullet-consumer-group"
"2021-07-24 23:01:03.566+00",13575847,"bullet-consumer-group"
"2021-07-24 23:02:03.566+00",14172741,"bullet-consumer-group"
"2021-07-24 23:03:03.566+00",14764947,"bullet-consumer-group"
"2021-07-24 23:04:03.566+00",15340696,"bullet-consumer-group"
"2021-07-24 23:05:03.566+00",15939027,"bullet-consumer-group"
"2021-07-24 23:06:03.566+00",16520720,"bullet-consumer-group"
"2021-07-24 23:07:03.566+00",17146983,"bullet-consumer-group"
"2021-07-24 23:08:03.566+00",17737737,"bullet-consumer-group"
"2021-07-24 23:09:03.566+00",18307839,"bullet-consumer-group"
"2021-07-24 23:10:03.566+00",18887560,"bullet-consumer-group"
"2021-07-24 23:11:03.566+00",19389659,"bullet-consumer-group"
"2021-07-24 23:12:03.566+00",19389659,"bullet-consumer-group"
"2021-07-24 23:13:03.566+00",19482516,"bullet-consumer-group"
"2021-07-24 23:14:03.566+00",20065077,"bullet-consumer-group"
"2021-07-24 23:15:03.566+00",20621459,"bullet-consumer-group"
"2021-07-24 23:16:03.566+00",21188053,"bullet-consumer-group"
"2021-07-24 23:17:03.566+00",21740644,"bullet-consumer-group"
"2021-07-24 23:18:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:19:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:20:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:21:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:22:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:23:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:24:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:25:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:26:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:27:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:28:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:29:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:30:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:31:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:32:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:33:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:34:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:35:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:36:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:37:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:38:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:39:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:40:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:41:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:42:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:43:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:44:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:45:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:46:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:47:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:48:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:49:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:50:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:51:03.566+00",22036335,"bullet-consumer-group"
"2021-07-24 23:52:03.566+00",nan,"bullet-consumer-group"
"2021-07-24 23:59:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:00:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:01:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:02:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:03:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:04:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:05:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:06:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:07:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:08:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:09:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:10:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:11:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:12:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:13:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:14:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:15:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:16:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:17:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:18:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:19:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:20:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:21:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:22:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:23:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:24:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:25:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:26:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:27:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:28:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:29:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:30:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:31:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:32:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:33:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:34:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:35:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:36:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:37:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:38:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:39:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:40:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:41:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:42:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:43:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:44:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:45:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:46:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:47:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:48:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:49:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:50:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:51:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:52:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:53:03.566+00",22036335,"bullet-consumer-group"
"2021-07-25 00:54:03.566+00",22054172,"bullet-consumer-group"
"2021-07-25 00:55:03.566+00",22054172,"bullet-consumer-group"
"2021-07-25 00:56:03.566+00",22054172,"bullet-consumer-group"
"2021-07-25 00:57:03.566+00",22054172,"bullet-consumer-group"
"2021-07-25 00:58:03.566+00",22054172,"bullet-consumer-group"
"2021-07-25 00:59:03.566+00",22280567,"bullet-consumer-group"
"2021-07-25 01:00:03.566+00",22857532,"bullet-consumer-group"
"2021-07-25 01:01:03.566+00",23436757,"bullet-consumer-group"
"2021-07-25 01:02:03.566+00",24029121,"bullet-consumer-group"
"2021-07-25 01:03:03.566+00",24606597,"bullet-consumer-group"
"2021-07-25 01:04:03.566+00",25194830,"bullet-consumer-group"
"2021-07-25 01:05:03.566+00",25777601,"bullet-consumer-group"
"2021-07-25 01:06:03.566+00",26386880,"bullet-consumer-group"
"2021-07-25 01:07:03.566+00",26967262,"bullet-consumer-group"
"2021-07-25 01:08:03.566+00",27536294,"bullet-consumer-group"
"2021-07-25 01:09:03.566+00",28125246,"bullet-consumer-group"
"2021-07-25 01:10:03.566+00",28725972,"bullet-consumer-group"
"2021-07-25 01:11:03.566+00",29324834,"bullet-consumer-group"
"2021-07-25 01:12:03.566+00",29907782,"bullet-consumer-group"
"2021-07-25 01:13:03.566+00",30512901,"bullet-consumer-group"
"2021-07-25 01:14:03.566+00",31089686,"bullet-consumer-group"
"2021-07-25 01:15:03.566+00",31673883,"bullet-consumer-group"
"2021-07-25 01:16:03.566+00",32254721,"bullet-consumer-group"
"2021-07-25 01:17:03.566+00",32822303,"bullet-consumer-group"
"2021-07-25 01:18:03.566+00",33385582,"bullet-consumer-group"
"2021-07-25 01:19:03.566+00",33984703,"bullet-consumer-group"
"2021-07-25 01:20:03.566+00",34574208,"bullet-consumer-group"
"2021-07-25 01:21:03.566+00",35176586,"bullet-consumer-group"
"2021-07-25 01:22:03.566+00",35747310,"bullet-consumer-group"
"2021-07-25 01:23:03.566+00",36348644,"bullet-consumer-group"
"2021-07-25 01:24:03.566+00",36928436,"bullet-consumer-group"
"2021-07-25 01:25:03.566+00",37537069,"bullet-consumer-group"
"2021-07-25 01:26:03.566+00",38131863,"bullet-consumer-group"
"2021-07-25 01:27:03.566+00",38723427,"bullet-consumer-group"
"2021-07-25 01:28:03.566+00",39301555,"bullet-consumer-group"
"2021-07-25 01:29:03.566+00",39875765,"bullet-consumer-group"
"2021-07-25 01:30:03.566+00",40483920,"bullet-consumer-group"
"2021-07-25 01:31:03.566+00",41074362,"bullet-consumer-group"
"2021-07-25 01:32:03.566+00",41650620,"bullet-consumer-group"
"2021-07-25 01:33:03.566+00",42237314,"bullet-consumer-group"
"2021-07-25 01:34:03.566+00",42831087,"bullet-consumer-group"
"2021-07-25 01:35:03.566+00",43387278,"bullet-consumer-group"
"2021-07-25 01:36:03.566+00",44024385,"bullet-consumer-group"
"2021-07-25 01:37:03.566+00",44613387,"bullet-consumer-group"
"2021-07-25 01:38:03.566+00",45211166,"bullet-consumer-group"
"2021-07-25 01:39:03.566+00",45759530,"bullet-consumer-group"
"2021-07-25 01:40:03.566+00",46298903,"bullet-consumer-group"
"2021-07-25 01:41:03.566+00",46900983,"bullet-consumer-group"
"2021-07-25 01:42:03.566+00",47494163,"bullet-consumer-group"
"2021-07-25 01:43:03.566+00",47799067,"bullet-consumer-group"
"2021-07-25 01:44:03.566+00",47799067,"bullet-consumer-group"
"2021-07-25 01:45:03.566+00",47833534,"bullet-consumer-group"
"2021-07-25 01:46:03.566+00",47893538,"bullet-consumer-group"
"2021-07-25 01:47:03.566+00",47953543,"bullet-consumer-group"
"2021-07-25 01:48:03.566+00",48013546,"bullet-consumer-group"
"2021-07-25 01:49:03.566+00",48073550,"bullet-consumer-group"
"2021-07-25 01:50:03.566+00",48133553,"bullet-consumer-group"
"2021-07-25 01:51:03.566+00",48193557,"bullet-consumer-group"
"2021-07-25 01:52:03.566+00",48253560,"bullet-consumer-group"
"2021-07-25 01:53:03.566+00",48313588,"bullet-consumer-group"
"2021-07-25 01:54:03.566+00",48373592,"bullet-consumer-group"
"2021-07-25 01:55:03.566+00",48433621,"bullet-consumer-group"
"2021-07-25 01:56:03.566+00",48493622,"bullet-consumer-group"
"2021-07-25 01:57:03.566+00",48553625,"bullet-consumer-group"
"2021-07-25 01:58:03.566+00",48613629,"bullet-consumer-group"
"2021-07-25 01:59:03.566+00",48673632,"bullet-consumer-group"
"2021-07-25 02:00:03.566+00",48733640,"bullet-consumer-group"
"2021-07-25 02:01:03.566+00",48793646,"bullet-consumer-group"
"2021-07-25 02:02:03.566+00",48853653,"bullet-consumer-group"
"2021-07-25 02:03:03.566+00",48914646,"bullet-consumer-group"
"2021-07-25 02:04:03.566+00",48974647,"bullet-consumer-group"
"2021-07-25 02:05:03.566+00",49034650,"bullet-consumer-group"
"2021-07-25 02:06:03.566+00",49094658,"bullet-consumer-group"
"2021-07-25 02:07:03.566+00",49154665,"bullet-consumer-group"
"2021-07-25 02:08:03.566+00",49214710,"bullet-consumer-group"
"2021-07-25 02:09:03.566+00",49274717,"bullet-consumer-group"
"2021-07-25 02:10:03.566+00",49335661,"bullet-consumer-group"
"2021-07-25 02:11:03.566+00",49395674,"bullet-consumer-group"
"2021-07-25 02:12:03.566+00",49455680,"bullet-consumer-group"
"2021-07-25 02:13:03.566+00",49515706,"bullet-consumer-group"
"2021-07-25 02:14:03.566+00",49575716,"bullet-consumer-group"
"2021-07-25 02:15:03.566+00",49635741,"bullet-consumer-group"
"2021-07-25 02:16:03.566+00",49695744,"bullet-consumer-group"
"2021-07-25 02:17:03.566+00",49755749,"bullet-consumer-group"
"2021-07-25 02:18:03.566+00",49815759,"bullet-consumer-group"
"2021-07-25 02:19:03.566+00",49875760,"bullet-consumer-group"
"2021-07-25 02:20:03.566+00",49935760,"bullet-consumer-group"
"2021-07-25 02:21:03.566+00",49995773,"bullet-consumer-group"
"2021-07-25 02:22:03.566+00",50055781,"bullet-consumer-group"
"2021-07-25 02:23:03.566+00",50115789,"bullet-consumer-group"
"2021-07-25 02:24:03.566+00",50175794,"bullet-consumer-group"
"2021-07-25 02:25:03.566+00",50235798,"bullet-consumer-group"
"2021-07-25 02:26:03.566+00",50295804,"bullet-consumer-group"
"2021-07-25 02:27:03.566+00",50355809,"bullet-consumer-group"
"2021-07-25 02:28:03.566+00",50415815,"bullet-consumer-group"
"2021-07-25 02:29:03.566+00",50475822,"bullet-consumer-group"
"2021-07-25 02:30:03.566+00",50535826,"bullet-consumer-group"
"2021-07-25 02:31:03.566+00",50595831,"bullet-consumer-group"
"2021-07-25 02:32:03.566+00",50630833,"bullet-consumer-group"
"2021-07-25 02:33:03.566+00",nan,"bullet-consumer-group"
