"time","on_heap_mem_used_mb"
"2021-08-02 02:12:30.373+00",200
"2021-08-02 02:12:40.373+00",194
"2021-08-02 02:12:50.376+00",199
"2021-08-02 02:13:00.373+00",206
"2021-08-02 02:13:10.373+00",189
"2021-08-02 02:13:20.373+00",197
"2021-08-02 02:13:30.373+00",197
"2021-08-02 02:13:40.373+00",204
"2021-08-02 02:13:50.373+00",202
"2021-08-02 02:14:00.373+00",196
"2021-08-02 02:14:10.373+00",197
"2021-08-02 02:14:20.373+00",208
"2021-08-02 02:14:30.373+00",188
"2021-08-02 02:14:40.373+00",183
"2021-08-02 02:14:50.373+00",176
"2021-08-02 02:15:00.373+00",170
"2021-08-02 02:15:10.373+00",163
"2021-08-02 02:15:20.381+00",161
"2021-08-02 02:15:30.373+00",154
"2021-08-02 02:15:40.373+00",153
"2021-08-02 02:15:50.373+00",152
"2021-08-02 02:16:00.373+00",152
"2021-08-02 02:16:10.373+00",153
"2021-08-02 02:16:20.373+00",153
"2021-08-02 02:16:30.373+00",152
"2021-08-02 02:16:40.373+00",153
"2021-08-02 02:16:50.373+00",152
"2021-08-02 02:17:00.38+00",152
"2021-08-02 02:17:10.373+00",153
"2021-08-02 02:17:20.373+00",153
"2021-08-02 02:17:30.373+00",152
"2021-08-02 02:17:40.373+00",153
"2021-08-02 02:17:50.373+00",153
"2021-08-02 02:18:00.373+00",152
"2021-08-02 02:18:10.373+00",153
"2021-08-02 02:18:20.373+00",153
"2021-08-02 02:18:30.373+00",152
"2021-08-02 02:18:40.373+00",153
"2021-08-02 02:18:50.373+00",153
"2021-08-02 02:19:00.373+00",152
"2021-08-02 02:19:10.373+00",259
"2021-08-02 02:19:20.373+00",365
"2021-08-02 02:19:30.373+00",490
"2021-08-02 02:19:40.373+00",610
"2021-08-02 02:19:50.373+00",673
"2021-08-02 02:20:00.373+00",780
"2021-08-02 02:20:10.373+00",873
"2021-08-02 02:20:20.373+00",1024
"2021-08-02 02:20:30.373+00",1111
"2021-08-02 02:20:40.373+00",1207
"2021-08-02 02:20:50.373+00",1320
"2021-08-02 02:21:00.377+00",1392
"2021-08-02 02:21:10.382+00",1494
"2021-08-02 02:21:20.373+00",1590
"2021-08-02 02:21:30.385+00",1603
"2021-08-02 02:21:40.373+00",1532
"2021-08-02 02:21:50.375+00",1591
"2021-08-02 02:22:00.373+00",1548
"2021-08-02 02:22:10.373+00",1563
"2021-08-02 02:22:20.378+00",1571
"2021-08-02 02:22:30.373+00",1548
"2021-08-02 02:22:40.373+00",1573
"2021-08-02 02:22:50.373+00",1612
"2021-08-02 02:23:00.373+00",1637
"2021-08-02 02:23:10.373+00",1628
"2021-08-02 02:23:20.373+00",1577
"2021-08-02 02:23:30.373+00",1550
"2021-08-02 02:23:40.373+00",1561
"2021-08-02 02:23:50.373+00",1595
"2021-08-02 02:24:00.373+00",1618
"2021-08-02 02:24:10.373+00",1534
"2021-08-02 02:24:20.373+00",1413
"2021-08-02 02:24:30.373+00",1333
"2021-08-02 02:24:40.373+00",1198
"2021-08-02 02:24:50.376+00",1048
"2021-08-02 02:25:00.373+00",928
"2021-08-02 02:25:10.373+00",888
"2021-08-02 02:25:20.373+00",786
"2021-08-02 02:25:30.373+00",737
"2021-08-02 02:25:40.373+00",607
"2021-08-02 02:25:50.373+00",501
"2021-08-02 02:26:00.373+00",470
"2021-08-02 02:26:10.383+00",482
"2021-08-02 02:26:20.373+00",491
"2021-08-02 02:26:30.373+00",497
"2021-08-02 02:26:40.373+00",501
"2021-08-02 02:26:50.373+00",509
"2021-08-02 02:27:00.376+00",509
"2021-08-02 02:27:10.373+00",512
"2021-08-02 02:27:20.376+00",510
"2021-08-02 02:27:30.373+00",503
"2021-08-02 02:27:40.373+00",492
"2021-08-02 02:27:50.373+00",479
"2021-08-02 02:28:00.373+00",438
"2021-08-02 02:28:10.373+00",396
"2021-08-02 02:28:20.373+00",327
"2021-08-02 02:28:30.373+00",272
"2021-08-02 02:28:40.373+00",82
"2021-08-02 02:28:50.373+00",57
"2021-08-02 02:29:00.373+00",67
"2021-08-02 02:29:10.373+00",83
"2021-08-02 02:29:20.373+00",98
"2021-08-02 02:29:30.373+00",113
"2021-08-02 02:29:40.373+00",127
"2021-08-02 02:29:50.373+00",136
