"time","scheduling_delay"
"2021-08-02 01:14:50.373+00",0
"2021-08-02 01:15:00.373+00",0
"2021-08-02 01:15:10.373+00",0
"2021-08-02 01:15:20.373+00",1
"2021-08-02 01:15:30.373+00",0
"2021-08-02 01:15:40.373+00",0
"2021-08-02 01:15:50.373+00",1
"2021-08-02 01:16:00.373+00",0
"2021-08-02 01:16:10.373+00",0
"2021-08-02 01:16:20.373+00",0
"2021-08-02 01:16:30.373+00",1
"2021-08-02 01:16:40.373+00",0
"2021-08-02 01:16:50.373+00",1
"2021-08-02 01:17:00.373+00",0
"2021-08-02 01:17:10.377+00",0
"2021-08-02 01:17:20.373+00",1
"2021-08-02 01:17:30.373+00",0
"2021-08-02 01:17:40.383+00",0
"2021-08-02 01:17:50.373+00",0
"2021-08-02 01:18:00.373+00",0
"2021-08-02 01:18:10.373+00",0
"2021-08-02 01:18:20.373+00",0
"2021-08-02 01:18:30.373+00",0
"2021-08-02 01:18:40.373+00",0
"2021-08-02 01:18:50.373+00",0
"2021-08-02 01:19:00.373+00",0
"2021-08-02 01:19:10.373+00",0
"2021-08-02 01:19:20.388+00",0
"2021-08-02 01:19:30.373+00",0
"2021-08-02 01:19:40.376+00",0
"2021-08-02 01:19:50.373+00",0
"2021-08-02 01:20:00.373+00",0
"2021-08-02 01:20:10.373+00",0
"2021-08-02 01:20:20.373+00",0
"2021-08-02 01:20:30.373+00",0
"2021-08-02 01:20:40.373+00",0
"2021-08-02 01:20:50.373+00",0
"2021-08-02 01:21:00.373+00",0
"2021-08-02 01:21:10.373+00",0
"2021-08-02 01:21:20.373+00",0
"2021-08-02 01:21:30.373+00",0
"2021-08-02 01:21:40.373+00",0
"2021-08-02 01:21:50.373+00",0
"2021-08-02 01:22:00.373+00",0
"2021-08-02 01:22:10.373+00",0
"2021-08-02 01:22:20.384+00",0
"2021-08-02 01:22:30.373+00",0
"2021-08-02 01:22:40.373+00",0
"2021-08-02 01:22:50.373+00",1
"2021-08-02 01:23:00.373+00",0
"2021-08-02 01:23:10.373+00",1
"2021-08-02 01:23:20.373+00",674
"2021-08-02 01:23:30.373+00",881
"2021-08-02 01:23:40.373+00",2679
"2021-08-02 01:23:50.373+00",8082
"2021-08-02 01:24:00.373+00",10755
"2021-08-02 01:24:10.373+00",12576
"2021-08-02 01:24:20.373+00",15013
"2021-08-02 01:24:30.375+00",16002
"2021-08-02 01:24:40.373+00",15702
"2021-08-02 01:24:50.373+00",27532
"2021-08-02 01:25:00.379+00",31246
"2021-08-02 01:25:10.373+00",35414
"2021-08-02 01:25:20.373+00",37162
"2021-08-02 01:25:30.373+00",38693
"2021-08-02 01:25:40.373+00",43808
"2021-08-02 01:25:50.373+00",46019
"2021-08-02 01:26:00.373+00",45221
"2021-08-02 01:26:10.373+00",49531
"2021-08-02 01:26:20.385+00",52088
"2021-08-02 01:26:30.373+00",51927
"2021-08-02 01:26:40.376+00",61916
"2021-08-02 01:26:50.373+00",61697
"2021-08-02 01:27:00.373+00",64883
"2021-08-02 01:27:10.373+00",67100
"2021-08-02 01:27:20.373+00",68826
"2021-08-02 01:27:30.373+00",68110
"2021-08-02 01:27:40.373+00",78330
"2021-08-02 01:27:50.373+00",80541
"2021-08-02 01:28:00.373+00",80528
"2021-08-02 01:28:10.373+00",82925
"2021-08-02 01:28:20.373+00",82998
"2021-08-02 01:28:30.373+00",88968
"2021-08-02 01:28:40.373+00",90153
"2021-08-02 01:28:50.373+00",91489
"2021-08-02 01:29:00.373+00",93320
"2021-08-02 01:29:10.373+00",92940
"2021-08-02 01:29:20.379+00",99345
"2021-08-02 01:29:30.373+00",101684
"2021-08-02 01:29:40.379+00",99153
"2021-08-02 01:29:50.373+00",103315
"2021-08-02 01:30:00.373+00",82733
"2021-08-02 01:30:10.378+00",64608
"2021-08-02 01:30:20.373+00",44123
"2021-08-02 01:30:30.378+00",5711
"2021-08-02 01:30:40.373+00",0
"2021-08-02 01:30:50.373+00",0
"2021-08-02 01:31:00.373+00",0
"2021-08-02 01:31:10.373+00",0
"2021-08-02 01:31:20.373+00",0
"2021-08-02 01:31:30.39+00",0
"2021-08-02 01:31:40.373+00",0
"2021-08-02 01:31:50.381+00",0
"2021-08-02 01:32:00.373+00",0
"2021-08-02 01:32:10.373+00",3
"2021-08-02 01:32:20.373+00",0
"2021-08-02 01:32:30.373+00",0
"2021-08-02 01:32:40.373+00",1
"2021-08-02 01:32:50.373+00",0
"2021-08-02 01:33:00.373+00",0
"2021-08-02 01:33:10.373+00",5
"2021-08-02 01:33:20.373+00",0
"2021-08-02 01:33:30.373+00",1
"2021-08-02 01:33:40.373+00",0
"2021-08-02 01:33:50.373+00",0
"2021-08-02 01:34:00.373+00",1
"2021-08-02 01:34:10.373+00",0
"2021-08-02 01:34:20.373+00",0
"2021-08-02 01:34:30.373+00",4
"2021-08-02 01:34:40.373+00",0
"2021-08-02 01:34:50.373+00",0
"2021-08-02 01:35:00.373+00",0
"2021-08-02 01:35:10.373+00",0
"2021-08-02 01:35:20.373+00",0
"2021-08-02 01:35:30.377+00",0
"2021-08-02 01:35:40.373+00",0
"2021-08-02 01:35:50.373+00",0
"2021-08-02 01:36:00.373+00",0
"2021-08-02 01:36:10.373+00",0
"2021-08-02 01:36:20.373+00",2489
"2021-08-02 01:36:30.373+00",1458
"2021-08-02 01:36:40.388+00",0
"2021-08-02 01:36:50.373+00",0
"2021-08-02 01:37:00.373+00",2634
"2021-08-02 01:37:10.376+00",891
"2021-08-02 01:37:20.378+00",44
"2021-08-02 01:37:30.373+00",0
"2021-08-02 01:37:40.386+00",2402
"2021-08-02 01:37:50.373+00",0
"2021-08-02 01:38:00.373+00",0
"2021-08-02 01:38:10.373+00",0
"2021-08-02 01:38:20.373+00",2629
"2021-08-02 01:38:30.373+00",1330
"2021-08-02 01:38:40.373+00",0
"2021-08-02 01:38:50.373+00",0
"2021-08-02 01:39:00.373+00",74
"2021-08-02 01:39:10.373+00",0
"2021-08-02 01:39:20.373+00",0
"2021-08-02 01:39:30.373+00",0
"2021-08-02 01:39:40.373+00",2162
"2021-08-02 01:39:50.373+00",1483
"2021-08-02 01:40:00.373+00",1283
"2021-08-02 01:40:10.373+00",0
"2021-08-02 01:40:20.373+00",2560
"2021-08-02 01:40:30.373+00",0
"2021-08-02 01:40:40.373+00",0
"2021-08-02 01:40:50.373+00",0
"2021-08-02 01:41:00.373+00",0
"2021-08-02 01:41:10.373+00",0
"2021-08-02 01:41:20.373+00",0
"2021-08-02 01:41:30.373+00",0
"2021-08-02 01:41:40.373+00",0
"2021-08-02 01:41:50.373+00",0
"2021-08-02 01:42:00.373+00",0
"2021-08-02 01:42:10.373+00",0
"2021-08-02 01:42:20.373+00",0
"2021-08-02 01:42:30.377+00",0
"2021-08-02 01:42:40.373+00",0
"2021-08-02 01:42:50.373+00",0
"2021-08-02 01:43:00.373+00",0
"2021-08-02 01:43:10.373+00",0
"2021-08-02 01:43:20.373+00",0
"2021-08-02 01:43:30.373+00",0
"2021-08-02 01:43:40.373+00",0
"2021-08-02 01:43:50.373+00",0
"2021-08-02 01:44:00.373+00",0
"2021-08-02 01:44:10.381+00",0
"2021-08-02 01:44:20.373+00",5
"2021-08-02 01:44:30.373+00",0
"2021-08-02 01:44:40.373+00",0
"2021-08-02 01:44:50.373+00",0
"2021-08-02 01:45:00.373+00",0
"2021-08-02 01:45:10.373+00",0
"2021-08-02 01:45:20.373+00",0
"2021-08-02 01:45:30.376+00",0
"2021-08-02 01:45:40.373+00",0
"2021-08-02 01:45:50.373+00",0
"2021-08-02 01:46:00.373+00",0
"2021-08-02 01:46:10.383+00",608
"2021-08-02 01:46:20.373+00",6033
"2021-08-02 01:46:30.373+00",8075
"2021-08-02 01:46:40.373+00",8611
"2021-08-02 01:46:50.377+00",8783
"2021-08-02 01:47:00.373+00",12273
"2021-08-02 01:47:10.375+00",13394
"2021-08-02 01:47:20.373+00",19083
"2021-08-02 01:47:30.373+00",23454
"2021-08-02 01:47:40.373+00",24693
"2021-08-02 01:47:50.373+00",27898
"2021-08-02 01:48:00.373+00",27252
"2021-08-02 01:48:10.373+00",33851
"2021-08-02 01:48:20.373+00",35473
"2021-08-02 01:48:30.379+00",36794
"2021-08-02 01:48:40.373+00",38381
"2021-08-02 01:48:50.373+00",40892
"2021-08-02 01:49:00.379+00",40549
"2021-08-02 01:49:10.373+00",48860
"2021-08-02 01:49:20.373+00",49549
"2021-08-02 01:49:30.373+00",54457
"2021-08-02 01:49:40.373+00",55864
"2021-08-02 01:49:50.373+00",58304
"2021-08-02 01:50:00.373+00",62773
"2021-08-02 01:50:10.373+00",64838
"2021-08-02 01:50:20.373+00",69213
"2021-08-02 01:50:30.373+00",72515
"2021-08-02 01:50:40.373+00",74596
"2021-08-02 01:50:50.373+00",76348
"2021-08-02 01:51:00.373+00",80590
"2021-08-02 01:51:10.373+00",85000
"2021-08-02 01:51:20.373+00",85297
"2021-08-02 01:51:30.373+00",84147
"2021-08-02 01:51:40.373+00",87131
"2021-08-02 01:51:50.373+00",91911
"2021-08-02 01:52:00.373+00",93737
"2021-08-02 01:52:10.373+00",91924
"2021-08-02 01:52:20.373+00",92375
"2021-08-02 01:52:30.373+00",71061
"2021-08-02 01:52:40.391+00",34951
"2021-08-02 01:52:50.373+00",427
"2021-08-02 01:53:00.373+00",1
"2021-08-02 01:53:10.373+00",1
"2021-08-02 01:53:20.373+00",0
"2021-08-02 01:53:30.377+00",0
"2021-08-02 01:53:40.373+00",0
"2021-08-02 01:53:50.373+00",0
"2021-08-02 01:54:00.391+00",1
"2021-08-02 01:54:10.373+00",1
"2021-08-02 01:54:20.373+00",0
"2021-08-02 01:54:30.373+00",0
"2021-08-02 01:54:40.373+00",0
"2021-08-02 01:54:50.373+00",1
"2021-08-02 01:55:00.373+00",0
"2021-08-02 01:55:10.373+00",0
"2021-08-02 01:55:20.373+00",0
"2021-08-02 01:55:30.373+00",0
"2021-08-02 01:55:40.373+00",0
"2021-08-02 01:55:50.373+00",0
"2021-08-02 01:56:00.373+00",0
"2021-08-02 01:56:10.373+00",0
"2021-08-02 01:56:20.386+00",0
"2021-08-02 01:56:30.373+00",1
"2021-08-02 01:56:40.378+00",0
"2021-08-02 01:56:50.373+00",0
"2021-08-02 01:57:00.373+00",1
"2021-08-02 01:57:10.373+00",0
"2021-08-02 01:57:20.373+00",0
"2021-08-02 01:57:30.373+00",0
"2021-08-02 01:57:40.373+00",0
"2021-08-02 01:57:50.373+00",0
"2021-08-02 01:58:00.373+00",0
"2021-08-02 01:58:10.373+00",1
"2021-08-02 01:58:20.373+00",0
"2021-08-02 01:58:30.373+00",1
"2021-08-02 01:58:40.373+00",0
"2021-08-02 01:58:50.373+00",0
"2021-08-02 01:59:00.373+00",0
"2021-08-02 01:59:10.373+00",0
"2021-08-02 01:59:20.373+00",0
"2021-08-02 01:59:30.373+00",0
"2021-08-02 01:59:40.373+00",0
"2021-08-02 01:59:50.377+00",0
"2021-08-02 02:00:00.373+00",0
"2021-08-02 02:00:10.373+00",0
"2021-08-02 02:00:20.373+00",0
"2021-08-02 02:00:30.373+00",0
"2021-08-02 02:00:40.373+00",0
"2021-08-02 02:00:50.373+00",0
"2021-08-02 02:01:00.373+00",0
"2021-08-02 02:01:10.373+00",0
"2021-08-02 02:01:20.373+00",0
"2021-08-02 02:01:30.373+00",0
"2021-08-02 02:01:40.373+00",0
"2021-08-02 02:01:50.373+00",0
"2021-08-02 02:02:00.373+00",6
"2021-08-02 02:02:10.373+00",5
"2021-08-02 02:02:20.373+00",0
"2021-08-02 02:02:30.373+00",0
"2021-08-02 02:02:40.373+00",0
"2021-08-02 02:02:50.378+00",3
"2021-08-02 02:03:00.373+00",0
"2021-08-02 02:03:10.373+00",0
"2021-08-02 02:03:20.373+00",0
"2021-08-02 02:03:30.373+00",0
"2021-08-02 02:03:40.373+00",0
"2021-08-02 02:03:50.373+00",3
"2021-08-02 02:04:00.373+00",0
"2021-08-02 02:04:10.377+00",0
"2021-08-02 02:04:20.373+00",0
"2021-08-02 02:04:30.381+00",1
"2021-08-02 02:04:40.373+00",0
"2021-08-02 02:04:50.373+00",0
"2021-08-02 02:05:00.373+00",0
"2021-08-02 02:05:10.373+00",0
"2021-08-02 02:05:20.373+00",0
"2021-08-02 02:05:30.373+00",0
"2021-08-02 02:05:40.375+00",0
"2021-08-02 02:05:50.373+00",0
"2021-08-02 02:06:00.373+00",0
"2021-08-02 02:06:10.373+00",0
"2021-08-02 02:06:20.373+00",0
"2021-08-02 02:06:30.373+00",0
"2021-08-02 02:06:40.373+00",0
"2021-08-02 02:06:50.373+00",0
"2021-08-02 02:07:00.373+00",3
"2021-08-02 02:07:10.373+00",0
"2021-08-02 02:07:20.373+00",0
"2021-08-02 02:07:30.373+00",0
"2021-08-02 02:07:40.373+00",0
"2021-08-02 02:07:50.373+00",0
"2021-08-02 02:08:00.373+00",1
"2021-08-02 02:08:10.373+00",0
"2021-08-02 02:08:20.373+00",0
"2021-08-02 02:08:30.373+00",0
"2021-08-02 02:08:40.373+00",0
"2021-08-02 02:08:50.373+00",0
"2021-08-02 02:09:00.373+00",0
"2021-08-02 02:09:10.373+00",0
"2021-08-02 02:09:20.373+00",0
"2021-08-02 02:09:30.373+00",0
"2021-08-02 02:09:40.373+00",2384
"2021-08-02 02:09:50.373+00",110
"2021-08-02 02:10:00.373+00",29
"2021-08-02 02:10:10.373+00",0
"2021-08-02 02:10:20.373+00",3221
"2021-08-02 02:10:30.373+00",6296
"2021-08-02 02:10:40.373+00",2762
"2021-08-02 02:10:50.373+00",112
"2021-08-02 02:11:00.373+00",3437
"2021-08-02 02:11:10.373+00",1313
"2021-08-02 02:11:20.373+00",397
"2021-08-02 02:11:30.373+00",0
"2021-08-02 02:11:40.373+00",2166
"2021-08-02 02:11:50.373+00",2179
"2021-08-02 02:12:00.373+00",1
"2021-08-02 02:12:10.373+00",0
"2021-08-02 02:12:20.373+00",2987
"2021-08-02 02:12:30.373+00",49
"2021-08-02 02:12:40.373+00",0
"2021-08-02 02:12:50.376+00",0
"2021-08-02 02:13:00.373+00",1569
"2021-08-02 02:13:10.373+00",0
"2021-08-02 02:13:20.373+00",0
"2021-08-02 02:13:30.373+00",0
"2021-08-02 02:13:40.373+00",2630
"2021-08-02 02:13:50.373+00",144
"2021-08-02 02:14:00.373+00",0
"2021-08-02 02:14:10.373+00",0
"2021-08-02 02:14:20.373+00",2997
"2021-08-02 02:14:30.373+00",0
"2021-08-02 02:14:40.373+00",0
"2021-08-02 02:14:50.373+00",0
"2021-08-02 02:15:00.373+00",0
"2021-08-02 02:15:10.373+00",0
"2021-08-02 02:15:20.381+00",0
"2021-08-02 02:15:30.373+00",1
"2021-08-02 02:15:40.373+00",0
"2021-08-02 02:15:50.373+00",0
"2021-08-02 02:16:00.373+00",0
"2021-08-02 02:16:10.373+00",0
"2021-08-02 02:16:20.373+00",0
"2021-08-02 02:16:30.373+00",0
"2021-08-02 02:16:40.373+00",1
"2021-08-02 02:16:50.373+00",0
"2021-08-02 02:17:00.38+00",0
"2021-08-02 02:17:10.373+00",1
"2021-08-02 02:17:20.373+00",0
"2021-08-02 02:17:30.373+00",0
"2021-08-02 02:17:40.373+00",0
"2021-08-02 02:17:50.373+00",0
"2021-08-02 02:18:00.373+00",0
"2021-08-02 02:18:10.373+00",0
"2021-08-02 02:18:20.373+00",0
"2021-08-02 02:18:30.373+00",0
"2021-08-02 02:18:40.373+00",0
"2021-08-02 02:18:50.373+00",1
"2021-08-02 02:19:00.373+00",0
"2021-08-02 02:19:10.373+00",902
"2021-08-02 02:19:20.373+00",4541
"2021-08-02 02:19:30.373+00",6930
"2021-08-02 02:19:40.373+00",8502
"2021-08-02 02:19:50.373+00",11018
"2021-08-02 02:20:00.373+00",19795
"2021-08-02 02:20:10.373+00",23423
"2021-08-02 02:20:20.373+00",25370
"2021-08-02 02:20:30.373+00",30457
"2021-08-02 02:20:40.373+00",33716
"2021-08-02 02:20:50.373+00",36103
"2021-08-02 02:21:00.377+00",39044
"2021-08-02 02:21:10.382+00",45462
"2021-08-02 02:21:20.373+00",52171
"2021-08-02 02:21:30.385+00",53442
"2021-08-02 02:21:40.373+00",59332
"2021-08-02 02:21:50.375+00",61508
"2021-08-02 02:22:00.373+00",67357
"2021-08-02 02:22:10.373+00",68558
"2021-08-02 02:22:20.378+00",75009
"2021-08-02 02:22:30.373+00",78813
"2021-08-02 02:22:40.373+00",81497
"2021-08-02 02:22:50.373+00",84968
"2021-08-02 02:23:00.373+00",87021
"2021-08-02 02:23:10.373+00",90735
"2021-08-02 02:23:20.373+00",99546
"2021-08-02 02:23:30.373+00",99717
"2021-08-02 02:23:40.373+00",103642
"2021-08-02 02:23:50.373+00",109016
"2021-08-02 02:24:00.373+00",111132
"2021-08-02 02:24:10.373+00",111603
"2021-08-02 02:24:20.373+00",118294
"2021-08-02 02:24:30.373+00",120174
"2021-08-02 02:24:40.373+00",122473
"2021-08-02 02:24:50.376+00",125666
"2021-08-02 02:25:00.373+00",125243
"2021-08-02 02:25:10.373+00",134202
"2021-08-02 02:25:20.373+00",136347
"2021-08-02 02:25:30.373+00",138835
"2021-08-02 02:25:40.373+00",140768
"2021-08-02 02:25:50.373+00",143995
"2021-08-02 02:26:00.373+00",146011
"2021-08-02 02:26:10.383+00",145472
"2021-08-02 02:26:20.373+00",155136
"2021-08-02 02:26:30.373+00",161000
"2021-08-02 02:26:40.373+00",164452
"2021-08-02 02:26:50.373+00",145512
"2021-08-02 02:27:00.376+00",123637
"2021-08-02 02:27:10.373+00",98009
"2021-08-02 02:27:20.376+00",84757
"2021-08-02 02:27:30.373+00",37117
"2021-08-02 02:27:40.373+00",1306
"2021-08-02 02:27:50.373+00",0
"2021-08-02 02:28:00.373+00",1
"2021-08-02 02:28:10.373+00",1
"2021-08-02 02:28:20.373+00",0
"2021-08-02 02:28:30.373+00",1
"2021-08-02 02:28:40.373+00",0
"2021-08-02 02:28:50.373+00",0
"2021-08-02 02:29:00.373+00",1
"2021-08-02 02:29:10.373+00",0
"2021-08-02 02:29:20.373+00",0
"2021-08-02 02:29:30.373+00",0
"2021-08-02 02:29:40.373+00",0
"2021-08-02 02:29:50.373+00",0
