"time","processing_delay"
"2021-08-02 01:13:20.373+00",34
"2021-08-02 01:13:30.373+00",20
"2021-08-02 01:13:40.38+00",18
"2021-08-02 01:13:50.373+00",19
"2021-08-02 01:14:00.373+00",18
"2021-08-02 01:14:10.373+00",21
"2021-08-02 01:14:20.373+00",18
"2021-08-02 01:14:30.373+00",15
"2021-08-02 01:14:40.373+00",16
"2021-08-02 01:14:50.373+00",19
"2021-08-02 01:15:00.373+00",21
"2021-08-02 01:15:10.373+00",67
"2021-08-02 01:15:20.373+00",22
"2021-08-02 01:15:30.373+00",22
"2021-08-02 01:15:40.373+00",21
"2021-08-02 01:15:50.373+00",20
"2021-08-02 01:16:00.373+00",20
"2021-08-02 01:16:10.373+00",21
"2021-08-02 01:16:20.373+00",17
"2021-08-02 01:16:30.373+00",19
"2021-08-02 01:16:40.373+00",22
"2021-08-02 01:16:50.373+00",20
"2021-08-02 01:17:00.373+00",18
"2021-08-02 01:17:10.377+00",18
"2021-08-02 01:17:20.373+00",18
"2021-08-02 01:17:30.373+00",20
"2021-08-02 01:17:40.383+00",20
"2021-08-02 01:17:50.373+00",18
"2021-08-02 01:18:00.373+00",22
"2021-08-02 01:18:10.373+00",24
"2021-08-02 01:18:20.373+00",17
"2021-08-02 01:18:30.373+00",20
"2021-08-02 01:18:40.373+00",22
"2021-08-02 01:18:50.373+00",21
"2021-08-02 01:19:00.373+00",15
"2021-08-02 01:19:10.373+00",21
"2021-08-02 01:19:20.388+00",19
"2021-08-02 01:19:30.373+00",21
"2021-08-02 01:19:40.376+00",38
"2021-08-02 01:19:50.373+00",18
"2021-08-02 01:20:00.373+00",17
"2021-08-02 01:20:10.373+00",23
"2021-08-02 01:20:20.373+00",17
"2021-08-02 01:20:30.373+00",17
"2021-08-02 01:20:40.373+00",15
"2021-08-02 01:20:50.373+00",23
"2021-08-02 01:21:00.373+00",16
"2021-08-02 01:21:10.373+00",24
"2021-08-02 01:21:20.373+00",18
"2021-08-02 01:21:30.373+00",18
"2021-08-02 01:21:40.373+00",20
"2021-08-02 01:21:50.373+00",15
"2021-08-02 01:22:00.373+00",18
"2021-08-02 01:22:10.373+00",26
"2021-08-02 01:22:20.384+00",18
"2021-08-02 01:22:30.373+00",18
"2021-08-02 01:22:40.373+00",22
"2021-08-02 01:22:50.373+00",18
"2021-08-02 01:23:00.373+00",17
"2021-08-02 01:23:10.373+00",1770
"2021-08-02 01:23:20.373+00",2103
"2021-08-02 01:23:30.373+00",1853
"2021-08-02 01:23:40.373+00",5383
"2021-08-02 01:23:50.373+00",3984
"2021-08-02 01:24:00.373+00",2373
"2021-08-02 01:24:10.373+00",2117
"2021-08-02 01:24:20.373+00",1844
"2021-08-02 01:24:30.375+00",2661
"2021-08-02 01:24:40.373+00",9005
"2021-08-02 01:24:50.373+00",3423
"2021-08-02 01:25:00.379+00",3049
"2021-08-02 01:25:10.373+00",2053
"2021-08-02 01:25:20.373+00",2157
"2021-08-02 01:25:30.373+00",1557
"2021-08-02 01:25:40.373+00",2385
"2021-08-02 01:25:50.373+00",1714
"2021-08-02 01:26:00.373+00",4539
"2021-08-02 01:26:10.373+00",2307
"2021-08-02 01:26:20.385+00",1828
"2021-08-02 01:26:30.373+00",2554
"2021-08-02 01:26:40.376+00",1180
"2021-08-02 01:26:50.373+00",2593
"2021-08-02 01:27:00.373+00",1625
"2021-08-02 01:27:10.373+00",1542
"2021-08-02 01:27:20.373+00",2532
"2021-08-02 01:27:30.373+00",8418
"2021-08-02 01:27:40.373+00",2236
"2021-08-02 01:27:50.373+00",2402
"2021-08-02 01:28:00.373+00",3915
"2021-08-02 01:28:10.373+00",1629
"2021-08-02 01:28:20.373+00",1642
"2021-08-02 01:28:30.373+00",2244
"2021-08-02 01:28:40.373+00",2060
"2021-08-02 01:28:50.373+00",2101
"2021-08-02 01:29:00.373+00",1405
"2021-08-02 01:29:10.373+00",5362
"2021-08-02 01:29:20.379+00",1921
"2021-08-02 01:29:30.373+00",2192
"2021-08-02 01:29:40.379+00",3440
"2021-08-02 01:29:50.373+00",2034
"2021-08-02 01:30:00.373+00",673
"2021-08-02 01:30:10.378+00",143
"2021-08-02 01:30:20.373+00",670
"2021-08-02 01:30:30.378+00",493
"2021-08-02 01:30:40.373+00",3681
"2021-08-02 01:30:50.373+00",439
"2021-08-02 01:31:00.373+00",97
"2021-08-02 01:31:10.373+00",16
"2021-08-02 01:31:20.373+00",18
"2021-08-02 01:31:30.39+00",19
"2021-08-02 01:31:40.373+00",105
"2021-08-02 01:31:50.381+00",17
"2021-08-02 01:32:00.373+00",19
"2021-08-02 01:32:10.373+00",17
"2021-08-02 01:32:20.373+00",15
"2021-08-02 01:32:30.373+00",14
"2021-08-02 01:32:40.373+00",19
"2021-08-02 01:32:50.373+00",18
"2021-08-02 01:33:00.373+00",18
"2021-08-02 01:33:10.373+00",17
"2021-08-02 01:33:20.373+00",19
"2021-08-02 01:33:30.373+00",18
"2021-08-02 01:33:40.373+00",22
"2021-08-02 01:33:50.373+00",16
"2021-08-02 01:34:00.373+00",18
"2021-08-02 01:34:10.373+00",151
"2021-08-02 01:34:20.373+00",17
"2021-08-02 01:34:30.373+00",12
"2021-08-02 01:34:40.373+00",19
"2021-08-02 01:34:50.373+00",20
"2021-08-02 01:35:00.373+00",16
"2021-08-02 01:35:10.373+00",17
"2021-08-02 01:35:20.373+00",15
"2021-08-02 01:35:30.377+00",21
"2021-08-02 01:35:40.373+00",18
"2021-08-02 01:35:50.373+00",35
"2021-08-02 01:36:00.373+00",425
"2021-08-02 01:36:10.373+00",586
"2021-08-02 01:36:20.373+00",1924
"2021-08-02 01:36:30.373+00",382
"2021-08-02 01:36:40.388+00",366
"2021-08-02 01:36:50.373+00",364
"2021-08-02 01:37:00.373+00",2198
"2021-08-02 01:37:10.376+00",2162
"2021-08-02 01:37:20.378+00",1332
"2021-08-02 01:37:30.373+00",242
"2021-08-02 01:37:40.386+00",1624
"2021-08-02 01:37:50.373+00",558
"2021-08-02 01:38:00.373+00",432
"2021-08-02 01:38:10.373+00",486
"2021-08-02 01:38:20.373+00",2958
"2021-08-02 01:38:30.373+00",1256
"2021-08-02 01:38:40.373+00",558
"2021-08-02 01:38:50.373+00",408
"2021-08-02 01:39:00.373+00",1551
"2021-08-02 01:39:10.373+00",383
"2021-08-02 01:39:20.373+00",446
"2021-08-02 01:39:30.373+00",427
"2021-08-02 01:39:40.373+00",2370
"2021-08-02 01:39:50.373+00",2835
"2021-08-02 01:40:00.373+00",1220
"2021-08-02 01:40:10.373+00",572
"2021-08-02 01:40:20.373+00",1714
"2021-08-02 01:40:30.373+00",329
"2021-08-02 01:40:40.373+00",363
"2021-08-02 01:40:50.373+00",510
"2021-08-02 01:41:00.373+00",17
"2021-08-02 01:41:10.373+00",16
"2021-08-02 01:41:20.373+00",40
"2021-08-02 01:41:30.373+00",18
"2021-08-02 01:41:40.373+00",20
"2021-08-02 01:41:50.373+00",36
"2021-08-02 01:42:00.373+00",83
"2021-08-02 01:42:10.373+00",20
"2021-08-02 01:42:20.373+00",37
"2021-08-02 01:42:30.377+00",24
"2021-08-02 01:42:40.373+00",21
"2021-08-02 01:42:50.373+00",19
"2021-08-02 01:43:00.373+00",16
"2021-08-02 01:43:10.373+00",16
"2021-08-02 01:43:20.373+00",18
"2021-08-02 01:43:30.373+00",20
"2021-08-02 01:43:40.373+00",21
"2021-08-02 01:43:50.373+00",17
"2021-08-02 01:44:00.373+00",18
"2021-08-02 01:44:10.381+00",114
"2021-08-02 01:44:20.373+00",12
"2021-08-02 01:44:30.373+00",22
"2021-08-02 01:44:40.373+00",19
"2021-08-02 01:44:50.373+00",21
"2021-08-02 01:45:00.373+00",16
"2021-08-02 01:45:10.373+00",44
"2021-08-02 01:45:20.373+00",19
"2021-08-02 01:45:30.376+00",21
"2021-08-02 01:45:40.373+00",39
"2021-08-02 01:45:50.373+00",17
"2021-08-02 01:46:00.373+00",1695
"2021-08-02 01:46:10.383+00",2670
"2021-08-02 01:46:20.373+00",1242
"2021-08-02 01:46:30.373+00",2927
"2021-08-02 01:46:40.373+00",2382
"2021-08-02 01:46:50.377+00",2756
"2021-08-02 01:47:00.373+00",2313
"2021-08-02 01:47:10.375+00",2257
"2021-08-02 01:47:20.373+00",3432
"2021-08-02 01:47:30.373+00",1867
"2021-08-02 01:47:40.373+00",3236
"2021-08-02 01:47:50.373+00",1559
"2021-08-02 01:48:00.373+00",3478
"2021-08-02 01:48:10.373+00",1598
"2021-08-02 01:48:20.373+00",2912
"2021-08-02 01:48:30.379+00",2933
"2021-08-02 01:48:40.373+00",2198
"2021-08-02 01:48:50.373+00",3057
"2021-08-02 01:49:00.379+00",4490
"2021-08-02 01:49:10.373+00",2314
"2021-08-02 01:49:20.373+00",3352
"2021-08-02 01:49:30.373+00",2492
"2021-08-02 01:49:40.373+00",2582
"2021-08-02 01:49:50.373+00",2457
"2021-08-02 01:50:00.373+00",4350
"2021-08-02 01:50:10.373+00",2936
"2021-08-02 01:50:20.373+00",2692
"2021-08-02 01:50:30.373+00",2945
"2021-08-02 01:50:40.373+00",2647
"2021-08-02 01:50:50.373+00",1938
"2021-08-02 01:51:00.373+00",3354
"2021-08-02 01:51:10.373+00",1934
"2021-08-02 01:51:20.373+00",2023
"2021-08-02 01:51:30.373+00",1949
"2021-08-02 01:51:40.373+00",1678
"2021-08-02 01:51:50.373+00",3459
"2021-08-02 01:52:00.373+00",2676
"2021-08-02 01:52:10.373+00",2147
"2021-08-02 01:52:20.373+00",2072
"2021-08-02 01:52:30.373+00",510
"2021-08-02 01:52:40.391+00",175
"2021-08-02 01:52:50.373+00",311
"2021-08-02 01:53:00.373+00",155
"2021-08-02 01:53:10.373+00",162
"2021-08-02 01:53:20.373+00",17
"2021-08-02 01:53:30.377+00",19
"2021-08-02 01:53:40.373+00",36
"2021-08-02 01:53:50.373+00",19
"2021-08-02 01:54:00.391+00",19
"2021-08-02 01:54:10.373+00",19
"2021-08-02 01:54:20.373+00",17
"2021-08-02 01:54:30.373+00",16
"2021-08-02 01:54:40.373+00",40
"2021-08-02 01:54:50.373+00",19
"2021-08-02 01:55:00.373+00",17
"2021-08-02 01:55:10.373+00",17
"2021-08-02 01:55:20.373+00",17
"2021-08-02 01:55:30.373+00",42
"2021-08-02 01:55:40.373+00",21
"2021-08-02 01:55:50.373+00",21
"2021-08-02 01:56:00.373+00",18
"2021-08-02 01:56:10.373+00",111
"2021-08-02 01:56:20.386+00",17
"2021-08-02 01:56:30.373+00",16
"2021-08-02 01:56:40.378+00",21
"2021-08-02 01:56:50.373+00",103
"2021-08-02 01:57:00.373+00",17
"2021-08-02 01:57:10.373+00",20
"2021-08-02 01:57:20.373+00",18
"2021-08-02 01:57:30.373+00",17
"2021-08-02 01:57:40.373+00",18
"2021-08-02 01:57:50.373+00",19
"2021-08-02 01:58:00.373+00",17
"2021-08-02 01:58:10.373+00",19
"2021-08-02 01:58:20.373+00",15
"2021-08-02 01:58:30.373+00",16
"2021-08-02 01:58:40.373+00",20
"2021-08-02 01:58:50.373+00",19
"2021-08-02 01:59:00.373+00",17
"2021-08-02 01:59:10.373+00",22
"2021-08-02 01:59:20.373+00",17
"2021-08-02 01:59:30.373+00",18
"2021-08-02 01:59:40.373+00",21
"2021-08-02 01:59:50.377+00",18
"2021-08-02 02:00:00.373+00",18
"2021-08-02 02:00:10.373+00",19
"2021-08-02 02:00:20.373+00",16
"2021-08-02 02:00:30.373+00",17
"2021-08-02 02:00:40.373+00",24
"2021-08-02 02:00:50.373+00",22
"2021-08-02 02:01:00.373+00",16
"2021-08-02 02:01:10.373+00",22
"2021-08-02 02:01:20.373+00",18
"2021-08-02 02:01:30.373+00",18
"2021-08-02 02:01:40.373+00",22
"2021-08-02 02:01:50.373+00",17
"2021-08-02 02:02:00.373+00",13
"2021-08-02 02:02:10.373+00",19
"2021-08-02 02:02:20.373+00",16
"2021-08-02 02:02:30.373+00",18
"2021-08-02 02:02:40.373+00",20
"2021-08-02 02:02:50.378+00",15
"2021-08-02 02:03:00.373+00",13
"2021-08-02 02:03:10.373+00",18
"2021-08-02 02:03:20.373+00",110
"2021-08-02 02:03:30.373+00",19
"2021-08-02 02:03:40.373+00",19
"2021-08-02 02:03:50.373+00",13
"2021-08-02 02:04:00.373+00",18
"2021-08-02 02:04:10.377+00",24
"2021-08-02 02:04:20.373+00",17
"2021-08-02 02:04:30.381+00",17
"2021-08-02 02:04:40.373+00",105
"2021-08-02 02:04:50.373+00",19
"2021-08-02 02:05:00.373+00",18
"2021-08-02 02:05:10.373+00",23
"2021-08-02 02:05:20.373+00",22
"2021-08-02 02:05:30.373+00",20
"2021-08-02 02:05:40.375+00",18
"2021-08-02 02:05:50.373+00",17
"2021-08-02 02:06:00.373+00",20
"2021-08-02 02:06:10.373+00",84
"2021-08-02 02:06:20.373+00",31
"2021-08-02 02:06:30.373+00",18
"2021-08-02 02:06:40.373+00",15
"2021-08-02 02:06:50.373+00",105
"2021-08-02 02:07:00.373+00",19
"2021-08-02 02:07:10.373+00",21
"2021-08-02 02:07:20.373+00",36
"2021-08-02 02:07:30.373+00",18
"2021-08-02 02:07:40.373+00",20
"2021-08-02 02:07:50.373+00",38
"2021-08-02 02:08:00.373+00",18
"2021-08-02 02:08:10.373+00",24
"2021-08-02 02:08:20.373+00",17
"2021-08-02 02:08:30.373+00",16
"2021-08-02 02:08:40.373+00",20
"2021-08-02 02:08:50.373+00",39
"2021-08-02 02:09:00.373+00",18
"2021-08-02 02:09:10.373+00",17
"2021-08-02 02:09:20.373+00",713
"2021-08-02 02:09:30.373+00",2646
"2021-08-02 02:09:40.373+00",2066
"2021-08-02 02:09:50.373+00",1674
"2021-08-02 02:10:00.373+00",1173
"2021-08-02 02:10:10.373+00",402
"2021-08-02 02:10:20.373+00",1940
"2021-08-02 02:10:30.373+00",751
"2021-08-02 02:10:40.373+00",1388
"2021-08-02 02:10:50.373+00",1314
"2021-08-02 02:11:00.373+00",1241
"2021-08-02 02:11:10.373+00",1912
"2021-08-02 02:11:20.373+00",1792
"2021-08-02 02:11:30.373+00",435
"2021-08-02 02:11:40.373+00",2259
"2021-08-02 02:11:50.373+00",211
"2021-08-02 02:12:00.373+00",874
"2021-08-02 02:12:10.373+00",501
"2021-08-02 02:12:20.373+00",1411
"2021-08-02 02:12:30.373+00",1402
"2021-08-02 02:12:40.373+00",407
"2021-08-02 02:12:50.376+00",370
"2021-08-02 02:13:00.373+00",3006
"2021-08-02 02:13:10.373+00",206
"2021-08-02 02:13:20.373+00",393
"2021-08-02 02:13:30.373+00",473
"2021-08-02 02:13:40.373+00",1733
"2021-08-02 02:13:50.373+00",2107
"2021-08-02 02:14:00.373+00",445
"2021-08-02 02:14:10.373+00",471
"2021-08-02 02:14:20.373+00",2714
"2021-08-02 02:14:30.373+00",17
"2021-08-02 02:14:40.373+00",19
"2021-08-02 02:14:50.373+00",18
"2021-08-02 02:15:00.373+00",18
"2021-08-02 02:15:10.373+00",14
"2021-08-02 02:15:20.381+00",20
"2021-08-02 02:15:30.373+00",20
"2021-08-02 02:15:40.373+00",19
"2021-08-02 02:15:50.373+00",21
"2021-08-02 02:16:00.373+00",19
"2021-08-02 02:16:10.373+00",22
"2021-08-02 02:16:20.373+00",17
"2021-08-02 02:16:30.373+00",19
"2021-08-02 02:16:40.373+00",21
"2021-08-02 02:16:50.373+00",19
"2021-08-02 02:17:00.38+00",16
"2021-08-02 02:17:10.373+00",19
"2021-08-02 02:17:20.373+00",17
"2021-08-02 02:17:30.373+00",19
"2021-08-02 02:17:40.373+00",15
"2021-08-02 02:17:50.373+00",16
"2021-08-02 02:18:00.373+00",18
"2021-08-02 02:18:10.373+00",24
"2021-08-02 02:18:20.373+00",15
"2021-08-02 02:18:30.373+00",16
"2021-08-02 02:18:40.373+00",18
"2021-08-02 02:18:50.373+00",18
"2021-08-02 02:19:00.373+00",17
"2021-08-02 02:19:10.373+00",2829
"2021-08-02 02:19:20.373+00",1778
"2021-08-02 02:19:30.373+00",2506
"2021-08-02 02:19:40.373+00",2846
"2021-08-02 02:19:50.373+00",6534
"2021-08-02 02:20:00.373+00",3084
"2021-08-02 02:20:10.373+00",2837
"2021-08-02 02:20:20.373+00",3028
"2021-08-02 02:20:30.373+00",1820
"2021-08-02 02:20:40.373+00",3741
"2021-08-02 02:20:50.373+00",4532
"2021-08-02 02:21:00.377+00",5003
"2021-08-02 02:21:10.382+00",4670
"2021-08-02 02:21:20.373+00",3494
"2021-08-02 02:21:30.385+00",2132
"2021-08-02 02:21:40.373+00",3497
"2021-08-02 02:21:50.375+00",3013
"2021-08-02 02:22:00.373+00",1796
"2021-08-02 02:22:10.373+00",5935
"2021-08-02 02:22:20.378+00",1816
"2021-08-02 02:22:30.373+00",2653
"2021-08-02 02:22:40.373+00",2109
"2021-08-02 02:22:50.373+00",1522
"2021-08-02 02:23:00.373+00",2648
"2021-08-02 02:23:10.373+00",4675
"2021-08-02 02:23:20.373+00",1428
"2021-08-02 02:23:30.373+00",3290
"2021-08-02 02:23:40.373+00",3337
"2021-08-02 02:23:50.373+00",3021
"2021-08-02 02:24:00.373+00",1829
"2021-08-02 02:24:10.373+00",5795
"2021-08-02 02:24:20.373+00",973
"2021-08-02 02:24:30.373+00",1710
"2021-08-02 02:24:40.373+00",2190
"2021-08-02 02:24:50.376+00",1780
"2021-08-02 02:25:00.373+00",950
"2021-08-02 02:25:10.373+00",1206
"2021-08-02 02:25:20.373+00",2019
"2021-08-02 02:25:30.373+00",2380
"2021-08-02 02:25:40.373+00",2646
"2021-08-02 02:25:50.373+00",1987
"2021-08-02 02:26:00.373+00",2775
"2021-08-02 02:26:10.383+00",8470
"2021-08-02 02:26:20.373+00",3069
"2021-08-02 02:26:30.373+00",2499
"2021-08-02 02:26:40.373+00",2777
"2021-08-02 02:26:50.373+00",1103
"2021-08-02 02:27:00.376+00",286
"2021-08-02 02:27:10.373+00",1545
"2021-08-02 02:27:20.376+00",724
"2021-08-02 02:27:30.373+00",785
"2021-08-02 02:27:40.373+00",88
"2021-08-02 02:27:50.373+00",617
"2021-08-02 02:28:00.373+00",298
"2021-08-02 02:28:10.373+00",239
"2021-08-02 02:28:20.373+00",186
"2021-08-02 02:28:30.373+00",137
"2021-08-02 02:28:40.373+00",71
"2021-08-02 02:28:50.373+00",19
"2021-08-02 02:29:00.373+00",15
"2021-08-02 02:29:10.373+00",64
"2021-08-02 02:29:20.373+00",20
"2021-08-02 02:29:30.373+00",19
"2021-08-02 02:29:40.373+00",106
"2021-08-02 02:29:50.373+00",18
