"time","memory_used_bytes","executor"
"2021-08-03 02:13:44.032+00",1727178,"4"
"2021-08-03 02:13:44.032+00",2178612,"3"
"2021-08-03 02:14:14.027+00",1727178,"4"
"2021-08-03 02:14:14.027+00",1933578,"2"
"2021-08-03 02:14:14.027+00",0,"1"
"2021-08-03 02:14:14.027+00",1714681,"5"
"2021-08-03 02:14:14.027+00",2474955,"0"
"2021-08-03 02:14:14.027+00",2178612,"3"
"2021-08-03 02:14:44.027+00",1714681,"5"
"2021-08-03 02:14:44.027+00",0,"1"
"2021-08-03 02:14:44.027+00",1727178,"4"
"2021-08-03 02:14:44.027+00",2178612,"3"
"2021-08-03 02:14:44.027+00",2474955,"0"
"2021-08-03 02:14:44.027+00",1933578,"2"
"2021-08-03 02:15:14.027+00",1731510,"5"
"2021-08-03 02:15:14.027+00",1950199,"2"
"2021-08-03 02:15:14.027+00",0,"1"
"2021-08-03 02:15:14.027+00",1743831,"4"
"2021-08-03 02:15:14.027+00",2491336,"0"
"2021-08-03 02:15:14.027+00",2214076,"3"
"2021-08-03 02:15:44.027+00",2923065,"5"
"2021-08-03 02:15:44.027+00",3784998,"3"
"2021-08-03 02:15:44.027+00",3551940,"0"
"2021-08-03 02:15:44.027+00",3093675,"4"
"2021-08-03 02:15:44.027+00",0,"1"
"2021-08-03 02:15:44.027+00",3005643,"2"
"2021-08-03 02:16:14.027+00",3752611,"4"
"2021-08-03 02:16:14.027+00",4095216,"0"
"2021-08-03 02:16:14.027+00",3522209,"5"
"2021-08-03 02:16:14.027+00",4537449,"3"
"2021-08-03 02:16:14.027+00",3559607,"2"
"2021-08-03 02:16:14.027+00",0,"1"
"2021-08-03 02:16:44.027+00",0,"1"
"2021-08-03 02:16:44.027+00",5180290,"3"
"2021-08-03 02:16:44.027+00",4321588,"4"
"2021-08-03 02:16:44.027+00",4031739,"5"
"2021-08-03 02:16:44.027+00",4000411,"2"
"2021-08-03 02:16:44.027+00",4542291,"0"
"2021-08-03 02:17:14.027+00",5767912,"3"
"2021-08-03 02:17:14.027+00",0,"1"
"2021-08-03 02:17:14.027+00",4832978,"4"
"2021-08-03 02:17:14.027+00",4405450,"2"
"2021-08-03 02:17:14.027+00",4946998,"0"
"2021-08-03 02:17:14.027+00",4485002,"5"
"2021-08-03 02:17:44.027+00",0,"1"
"2021-08-03 02:17:44.027+00",4970196,"2"
"2021-08-03 02:17:44.027+00",5099722,"5"
"2021-08-03 02:17:44.027+00",5495500,"0"
"2021-08-03 02:17:44.027+00",5496991,"4"
"2021-08-03 02:17:44.027+00",6556244,"3"
"2021-08-03 02:18:14.027+00",5897555,"0"
"2021-08-03 02:18:14.027+00",6001268,"4"
"2021-08-03 02:18:14.027+00",5554542,"5"
"2021-08-03 02:18:14.027+00",0,"1"
"2021-08-03 02:18:14.027+00",7128983,"3"
"2021-08-03 02:18:14.027+00",5357043,"2"
"2021-08-03 02:18:44.027+00",0,"1"
"2021-08-03 02:18:44.027+00",7815598,"3"
"2021-08-03 02:18:44.027+00",5849150,"2"
"2021-08-03 02:18:44.027+00",6095340,"5"
"2021-08-03 02:18:44.027+00",7154934,"4"
"2021-08-03 02:18:44.027+00",6371083,"0"
"2021-08-03 02:19:14.027+00",8390945,"3"
"2021-08-03 02:19:14.027+00",6247728,"2"
"2021-08-03 02:19:14.027+00",7125077,"4"
"2021-08-03 02:19:14.027+00",6775007,"0"
"2021-08-03 02:19:14.027+00",6558043,"5"
"2021-08-03 02:19:14.027+00",0,"1"
"2021-08-03 02:19:44.027+00",7018643,"5"
"2021-08-03 02:19:44.027+00",7644645,"4"
"2021-08-03 02:19:44.027+00",7186207,"0"
"2021-08-03 02:19:44.027+00",6654438,"2"
"2021-08-03 02:19:44.027+00",9015554,"3"
"2021-08-03 02:19:44.027+00",0,"1"
"2021-08-03 02:20:14.027+00",8611568,"5"
"2021-08-03 02:20:14.027+00",8552276,"0"
"2021-08-03 02:20:14.027+00",9500320,"4"
"2021-08-03 02:20:14.027+00",8026051,"2"
"2021-08-03 02:20:14.027+00",10987713,"3"
"2021-08-03 02:20:14.027+00",0,"1"
"2021-08-03 02:20:44.027+00",8753458,"4"
"2021-08-03 02:20:44.027+00",0,"1"
"2021-08-03 02:20:44.027+00",7958451,"5"
"2021-08-03 02:20:44.027+00",10149482,"3"
"2021-08-03 02:20:44.027+00",7461739,"2"
"2021-08-03 02:20:44.027+00",7987060,"0"
"2021-08-03 02:21:14.027+00",7461739,"2"
"2021-08-03 02:21:14.027+00",7958451,"5"
"2021-08-03 02:21:14.027+00",0,"1"
"2021-08-03 02:21:14.027+00",10149482,"3"
"2021-08-03 02:21:14.027+00",8753458,"4"
"2021-08-03 02:21:14.027+00",7987060,"0"
"2021-08-03 02:21:44.027+00",7987060,"0"
"2021-08-03 02:21:44.027+00",0,"1"
"2021-08-03 02:21:44.027+00",7958451,"5"
"2021-08-03 02:21:44.027+00",7461739,"2"
"2021-08-03 02:21:44.027+00",10149482,"3"
"2021-08-03 02:21:44.027+00",8753458,"4"
"2021-08-03 02:22:14.027+00",8753458,"4"
"2021-08-03 02:22:14.027+00",7461739,"2"
"2021-08-03 02:22:14.027+00",7987060,"0"
"2021-08-03 02:22:14.027+00",7958451,"5"
"2021-08-03 02:22:14.027+00",0,"1"
"2021-08-03 02:22:14.027+00",10149482,"3"
"2021-08-03 02:22:44.027+00",7987060,"0"
"2021-08-03 02:22:44.027+00",8753458,"4"
"2021-08-03 02:22:44.027+00",7958451,"5"
"2021-08-03 02:22:44.027+00",0,"1"
"2021-08-03 02:22:44.027+00",10149482,"3"
"2021-08-03 02:22:44.027+00",7461739,"2"
"2021-08-03 02:23:14.027+00",7461739,"2"
"2021-08-03 02:23:14.027+00",0,"1"
"2021-08-03 02:23:14.027+00",10149482,"3"
"2021-08-03 02:23:14.027+00",7987060,"0"
"2021-08-03 02:23:14.027+00",7958451,"5"
"2021-08-03 02:23:14.027+00",8753458,"4"
"2021-08-03 02:23:44.032+00",7987060,"0"
"2021-08-03 02:23:44.032+00",7958451,"5"
"2021-08-03 02:23:44.032+00",0,"1"
"2021-08-03 02:23:44.032+00",10149482,"3"
"2021-08-03 02:23:44.032+00",7461739,"2"
"2021-08-03 02:23:44.032+00",8753458,"4"
"2021-08-03 02:24:14.027+00",10149482,"3"
"2021-08-03 02:24:14.027+00",8753458,"4"
"2021-08-03 02:24:14.027+00",0,"1"
"2021-08-03 02:24:14.027+00",7987060,"0"
"2021-08-03 02:24:14.027+00",7958451,"5"
"2021-08-03 02:24:14.027+00",7461739,"2"
"2021-08-03 02:24:44.027+00",0,"1"
"2021-08-03 02:24:44.027+00",7958451,"5"
"2021-08-03 02:24:44.027+00",7461739,"2"
"2021-08-03 02:24:44.027+00",7987060,"0"
"2021-08-03 02:24:44.027+00",10149482,"3"
"2021-08-03 02:24:44.027+00",8753458,"4"
"2021-08-03 02:25:14.027+00",10149482,"3"
"2021-08-03 02:25:14.027+00",7461739,"2"
"2021-08-03 02:25:14.027+00",7987060,"0"
"2021-08-03 02:25:14.027+00",8753458,"4"
"2021-08-03 02:25:14.027+00",7958451,"5"
"2021-08-03 02:25:14.027+00",0,"1"
"2021-08-03 02:25:44.027+00",8725752,"4"
"2021-08-03 02:25:44.027+00",7930745,"5"
"2021-08-03 02:25:44.027+00",0,"1"
"2021-08-03 02:25:44.027+00",10121776,"3"
"2021-08-03 02:25:44.027+00",7959354,"0"
"2021-08-03 02:25:44.027+00",7434033,"2"
"2021-08-03 02:26:14.027+00",10104243,"3"
"2021-08-03 02:26:14.027+00",7426362,"2"
"2021-08-03 02:26:14.027+00",7923074,"5"
"2021-08-03 02:26:14.027+00",0,"1"
"2021-08-03 02:26:14.027+00",7951683,"0"
"2021-08-03 02:26:14.027+00",8718081,"4"
"2021-08-03 02:26:44.027+00",10104243,"3"
"2021-08-03 02:26:44.027+00",7426362,"2"
"2021-08-03 02:26:44.027+00",7951683,"0"
"2021-08-03 02:26:44.027+00",0,"1"
"2021-08-03 02:26:44.027+00",7923074,"5"
"2021-08-03 02:26:44.027+00",8718081,"4"
"2021-08-03 02:27:14.027+00",7951683,"0"
"2021-08-03 02:27:14.027+00",10104243,"3"
"2021-08-03 02:27:14.027+00",0,"1"
"2021-08-03 02:27:14.027+00",7923074,"5"
"2021-08-03 02:27:14.027+00",7426362,"2"
"2021-08-03 02:27:14.027+00",8718081,"4"
"2021-08-03 02:27:44.027+00",7426362,"2"
"2021-08-03 02:27:44.027+00",7951683,"0"
"2021-08-03 02:27:44.027+00",8718081,"4"
"2021-08-03 02:27:44.027+00",10104243,"3"
"2021-08-03 02:27:44.027+00",0,"1"
"2021-08-03 02:27:44.027+00",7923074,"5"
"2021-08-03 02:28:14.027+00",7923074,"5"
"2021-08-03 02:28:14.027+00",7951683,"0"
"2021-08-03 02:28:14.027+00",7426362,"2"
"2021-08-03 02:28:14.027+00",8718081,"4"
"2021-08-03 02:28:14.027+00",10104243,"3"
"2021-08-03 02:28:14.027+00",0,"1"
"2021-08-03 02:28:44.027+00",7923074,"5"
"2021-08-03 02:28:44.027+00",0,"1"
"2021-08-03 02:28:44.027+00",7951683,"0"
"2021-08-03 02:28:44.027+00",8718081,"4"
"2021-08-03 02:28:44.027+00",7426362,"2"
"2021-08-03 02:28:44.027+00",10104243,"3"
"2021-08-03 02:29:14.027+00",8718081,"4"
"2021-08-03 02:29:14.027+00",7426362,"2"
"2021-08-03 02:29:14.027+00",10104243,"3"
"2021-08-03 02:29:14.027+00",7951683,"0"
"2021-08-03 02:29:14.027+00",0,"1"
"2021-08-03 02:29:14.027+00",7923074,"5"
"2021-08-03 02:29:44.027+00",7923074,"5"
"2021-08-03 02:29:44.027+00",7426362,"2"
"2021-08-03 02:29:44.027+00",0,"1"
"2021-08-03 02:29:44.027+00",8718081,"4"
"2021-08-03 02:29:44.027+00",7951683,"0"
"2021-08-03 02:29:44.027+00",10104243,"3"
"2021-08-03 02:30:14.027+00",8718081,"4"
"2021-08-03 02:30:14.027+00",7923074,"5"
"2021-08-03 02:30:14.027+00",0,"1"
"2021-08-03 02:30:14.027+00",10104243,"3"
"2021-08-03 02:30:14.027+00",7426362,"2"
"2021-08-03 02:30:14.027+00",7951683,"0"
"2021-08-03 02:30:44.027+00",8718081,"4"
"2021-08-03 02:30:44.027+00",7426362,"2"
"2021-08-03 02:30:44.027+00",7951683,"0"
"2021-08-03 02:30:44.027+00",7923074,"5"
"2021-08-03 02:30:44.027+00",0,"1"
"2021-08-03 02:30:44.027+00",10104243,"3"
"2021-08-03 02:31:14.027+00",8332450,"0"
"2021-08-03 02:31:14.027+00",9087193,"4"
"2021-08-03 02:31:14.027+00",8328484,"5"
"2021-08-03 02:31:14.027+00",0,"1"
"2021-08-03 02:31:14.027+00",10650802,"3"
"2021-08-03 02:31:14.027+00",7787102,"2"
"2021-08-03 02:31:44.027+00",0,"1"
"2021-08-03 02:31:44.027+00",8616070,"5"
"2021-08-03 02:31:44.027+00",8053594,"2"
"2021-08-03 02:31:44.027+00",8585277,"0"
"2021-08-03 02:31:44.027+00",9346170,"4"
"2021-08-03 02:31:44.027+00",11096976,"3"
"2021-08-03 02:32:14.027+00",9703239,"4"
"2021-08-03 02:32:14.027+00",8946771,"0"
"2021-08-03 02:32:14.027+00",9000021,"5"
"2021-08-03 02:32:14.027+00",11558889,"3"
"2021-08-03 02:32:14.027+00",2778,"1"
"2021-08-03 02:32:14.027+00",8398763,"2"
"2021-08-03 02:32:44.027+00",9070800,"0"
"2021-08-03 02:32:44.027+00",8543370,"2"
"2021-08-03 02:32:44.027+00",9831657,"4"
"2021-08-03 02:32:44.027+00",9142977,"5"
"2021-08-03 02:32:44.027+00",0,"1"
"2021-08-03 02:32:44.027+00",11811629,"3"
"2021-08-03 02:33:14.027+00",8846855,"2"
"2021-08-03 02:33:14.027+00",9474277,"5"
"2021-08-03 02:33:14.027+00",0,"1"
"2021-08-03 02:33:14.027+00",12216029,"3"
"2021-08-03 02:33:14.027+00",10140642,"4"
"2021-08-03 02:33:14.027+00",9379736,"0"
"2021-08-03 02:33:44.027+00",10435905,"4"
"2021-08-03 02:33:44.027+00",9126383,"2"
"2021-08-03 02:33:44.027+00",12615739,"3"
"2021-08-03 02:33:44.027+00",0,"1"
"2021-08-03 02:33:44.027+00",9794588,"5"
"2021-08-03 02:33:44.027+00",9677776,"0"
"2021-08-03 02:34:14.027+00",12948076,"3"
"2021-08-03 02:34:14.027+00",9343413,"2"
"2021-08-03 02:34:14.027+00",10644384,"4"
"2021-08-03 02:34:14.027+00",9887284,"0"
"2021-08-03 02:34:14.027+00",10023232,"5"
"2021-08-03 02:34:14.027+00",0,"1"
"2021-08-03 02:34:44.027+00",9576598,"2"
"2021-08-03 02:34:44.027+00",13288218,"3"
"2021-08-03 02:34:44.027+00",0,"1"
"2021-08-03 02:34:44.027+00",10284247,"5"
"2021-08-03 02:34:44.027+00",10876261,"4"
"2021-08-03 02:34:44.027+00",10123200,"0"
"2021-08-03 02:35:14.027+00",9774046,"2"
"2021-08-03 02:35:14.027+00",13591311,"3"
"2021-08-03 02:35:14.027+00",0,"1"
"2021-08-03 02:35:14.027+00",10506538,"5"
"2021-08-03 02:35:14.027+00",10318612,"0"
"2021-08-03 02:35:14.027+00",11071321,"4"
"2021-08-03 02:35:44.027+00",13755935,"3"
"2021-08-03 02:35:44.027+00",9828030,"2"
"2021-08-03 02:35:44.027+00",11114008,"4"
"2021-08-03 02:35:44.027+00",10371368,"0"
"2021-08-03 02:35:44.027+00",10573771,"5"
"2021-08-03 02:35:44.027+00",0,"1"
"2021-08-03 02:36:14.032+00",11170099,"4"
"2021-08-03 02:36:14.032+00",13859424,"3"
"2021-08-03 02:36:14.032+00",0,"1"
"2021-08-03 02:36:14.032+00",10640987,"5"
"2021-08-03 02:36:14.032+00",10426212,"0"
"2021-08-03 02:36:14.032+00",9884822,"2"
"2021-08-03 02:36:44.027+00",9884822,"2"
"2021-08-03 02:36:44.027+00",13859424,"3"
"2021-08-03 02:36:44.027+00",0,"1"
"2021-08-03 02:36:44.027+00",10640987,"5"
"2021-08-03 02:36:44.027+00",10426212,"0"
"2021-08-03 02:36:44.027+00",11170099,"4"
"2021-08-03 02:37:14.027+00",10640987,"5"
"2021-08-03 02:37:14.027+00",10426212,"0"
"2021-08-03 02:37:14.027+00",11170099,"4"
"2021-08-03 02:37:14.027+00",9884822,"2"
"2021-08-03 02:37:14.027+00",13859424,"3"
"2021-08-03 02:37:14.027+00",0,"1"
"2021-08-03 02:37:44.027+00",13859424,"3"
"2021-08-03 02:37:44.027+00",9884822,"2"
"2021-08-03 02:37:44.027+00",11170099,"4"
"2021-08-03 02:37:44.027+00",10426212,"0"
"2021-08-03 02:37:44.027+00",0,"1"
"2021-08-03 02:37:44.027+00",10640987,"5"
"2021-08-03 02:38:14.027+00",10426212,"0"
"2021-08-03 02:38:14.027+00",10640987,"5"
"2021-08-03 02:38:14.027+00",0,"1"
"2021-08-03 02:38:14.027+00",11170099,"4"
"2021-08-03 02:38:14.027+00",9884822,"2"
"2021-08-03 02:38:14.027+00",13859424,"3"
"2021-08-03 02:38:44.027+00",9884822,"2"
"2021-08-03 02:38:44.027+00",10426212,"0"
"2021-08-03 02:38:44.027+00",11170099,"4"
"2021-08-03 02:38:44.027+00",13859424,"3"
"2021-08-03 02:38:44.027+00",0,"1"
"2021-08-03 02:38:44.027+00",10640987,"5"
"2021-08-03 02:39:14.027+00",9884822,"2"
"2021-08-03 02:39:14.027+00",13859424,"3"
"2021-08-03 02:39:14.027+00",0,"1"
"2021-08-03 02:39:14.027+00",10640987,"5"
"2021-08-03 02:39:14.027+00",10426212,"0"
"2021-08-03 02:39:14.027+00",11170099,"4"
"2021-08-03 02:39:44.027+00",10426212,"0"
"2021-08-03 02:39:44.027+00",0,"1"
"2021-08-03 02:39:44.027+00",13859424,"3"
"2021-08-03 02:39:44.027+00",10640987,"5"
"2021-08-03 02:39:44.027+00",9884822,"2"
"2021-08-03 02:39:44.027+00",11170099,"4"
"2021-08-03 02:40:14.027+00",0,"1"
"2021-08-03 02:40:14.027+00",10426212,"0"
"2021-08-03 02:40:14.027+00",11170099,"4"
"2021-08-03 02:40:14.027+00",9884822,"2"
"2021-08-03 02:40:14.027+00",13859424,"3"
"2021-08-03 02:40:14.027+00",10640987,"5"
"2021-08-03 02:40:44.027+00",10426212,"0"
"2021-08-03 02:40:44.027+00",13859424,"3"
"2021-08-03 02:40:44.027+00",0,"1"
"2021-08-03 02:40:44.027+00",11170099,"4"
"2021-08-03 02:40:44.027+00",10640987,"5"
"2021-08-03 02:40:44.027+00",9884822,"2"
"2021-08-03 02:41:14.027+00",13859424,"3"
"2021-08-03 02:41:14.027+00",10426212,"0"
"2021-08-03 02:41:14.027+00",11170099,"4"
"2021-08-03 02:41:14.027+00",9884822,"2"
"2021-08-03 02:41:14.027+00",0,"1"
"2021-08-03 02:41:14.027+00",10640987,"5"
"2021-08-03 02:41:44.027+00",13859424,"3"
"2021-08-03 02:41:44.027+00",0,"1"
"2021-08-03 02:41:44.027+00",10640987,"5"
"2021-08-03 02:41:44.027+00",10426212,"0"
"2021-08-03 02:41:44.027+00",11170099,"4"
"2021-08-03 02:41:44.027+00",9884822,"2"
"2021-08-03 02:42:14.027+00",11170099,"4"
"2021-08-03 02:42:14.027+00",13859424,"3"
"2021-08-03 02:42:14.027+00",0,"1"
"2021-08-03 02:42:14.027+00",10640987,"5"
"2021-08-03 02:42:14.027+00",10426212,"0"
"2021-08-03 02:42:14.027+00",9884822,"2"
"2021-08-03 02:42:44.027+00",9884822,"2"
"2021-08-03 02:42:44.027+00",0,"1"
"2021-08-03 02:42:44.027+00",10640987,"5"
"2021-08-03 02:42:44.027+00",10426212,"0"
"2021-08-03 02:42:44.027+00",11170099,"4"
"2021-08-03 02:42:44.027+00",13859424,"3"
"2021-08-03 02:43:14.027+00",10640987,"5"
"2021-08-03 02:43:14.027+00",11170099,"4"
"2021-08-03 02:43:14.027+00",9884822,"2"
"2021-08-03 02:43:14.027+00",13859424,"3"
"2021-08-03 02:43:14.027+00",0,"1"
"2021-08-03 02:43:14.027+00",10426212,"0"
"2021-08-03 02:43:44.027+00",13859424,"3"
"2021-08-03 02:43:44.027+00",0,"1"
"2021-08-03 02:43:44.027+00",10640987,"5"
"2021-08-03 02:43:44.027+00",11170099,"4"
"2021-08-03 02:43:44.027+00",9884822,"2"
"2021-08-03 02:43:44.027+00",10426212,"0"
"2021-08-03 02:44:14.027+00",9884822,"2"
"2021-08-03 02:44:14.027+00",10426212,"0"
"2021-08-03 02:44:14.027+00",11170099,"4"
"2021-08-03 02:44:14.027+00",13859424,"3"
"2021-08-03 02:44:14.027+00",0,"1"
"2021-08-03 02:44:14.027+00",10640987,"5"
"2021-08-03 02:44:44.027+00",10426212,"0"
"2021-08-03 02:44:44.027+00",11170099,"4"
"2021-08-03 02:44:44.027+00",9884822,"2"
"2021-08-03 02:44:44.027+00",0,"1"
"2021-08-03 02:44:44.027+00",10640987,"5"
"2021-08-03 02:44:44.027+00",13859424,"3"
"2021-08-03 02:45:14.027+00",13859424,"3"
"2021-08-03 02:45:14.027+00",0,"1"
"2021-08-03 02:45:14.027+00",10640987,"5"
"2021-08-03 02:45:14.027+00",10426212,"0"
"2021-08-03 02:45:14.027+00",11170099,"4"
"2021-08-03 02:45:14.027+00",9884822,"2"
"2021-08-03 02:45:44.027+00",0,"1"
"2021-08-03 02:45:44.027+00",9884822,"2"
"2021-08-03 02:45:44.027+00",11170099,"4"
"2021-08-03 02:45:44.027+00",10640987,"5"
"2021-08-03 02:45:44.027+00",13859424,"3"
"2021-08-03 02:45:44.027+00",10426212,"0"
"2021-08-03 02:46:14.027+00",10426212,"0"
"2021-08-03 02:46:14.027+00",11170099,"4"
"2021-08-03 02:46:14.027+00",9884822,"2"
"2021-08-03 02:46:14.027+00",13859424,"3"
"2021-08-03 02:46:14.027+00",0,"1"
"2021-08-03 02:46:14.027+00",10640987,"5"
"2021-08-03 02:46:44.027+00",13859424,"3"
"2021-08-03 02:46:44.027+00",0,"1"
"2021-08-03 02:46:44.027+00",10640987,"5"
"2021-08-03 02:46:44.027+00",10426212,"0"
"2021-08-03 02:46:44.027+00",11170099,"4"
"2021-08-03 02:46:44.027+00",9884822,"2"
"2021-08-03 02:47:14.027+00",9884822,"2"
"2021-08-03 02:47:14.027+00",10640987,"5"
"2021-08-03 02:47:14.027+00",0,"1"
"2021-08-03 02:47:14.027+00",13859424,"3"
"2021-08-03 02:47:14.027+00",10426212,"0"
"2021-08-03 02:47:14.027+00",11170099,"4"
"2021-08-03 02:47:44.027+00",10426212,"0"
"2021-08-03 02:47:44.027+00",10640987,"5"
"2021-08-03 02:47:44.027+00",0,"1"
"2021-08-03 02:47:44.027+00",13859424,"3"
"2021-08-03 02:47:44.027+00",9884822,"2"
"2021-08-03 02:47:44.027+00",11170099,"4"
"2021-08-03 02:48:14.027+00",13859424,"3"
"2021-08-03 02:48:14.027+00",10426212,"0"
"2021-08-03 02:48:14.027+00",9884822,"2"
"2021-08-03 02:48:14.027+00",10640987,"5"
"2021-08-03 02:48:14.027+00",11170099,"4"
"2021-08-03 02:48:14.027+00",0,"1"
"2021-08-03 02:48:44.027+00",13650442,"4"
"2021-08-03 02:48:44.027+00",16600647,"3"
"2021-08-03 02:48:44.027+00",0,"1"
"2021-08-03 02:48:44.027+00",12639848,"0"
"2021-08-03 02:48:44.027+00",12710441,"2"
"2021-08-03 02:48:44.027+00",13128548,"5"
"2021-08-03 02:49:14.027+00",15184763,"0"
"2021-08-03 02:49:14.027+00",15965045,"5"
"2021-08-03 02:49:14.027+00",0,"1"
"2021-08-03 02:49:14.027+00",19730080,"3"
"2021-08-03 02:49:14.027+00",15892288,"2"
"2021-08-03 02:49:14.027+00",16488728,"4"
"2021-08-03 02:49:44.027+00",17559902,"0"
"2021-08-03 02:49:44.027+00",18828688,"2"
"2021-08-03 02:49:44.027+00",19118109,"4"
"2021-08-03 02:49:44.027+00",18603326,"5"
"2021-08-03 02:49:44.027+00",22619085,"3"
"2021-08-03 02:49:44.027+00",0,"1"
"2021-08-03 02:50:14.027+00",0,"1"
"2021-08-03 02:50:14.027+00",21810932,"2"
"2021-08-03 02:50:14.027+00",25567496,"3"
"2021-08-03 02:50:14.027+00",19959823,"0"
"2021-08-03 02:50:14.027+00",21268237,"5"
"2021-08-03 02:50:14.027+00",21794890,"4"
"2021-08-03 02:50:44.027+00",24479531,"4"
"2021-08-03 02:50:44.027+00",24804715,"2"
"2021-08-03 02:50:44.027+00",23950983,"5"
"2021-08-03 02:50:44.027+00",0,"1"
"2021-08-03 02:50:44.027+00",22370034,"0"
"2021-08-03 02:50:44.027+00",28522596,"3"
"2021-08-03 02:51:14.027+00",24684884,"0"
"2021-08-03 02:51:14.027+00",31339305,"3"
"2021-08-03 02:51:14.027+00",27656172,"2"
"2021-08-03 02:51:14.027+00",26521442,"5"
"2021-08-03 02:51:14.027+00",27045936,"4"
"2021-08-03 02:51:14.027+00",0,"1"
"2021-08-03 02:51:44.031+00",30592933,"2"
"2021-08-03 02:51:44.031+00",29689726,"4"
"2021-08-03 02:51:44.031+00",29167473,"5"
"2021-08-03 02:51:44.031+00",0,"1"
"2021-08-03 02:51:44.031+00",34247986,"3"
"2021-08-03 02:51:44.031+00",27064545,"0"
"2021-08-03 02:52:14.027+00",33485159,"2"
"2021-08-03 02:52:14.027+00",32287201,"4"
"2021-08-03 02:52:14.027+00",37103490,"3"
"2021-08-03 02:52:14.027+00",0,"1"
"2021-08-03 02:52:14.027+00",31755605,"5"
"2021-08-03 02:52:14.027+00",29395973,"0"
"2021-08-03 02:52:44.027+00",34292812,"4"
"2021-08-03 02:52:44.027+00",0,"1"
"2021-08-03 02:52:44.027+00",33769209,"5"
"2021-08-03 02:52:44.027+00",39384434,"3"
"2021-08-03 02:52:44.027+00",35737169,"2"
"2021-08-03 02:52:44.027+00",31131973,"0"
"2021-08-03 02:53:14.027+00",41515566,"3"
"2021-08-03 02:53:14.027+00",37896521,"2"
"2021-08-03 02:53:14.027+00",36159561,"4"
"2021-08-03 02:53:14.027+00",32727716,"0"
"2021-08-03 02:53:14.027+00",35627173,"5"
"2021-08-03 02:53:14.027+00",0,"1"
"2021-08-03 02:53:44.027+00",39911266,"3"
"2021-08-03 02:53:44.027+00",34226626,"5"
"2021-08-03 02:53:44.027+00",0,"1"
"2021-08-03 02:53:44.027+00",36647358,"2"
"2021-08-03 02:53:44.027+00",34761337,"4"
"2021-08-03 02:53:44.027+00",31542105,"0"
"2021-08-03 02:54:14.027+00",34664610,"4"
"2021-08-03 02:54:14.027+00",39814539,"3"
"2021-08-03 02:54:14.027+00",34129899,"5"
"2021-08-03 02:54:14.027+00",36510174,"2"
"2021-08-03 02:54:14.027+00",31445378,"0"
"2021-08-03 02:54:14.027+00",0,"1"
"2021-08-03 02:54:44.027+00",36510174,"2"
"2021-08-03 02:54:44.027+00",39814539,"3"
"2021-08-03 02:54:44.027+00",0,"1"
"2021-08-03 02:54:44.027+00",31445378,"0"
"2021-08-03 02:54:44.027+00",34664610,"4"
"2021-08-03 02:54:44.027+00",34129899,"5"
"2021-08-03 02:55:14.027+00",34664610,"4"
"2021-08-03 02:55:14.027+00",0,"1"
"2021-08-03 02:55:14.027+00",34129899,"5"
"2021-08-03 02:55:14.027+00",39814539,"3"
