"time","processing_delay"
"2021-08-03 02:55:06.056+00",788
"2021-08-03 02:55:16.056+00",788
"2021-08-03 02:55:26.056+00",788
"2021-08-03 02:55:36.056+00",788
"2021-08-03 02:55:46.056+00",788
"2021-08-03 02:55:56.056+00",788
"2021-08-03 02:56:06.056+00",788
"2021-08-03 02:56:16.056+00",788
"2021-08-03 02:56:26.056+00",788
"2021-08-03 02:56:36.056+00",788
"2021-08-03 02:56:46.056+00",788
"2021-08-03 02:56:56.056+00",788
"2021-08-03 02:57:06.056+00",788
"2021-08-03 02:57:16.056+00",788
"2021-08-03 02:57:26.056+00",788
"2021-08-03 02:57:36.056+00",788
"2021-08-03 02:57:46.056+00",788
"2021-08-03 02:57:56.056+00",788
"2021-08-03 02:58:06.056+00",788
"2021-08-03 02:58:16.056+00",788
"2021-08-03 02:58:26.056+00",nan
"2021-08-03 03:00:26.056+00",58
"2021-08-03 03:00:36.056+00",59
"2021-08-03 03:00:46.056+00",60
"2021-08-03 03:00:56.056+00",63
"2021-08-03 03:01:06.056+00",65
"2021-08-03 03:01:16.056+00",69
"2021-08-03 03:01:26.056+00",72
"2021-08-03 03:01:36.056+00",68
"2021-08-03 03:01:46.056+00",111
"2021-08-03 03:01:56.056+00",75
"2021-08-03 03:02:06.056+00",73
"2021-08-03 03:02:16.056+00",87
"2021-08-03 03:02:26.056+00",79
"2021-08-03 03:02:36.056+00",77
"2021-08-03 03:02:46.056+00",80
"2021-08-03 03:02:56.056+00",85
"2021-08-03 03:03:06.056+00",97
"2021-08-03 03:03:16.056+00",80
"2021-08-03 03:03:26.056+00",80
"2021-08-03 03:03:36.056+00",84
"2021-08-03 03:03:46.056+00",85
"2021-08-03 03:03:56.056+00",82
"2021-08-03 03:04:06.056+00",108
"2021-08-03 03:04:16.056+00",109
"2021-08-03 03:04:26.056+00",106
"2021-08-03 03:04:36.056+00",93
"2021-08-03 03:04:46.056+00",125
"2021-08-03 03:04:56.056+00",91
"2021-08-03 03:05:06.056+00",94
"2021-08-03 03:05:16.056+00",124
"2021-08-03 03:05:26.056+00",124
"2021-08-03 03:05:36.056+00",124
"2021-08-03 03:05:46.056+00",124
"2021-08-03 03:05:56.056+00",124
"2021-08-03 03:06:06.056+00",124
"2021-08-03 03:06:16.056+00",124
"2021-08-03 03:06:26.056+00",124
"2021-08-03 03:06:36.056+00",124
"2021-08-03 03:06:46.056+00",124
"2021-08-03 03:06:56.056+00",124
"2021-08-03 03:07:06.056+00",124
"2021-08-03 03:07:16.056+00",124
"2021-08-03 03:07:26.056+00",124
"2021-08-03 03:07:36.056+00",124
"2021-08-03 03:07:46.056+00",124
"2021-08-03 03:07:56.056+00",124
"2021-08-03 03:08:06.056+00",124
"2021-08-03 03:08:16.056+00",124
"2021-08-03 03:08:26.056+00",124
"2021-08-03 03:08:36.056+00",124
"2021-08-03 03:08:46.056+00",124
"2021-08-03 03:08:56.056+00",124
"2021-08-03 03:09:06.056+00",124
"2021-08-03 03:09:16.056+00",124
"2021-08-03 03:09:26.056+00",124
"2021-08-03 03:09:36.056+00",124
"2021-08-03 03:09:46.056+00",124
"2021-08-03 03:09:56.056+00",124
"2021-08-03 03:10:06.056+00",124
"2021-08-03 03:10:16.056+00",nan
"2021-08-03 03:14:46.056+00",1480
"2021-08-03 03:14:56.056+00",1505
"2021-08-03 03:15:06.056+00",1466
"2021-08-03 03:15:16.056+00",1477
"2021-08-03 03:15:26.056+00",1507
"2021-08-03 03:15:36.056+00",1485
"2021-08-03 03:15:46.056+00",1528
"2021-08-03 03:15:56.056+00",1537
"2021-08-03 03:16:06.056+00",1452
"2021-08-03 03:16:16.056+00",1507
"2021-08-03 03:16:26.056+00",1490
"2021-08-03 03:16:36.056+00",1467
"2021-08-03 03:16:46.056+00",1478
"2021-08-03 03:16:56.056+00",1505
"2021-08-03 03:17:06.056+00",1510
"2021-08-03 03:17:16.056+00",1484
"2021-08-03 03:17:26.056+00",1523
"2021-08-03 03:17:36.056+00",1490
"2021-08-03 03:17:46.056+00",1516
"2021-08-03 03:17:56.056+00",1490
"2021-08-03 03:18:06.056+00",1514
"2021-08-03 03:18:16.056+00",1518
"2021-08-03 03:18:26.056+00",1514
"2021-08-03 03:18:36.056+00",1528
"2021-08-03 03:18:46.056+00",1878
"2021-08-03 03:18:56.056+00",1518
"2021-08-03 03:19:06.056+00",1535
"2021-08-03 03:19:16.068+00",1508
"2021-08-03 03:19:26.056+00",1774
"2021-08-03 03:19:36.056+00",1528
"2021-08-03 03:19:46.056+00",1528
"2021-08-03 03:19:56.056+00",1528
"2021-08-03 03:20:06.056+00",1528
"2021-08-03 03:20:16.056+00",1528
"2021-08-03 03:20:26.056+00",1528
"2021-08-03 03:20:36.056+00",1528
"2021-08-03 03:20:46.056+00",1528
"2021-08-03 03:20:56.056+00",1528
"2021-08-03 03:21:06.056+00",1528
"2021-08-03 03:21:16.056+00",1528
"2021-08-03 03:21:26.056+00",1528
"2021-08-03 03:21:36.056+00",1528
"2021-08-03 03:21:46.056+00",1528
"2021-08-03 03:21:56.056+00",1528
"2021-08-03 03:22:06.056+00",1528
"2021-08-03 03:22:16.056+00",1528
"2021-08-03 03:22:26.056+00",1528
"2021-08-03 03:22:36.056+00",1528
"2021-08-03 03:22:46.056+00",1528
"2021-08-03 03:22:56.056+00",1528
"2021-08-03 03:23:06.056+00",1528
"2021-08-03 03:23:16.056+00",1528
"2021-08-03 03:23:26.056+00",1528
"2021-08-03 03:23:36.056+00",1528
"2021-08-03 03:23:46.056+00",1528
"2021-08-03 03:23:56.056+00",1528
"2021-08-03 03:24:06.056+00",1528
"2021-08-03 03:24:16.056+00",1528
"2021-08-03 03:24:26.056+00",1528
"2021-08-03 03:24:36.056+00",nan
"2021-08-03 03:27:16.056+00",-1.0
"2021-08-03 03:27:26.056+00",62
"2021-08-03 03:27:36.056+00",112
"2021-08-03 03:27:46.056+00",75
"2021-08-03 03:27:56.056+00",72
"2021-08-03 03:28:06.056+00",79
"2021-08-03 03:28:16.056+00",79
"2021-08-03 03:28:26.056+00",79
"2021-08-03 03:28:36.056+00",85
"2021-08-03 03:28:46.056+00",81
"2021-08-03 03:28:56.056+00",139
"2021-08-03 03:29:06.056+00",86
"2021-08-03 03:29:16.056+00",93
"2021-08-03 03:29:26.056+00",93
"2021-08-03 03:29:36.056+00",96
"2021-08-03 03:29:46.056+00",94
"2021-08-03 03:29:56.056+00",102
"2021-08-03 03:30:06.056+00",144
"2021-08-03 03:30:16.056+00",100
"2021-08-03 03:30:26.056+00",105
"2021-08-03 03:30:36.056+00",101
"2021-08-03 03:30:46.056+00",112
"2021-08-03 03:30:56.056+00",108
"2021-08-03 03:31:06.056+00",103
"2021-08-03 03:31:16.056+00",111
"2021-08-03 03:31:26.056+00",118
"2021-08-03 03:31:36.056+00",116
"2021-08-03 03:31:46.056+00",118
"2021-08-03 03:31:56.056+00",127
"2021-08-03 03:32:06.056+00",127
"2021-08-03 03:32:16.056+00",115
"2021-08-03 03:32:26.056+00",115
"2021-08-03 03:32:36.056+00",115
"2021-08-03 03:32:46.056+00",115
"2021-08-03 03:32:56.056+00",115
"2021-08-03 03:33:06.056+00",115
"2021-08-03 03:33:16.056+00",115
"2021-08-03 03:33:26.056+00",115
"2021-08-03 03:33:36.056+00",115
"2021-08-03 03:33:46.056+00",115
"2021-08-03 03:33:56.056+00",115
"2021-08-03 03:34:06.056+00",115
"2021-08-03 03:34:16.056+00",115
"2021-08-03 03:34:26.056+00",115
"2021-08-03 03:34:36.056+00",115
"2021-08-03 03:34:46.056+00",115
"2021-08-03 03:34:56.056+00",115
