"time","shuffle_read_bytes_total","executor"
"2021-08-03 02:13:44.032+00",264504,"2"
"2021-08-03 02:13:44.032+00",229236,"4"
"2021-08-03 02:13:44.032+00",340310,"0"
"2021-08-03 02:14:14.027+00",229236,"4"
"2021-08-03 02:14:14.027+00",340310,"0"
"2021-08-03 02:14:14.027+00",302233,"3"
"2021-08-03 02:14:14.027+00",264504,"2"
"2021-08-03 02:14:14.027+00",0,"1"
"2021-08-03 02:14:14.027+00",226768,"5"
"2021-08-03 02:14:44.027+00",0,"1"
"2021-08-03 02:14:44.027+00",302233,"3"
"2021-08-03 02:14:44.027+00",264504,"2"
"2021-08-03 02:14:44.027+00",226768,"5"
"2021-08-03 02:14:44.027+00",229236,"4"
"2021-08-03 02:14:44.027+00",340310,"0"
"2021-08-03 02:15:14.027+00",229236,"4"
"2021-08-03 02:15:14.027+00",264504,"2"
"2021-08-03 02:15:14.027+00",304859,"3"
"2021-08-03 02:15:14.027+00",226768,"5"
"2021-08-03 02:15:14.027+00",340310,"0"
"2021-08-03 02:15:14.027+00",0,"1"
"2021-08-03 02:15:44.027+00",375060,"4"
"2021-08-03 02:15:44.027+00",470964,"3"
"2021-08-03 02:15:44.027+00",451427,"0"
"2021-08-03 02:15:44.027+00",374163,"2"
"2021-08-03 02:15:44.027+00",354522,"5"
"2021-08-03 02:15:44.027+00",0,"1"
"2021-08-03 02:16:14.027+00",529600,"4"
"2021-08-03 02:16:14.027+00",492006,"2"
"2021-08-03 02:16:14.027+00",489532,"5"
"2021-08-03 02:16:14.027+00",645790,"3"
"2021-08-03 02:16:14.027+00",568062,"0"
"2021-08-03 02:16:14.027+00",0,"1"
"2021-08-03 02:16:44.027+00",625835,"5"
"2021-08-03 02:16:44.027+00",821435,"3"
"2021-08-03 02:16:44.027+00",684166,"0"
"2021-08-03 02:16:44.027+00",0,"1"
"2021-08-03 02:16:44.027+00",684247,"4"
"2021-08-03 02:16:44.027+00",607891,"2"
"2021-08-03 02:17:14.027+00",763195,"5"
"2021-08-03 02:17:14.027+00",798756,"0"
"2021-08-03 02:17:14.027+00",839769,"4"
"2021-08-03 02:17:14.027+00",721917,"2"
"2021-08-03 02:17:14.027+00",0,"1"
"2021-08-03 02:17:14.027+00",996433,"3"
"2021-08-03 02:17:44.027+00",897662,"5"
"2021-08-03 02:17:44.027+00",912541,"0"
"2021-08-03 02:17:44.027+00",993801,"4"
"2021-08-03 02:17:44.027+00",838820,"2"
"2021-08-03 02:17:44.027+00",1171037,"3"
"2021-08-03 02:17:44.027+00",0,"1"
"2021-08-03 02:18:14.027+00",1027492,"0"
"2021-08-03 02:18:14.027+00",1147551,"4"
"2021-08-03 02:18:14.027+00",954157,"2"
"2021-08-03 02:18:14.027+00",0,"1"
"2021-08-03 02:18:14.027+00",1034135,"5"
"2021-08-03 02:18:14.027+00",1347309,"3"
"2021-08-03 02:18:44.027+00",1521563,"3"
"2021-08-03 02:18:44.027+00",0,"1"
"2021-08-03 02:18:44.027+00",1070054,"2"
"2021-08-03 02:18:44.027+00",1300456,"4"
"2021-08-03 02:18:44.027+00",1143164,"0"
"2021-08-03 02:18:44.027+00",1171005,"5"
"2021-08-03 02:19:14.027+00",1306127,"5"
"2021-08-03 02:19:14.027+00",1695698,"3"
"2021-08-03 02:19:14.027+00",0,"1"
"2021-08-03 02:19:14.027+00",1184456,"2"
"2021-08-03 02:19:14.027+00",1260568,"0"
"2021-08-03 02:19:14.027+00",1454101,"4"
"2021-08-03 02:19:44.027+00",1442810,"5"
"2021-08-03 02:19:44.027+00",1377652,"0"
"2021-08-03 02:19:44.027+00",1608502,"4"
"2021-08-03 02:19:44.027+00",1299848,"2"
"2021-08-03 02:19:44.027+00",0,"1"
"2021-08-03 02:19:44.027+00",1868693,"3"
"2021-08-03 02:20:14.027+00",0,"1"
"2021-08-03 02:20:14.027+00",2038631,"3"
"2021-08-03 02:20:14.027+00",1577098,"5"
"2021-08-03 02:20:14.027+00",1416035,"2"
"2021-08-03 02:20:14.027+00",1761515,"4"
"2021-08-03 02:20:14.027+00",1494763,"0"
"2021-08-03 02:20:44.027+00",1761515,"4"
"2021-08-03 02:20:44.027+00",2038631,"3"
"2021-08-03 02:20:44.027+00",1577098,"5"
"2021-08-03 02:20:44.027+00",1416035,"2"
"2021-08-03 02:20:44.027+00",0,"1"
"2021-08-03 02:20:44.027+00",1494763,"0"
"2021-08-03 02:21:14.027+00",0,"1"
"2021-08-03 02:21:14.027+00",2038631,"3"
"2021-08-03 02:21:14.027+00",1761515,"4"
"2021-08-03 02:21:14.027+00",1416035,"2"
"2021-08-03 02:21:14.027+00",1494763,"0"
"2021-08-03 02:21:14.027+00",1577098,"5"
"2021-08-03 02:21:44.027+00",2038631,"3"
"2021-08-03 02:21:44.027+00",0,"1"
"2021-08-03 02:21:44.027+00",1577098,"5"
"2021-08-03 02:21:44.027+00",1494763,"0"
"2021-08-03 02:21:44.027+00",1761515,"4"
"2021-08-03 02:21:44.027+00",1416035,"2"
"2021-08-03 02:22:14.027+00",1494763,"0"
"2021-08-03 02:22:14.027+00",1761515,"4"
"2021-08-03 02:22:14.027+00",1416035,"2"
"2021-08-03 02:22:14.027+00",1577098,"5"
"2021-08-03 02:22:14.027+00",0,"1"
"2021-08-03 02:22:14.027+00",2038631,"3"
"2021-08-03 02:22:44.027+00",2038631,"3"
"2021-08-03 02:22:44.027+00",1494763,"0"
"2021-08-03 02:22:44.027+00",1577098,"5"
"2021-08-03 02:22:44.027+00",1416035,"2"
"2021-08-03 02:22:44.027+00",1761515,"4"
"2021-08-03 02:22:44.027+00",0,"1"
"2021-08-03 02:23:14.027+00",0,"1"
"2021-08-03 02:23:14.027+00",1416035,"2"
"2021-08-03 02:23:14.027+00",1761515,"4"
"2021-08-03 02:23:14.027+00",1494763,"0"
"2021-08-03 02:23:14.027+00",1577098,"5"
"2021-08-03 02:23:14.027+00",2038631,"3"
"2021-08-03 02:23:44.032+00",2038631,"3"
"2021-08-03 02:23:44.032+00",1416035,"2"
"2021-08-03 02:23:44.032+00",1577098,"5"
"2021-08-03 02:23:44.032+00",0,"1"
"2021-08-03 02:23:44.032+00",1494763,"0"
"2021-08-03 02:23:44.032+00",1761515,"4"
"2021-08-03 02:24:14.027+00",1577098,"5"
"2021-08-03 02:24:14.027+00",1416035,"2"
"2021-08-03 02:24:14.027+00",1494763,"0"
"2021-08-03 02:24:14.027+00",0,"1"
"2021-08-03 02:24:14.027+00",2038631,"3"
"2021-08-03 02:24:14.027+00",1761515,"4"
"2021-08-03 02:24:44.027+00",1416035,"2"
"2021-08-03 02:24:44.027+00",1761515,"4"
"2021-08-03 02:24:44.027+00",1494763,"0"
"2021-08-03 02:24:44.027+00",0,"1"
"2021-08-03 02:24:44.027+00",1577098,"5"
"2021-08-03 02:24:44.027+00",2038631,"3"
"2021-08-03 02:25:14.027+00",0,"1"
"2021-08-03 02:25:14.027+00",1577098,"5"
"2021-08-03 02:25:14.027+00",1761515,"4"
"2021-08-03 02:25:14.027+00",1416035,"2"
"2021-08-03 02:25:14.027+00",1494763,"0"
"2021-08-03 02:25:14.027+00",2038631,"3"
"2021-08-03 02:25:44.027+00",1761515,"4"
"2021-08-03 02:25:44.027+00",2038631,"3"
"2021-08-03 02:25:44.027+00",1577098,"5"
"2021-08-03 02:25:44.027+00",0,"1"
"2021-08-03 02:25:44.027+00",1494763,"0"
"2021-08-03 02:25:44.027+00",1416035,"2"
"2021-08-03 02:26:14.027+00",1494763,"0"
"2021-08-03 02:26:14.027+00",1416035,"2"
"2021-08-03 02:26:14.027+00",2038631,"3"
"2021-08-03 02:26:14.027+00",1577098,"5"
"2021-08-03 02:26:14.027+00",0,"1"
"2021-08-03 02:26:14.027+00",1761515,"4"
"2021-08-03 02:26:44.027+00",2038631,"3"
"2021-08-03 02:26:44.027+00",1761515,"4"
"2021-08-03 02:26:44.027+00",1416035,"2"
"2021-08-03 02:26:44.027+00",1577098,"5"
"2021-08-03 02:26:44.027+00",1494763,"0"
"2021-08-03 02:26:44.027+00",0,"1"
"2021-08-03 02:27:14.027+00",2038631,"3"
"2021-08-03 02:27:14.027+00",1761515,"4"
"2021-08-03 02:27:14.027+00",1577098,"5"
"2021-08-03 02:27:14.027+00",1416035,"2"
"2021-08-03 02:27:14.027+00",0,"1"
"2021-08-03 02:27:14.027+00",1494763,"0"
"2021-08-03 02:27:44.027+00",1494763,"0"
"2021-08-03 02:27:44.027+00",0,"1"
"2021-08-03 02:27:44.027+00",1577098,"5"
"2021-08-03 02:27:44.027+00",2038631,"3"
"2021-08-03 02:27:44.027+00",1416035,"2"
"2021-08-03 02:27:44.027+00",1761515,"4"
"2021-08-03 02:28:14.027+00",1416035,"2"
"2021-08-03 02:28:14.027+00",2038631,"3"
"2021-08-03 02:28:14.027+00",0,"1"
"2021-08-03 02:28:14.027+00",1494763,"0"
"2021-08-03 02:28:14.027+00",1761515,"4"
"2021-08-03 02:28:14.027+00",1577098,"5"
"2021-08-03 02:28:44.027+00",0,"1"
"2021-08-03 02:28:44.027+00",1761515,"4"
"2021-08-03 02:28:44.027+00",1416035,"2"
"2021-08-03 02:28:44.027+00",1577098,"5"
"2021-08-03 02:28:44.027+00",2038631,"3"
"2021-08-03 02:28:44.027+00",1494763,"0"
"2021-08-03 02:29:14.027+00",0,"1"
"2021-08-03 02:29:14.027+00",2038631,"3"
"2021-08-03 02:29:14.027+00",1494763,"0"
"2021-08-03 02:29:14.027+00",1577098,"5"
"2021-08-03 02:29:14.027+00",1416035,"2"
"2021-08-03 02:29:14.027+00",1761515,"4"
"2021-08-03 02:29:44.027+00",2038631,"3"
"2021-08-03 02:29:44.027+00",1416035,"2"
"2021-08-03 02:29:44.027+00",0,"1"
"2021-08-03 02:29:44.027+00",1761515,"4"
"2021-08-03 02:29:44.027+00",1494763,"0"
"2021-08-03 02:29:44.027+00",1577098,"5"
"2021-08-03 02:30:14.027+00",1577098,"5"
"2021-08-03 02:30:14.027+00",2038631,"3"
"2021-08-03 02:30:14.027+00",1494763,"0"
"2021-08-03 02:30:14.027+00",1761515,"4"
"2021-08-03 02:30:14.027+00",1416035,"2"
"2021-08-03 02:30:14.027+00",0,"1"
"2021-08-03 02:30:44.027+00",2038631,"3"
"2021-08-03 02:30:44.027+00",1577098,"5"
"2021-08-03 02:30:44.027+00",0,"1"
"2021-08-03 02:30:44.027+00",1494763,"0"
"2021-08-03 02:30:44.027+00",1416035,"2"
"2021-08-03 02:30:44.027+00",1761515,"4"
"2021-08-03 02:31:14.027+00",1576030,"0"
"2021-08-03 02:31:14.027+00",2372280,"3"
"2021-08-03 02:31:14.027+00",0,"1"
"2021-08-03 02:31:14.027+00",1693811,"5"
"2021-08-03 02:31:14.027+00",1492999,"2"
"2021-08-03 02:31:14.027+00",1834142,"4"
"2021-08-03 02:31:44.027+00",2735682,"3"
"2021-08-03 02:31:44.027+00",1716863,"0"
"2021-08-03 02:31:44.027+00",1626501,"2"
"2021-08-03 02:31:44.027+00",1970984,"4"
"2021-08-03 02:31:44.027+00",0,"1"
"2021-08-03 02:31:44.027+00",1862270,"5"
"2021-08-03 02:32:14.027+00",3067056,"3"
"2021-08-03 02:32:14.027+00",2092055,"5"
"2021-08-03 02:32:14.027+00",0,"1"
"2021-08-03 02:32:14.027+00",1839205,"0"
"2021-08-03 02:32:14.027+00",2108851,"4"
"2021-08-03 02:32:14.027+00",1759210,"2"
"2021-08-03 02:32:44.027+00",3330811,"3"
"2021-08-03 02:32:44.027+00",0,"1"
"2021-08-03 02:32:44.027+00",2247590,"5"
"2021-08-03 02:32:44.027+00",2258149,"4"
"2021-08-03 02:32:44.027+00",1970833,"0"
"2021-08-03 02:32:44.027+00",1896478,"2"
"2021-08-03 02:33:14.027+00",2410447,"5"
"2021-08-03 02:33:14.027+00",2412985,"4"
"2021-08-03 02:33:14.027+00",0,"1"
"2021-08-03 02:33:14.027+00",3607924,"3"
"2021-08-03 02:33:14.027+00",2120944,"0"
"2021-08-03 02:33:14.027+00",2017996,"2"
"2021-08-03 02:33:44.027+00",3845845,"3"
"2021-08-03 02:33:44.027+00",0,"1"
"2021-08-03 02:33:44.027+00",2160386,"2"
"2021-08-03 02:33:44.027+00",2553304,"4"
"2021-08-03 02:33:44.027+00",2559182,"5"
"2021-08-03 02:33:44.027+00",2273839,"0"
"2021-08-03 02:34:14.027+00",0,"1"
"2021-08-03 02:34:14.027+00",2402141,"0"
"2021-08-03 02:34:14.027+00",2681250,"4"
"2021-08-03 02:34:14.027+00",2296016,"2"
"2021-08-03 02:34:14.027+00",2716315,"5"
"2021-08-03 02:34:14.027+00",4116962,"3"
"2021-08-03 02:34:44.027+00",2859811,"5"
"2021-08-03 02:34:44.027+00",4391788,"3"
"2021-08-03 02:34:44.027+00",0,"1"
"2021-08-03 02:34:44.027+00",2520919,"0"
"2021-08-03 02:34:44.027+00",2822186,"4"
"2021-08-03 02:34:44.027+00",2425820,"2"
"2021-08-03 02:35:14.027+00",4643562,"3"
"2021-08-03 02:35:14.027+00",2961783,"4"
"2021-08-03 02:35:14.027+00",2547393,"2"
"2021-08-03 02:35:14.027+00",0,"1"
"2021-08-03 02:35:14.027+00",3014636,"5"
"2021-08-03 02:35:14.027+00",2638854,"0"
"2021-08-03 02:35:44.027+00",4908114,"3"
"2021-08-03 02:35:44.027+00",3108473,"4"
"2021-08-03 02:35:44.027+00",2663576,"2"
"2021-08-03 02:35:44.027+00",0,"1"
"2021-08-03 02:35:44.027+00",3186285,"5"
"2021-08-03 02:35:44.027+00",2757155,"0"
"2021-08-03 02:36:14.032+00",5022383,"3"
"2021-08-03 02:36:14.032+00",3174349,"4"
"2021-08-03 02:36:14.032+00",2717966,"2"
"2021-08-03 02:36:14.032+00",0,"1"
"2021-08-03 02:36:14.032+00",3268821,"5"
"2021-08-03 02:36:14.032+00",2817720,"0"
"2021-08-03 02:36:44.027+00",5022383,"3"
"2021-08-03 02:36:44.027+00",2717966,"2"
"2021-08-03 02:36:44.027+00",3174349,"4"
"2021-08-03 02:36:44.027+00",0,"1"
"2021-08-03 02:36:44.027+00",3268821,"5"
"2021-08-03 02:36:44.027+00",2817720,"0"
"2021-08-03 02:37:14.027+00",0,"1"
"2021-08-03 02:37:14.027+00",3268821,"5"
"2021-08-03 02:37:14.027+00",5022383,"3"
"2021-08-03 02:37:14.027+00",2817720,"0"
"2021-08-03 02:37:14.027+00",3174349,"4"
"2021-08-03 02:37:14.027+00",2717966,"2"
"2021-08-03 02:37:44.027+00",0,"1"
"2021-08-03 02:37:44.027+00",3268821,"5"
"2021-08-03 02:37:44.027+00",5022383,"3"
"2021-08-03 02:37:44.027+00",2817720,"0"
"2021-08-03 02:37:44.027+00",3174349,"4"
"2021-08-03 02:37:44.027+00",2717966,"2"
"2021-08-03 02:38:14.027+00",5022383,"3"
"2021-08-03 02:38:14.027+00",3174349,"4"
"2021-08-03 02:38:14.027+00",2717966,"2"
"2021-08-03 02:38:14.027+00",0,"1"
"2021-08-03 02:38:14.027+00",3268821,"5"
"2021-08-03 02:38:14.027+00",2817720,"0"
"2021-08-03 02:38:44.027+00",5022383,"3"
"2021-08-03 02:38:44.027+00",2717966,"2"
"2021-08-03 02:38:44.027+00",3174349,"4"
"2021-08-03 02:38:44.027+00",0,"1"
"2021-08-03 02:38:44.027+00",3268821,"5"
"2021-08-03 02:38:44.027+00",2817720,"0"
"2021-08-03 02:39:14.027+00",5022383,"3"
"2021-08-03 02:39:14.027+00",2817720,"0"
"2021-08-03 02:39:14.027+00",3174349,"4"
"2021-08-03 02:39:14.027+00",2717966,"2"
"2021-08-03 02:39:14.027+00",0,"1"
"2021-08-03 02:39:14.027+00",3268821,"5"
"2021-08-03 02:39:44.027+00",0,"1"
"2021-08-03 02:39:44.027+00",5022383,"3"
"2021-08-03 02:39:44.027+00",3268821,"5"
"2021-08-03 02:39:44.027+00",2717966,"2"
"2021-08-03 02:39:44.027+00",3174349,"4"
"2021-08-03 02:39:44.027+00",2817720,"0"
"2021-08-03 02:40:14.027+00",2817720,"0"
"2021-08-03 02:40:14.027+00",3174349,"4"
"2021-08-03 02:40:14.027+00",2717966,"2"
"2021-08-03 02:40:14.027+00",0,"1"
"2021-08-03 02:40:14.027+00",3268821,"5"
"2021-08-03 02:40:14.027+00",5022383,"3"
"2021-08-03 02:40:44.027+00",2817720,"0"
"2021-08-03 02:40:44.027+00",3174349,"4"
"2021-08-03 02:40:44.027+00",2717966,"2"
"2021-08-03 02:40:44.027+00",5022383,"3"
"2021-08-03 02:40:44.027+00",3268821,"5"
"2021-08-03 02:40:44.027+00",0,"1"
"2021-08-03 02:41:14.027+00",5022383,"3"
"2021-08-03 02:41:14.027+00",3268821,"5"
"2021-08-03 02:41:14.027+00",0,"1"
"2021-08-03 02:41:14.027+00",2717966,"2"
"2021-08-03 02:41:14.027+00",3174349,"4"
"2021-08-03 02:41:14.027+00",2817720,"0"
"2021-08-03 02:41:44.027+00",5022383,"3"
"2021-08-03 02:41:44.027+00",2717966,"2"
"2021-08-03 02:41:44.027+00",2817720,"0"
"2021-08-03 02:41:44.027+00",3174349,"4"
"2021-08-03 02:41:44.027+00",0,"1"
"2021-08-03 02:41:44.027+00",3268821,"5"
"2021-08-03 02:42:14.027+00",5022383,"3"
"2021-08-03 02:42:14.027+00",0,"1"
"2021-08-03 02:42:14.027+00",3268821,"5"
"2021-08-03 02:42:14.027+00",2717966,"2"
"2021-08-03 02:42:14.027+00",3174349,"4"
"2021-08-03 02:42:14.027+00",2817720,"0"
"2021-08-03 02:42:44.027+00",5022383,"3"
"2021-08-03 02:42:44.027+00",3268821,"5"
"2021-08-03 02:42:44.027+00",0,"1"
"2021-08-03 02:42:44.027+00",2717966,"2"
"2021-08-03 02:42:44.027+00",3174349,"4"
"2021-08-03 02:42:44.027+00",2817720,"0"
"2021-08-03 02:43:14.027+00",3268821,"5"
"2021-08-03 02:43:14.027+00",2717966,"2"
"2021-08-03 02:43:14.027+00",3174349,"4"
"2021-08-03 02:43:14.027+00",2817720,"0"
"2021-08-03 02:43:14.027+00",5022383,"3"
"2021-08-03 02:43:14.027+00",0,"1"
"2021-08-03 02:43:44.027+00",3268821,"5"
"2021-08-03 02:43:44.027+00",2817720,"0"
"2021-08-03 02:43:44.027+00",3174349,"4"
"2021-08-03 02:43:44.027+00",2717966,"2"
"2021-08-03 02:43:44.027+00",0,"1"
"2021-08-03 02:43:44.027+00",5022383,"3"
"2021-08-03 02:44:14.027+00",5022383,"3"
"2021-08-03 02:44:14.027+00",3268821,"5"
"2021-08-03 02:44:14.027+00",2717966,"2"
"2021-08-03 02:44:14.027+00",0,"1"
"2021-08-03 02:44:14.027+00",3174349,"4"
"2021-08-03 02:44:14.027+00",2817720,"0"
"2021-08-03 02:44:44.027+00",0,"1"
"2021-08-03 02:44:44.027+00",2817720,"0"
"2021-08-03 02:44:44.027+00",3174349,"4"
"2021-08-03 02:44:44.027+00",2717966,"2"
"2021-08-03 02:44:44.027+00",3268821,"5"
"2021-08-03 02:44:44.027+00",5022383,"3"
"2021-08-03 02:45:14.027+00",3268821,"5"
"2021-08-03 02:45:14.027+00",5022383,"3"
"2021-08-03 02:45:14.027+00",2717966,"2"
"2021-08-03 02:45:14.027+00",3174349,"4"
"2021-08-03 02:45:14.027+00",2817720,"0"
"2021-08-03 02:45:14.027+00",0,"1"
"2021-08-03 02:45:44.027+00",3268821,"5"
"2021-08-03 02:45:44.027+00",0,"1"
"2021-08-03 02:45:44.027+00",2817720,"0"
"2021-08-03 02:45:44.027+00",3174349,"4"
"2021-08-03 02:45:44.027+00",2717966,"2"
"2021-08-03 02:45:44.027+00",5022383,"3"
"2021-08-03 02:46:14.027+00",2717966,"2"
"2021-08-03 02:46:14.027+00",2817720,"0"
"2021-08-03 02:46:14.027+00",5022383,"3"
"2021-08-03 02:46:14.027+00",3268821,"5"
"2021-08-03 02:46:14.027+00",0,"1"
"2021-08-03 02:46:14.027+00",3174349,"4"
"2021-08-03 02:46:44.027+00",2717966,"2"
"2021-08-03 02:46:44.027+00",2817720,"0"
"2021-08-03 02:46:44.027+00",5022383,"3"
"2021-08-03 02:46:44.027+00",3268821,"5"
"2021-08-03 02:46:44.027+00",0,"1"
"2021-08-03 02:46:44.027+00",3174349,"4"
"2021-08-03 02:47:14.027+00",5022383,"3"
"2021-08-03 02:47:14.027+00",3268821,"5"
"2021-08-03 02:47:14.027+00",0,"1"
"2021-08-03 02:47:14.027+00",2817720,"0"
"2021-08-03 02:47:14.027+00",3174349,"4"
"2021-08-03 02:47:14.027+00",2717966,"2"
"2021-08-03 02:47:44.027+00",0,"1"
"2021-08-03 02:47:44.027+00",2717966,"2"
"2021-08-03 02:47:44.027+00",3174349,"4"
"2021-08-03 02:47:44.027+00",2817720,"0"
"2021-08-03 02:47:44.027+00",5022383,"3"
"2021-08-03 02:47:44.027+00",3268821,"5"
"2021-08-03 02:48:14.027+00",3174349,"4"
"2021-08-03 02:48:14.027+00",3268821,"5"
"2021-08-03 02:48:14.027+00",0,"1"
"2021-08-03 02:48:14.027+00",5022383,"3"
"2021-08-03 02:48:14.027+00",2817720,"0"
"2021-08-03 02:48:14.027+00",2717966,"2"
"2021-08-03 02:48:44.027+00",3061699,"2"
"2021-08-03 02:48:44.027+00",5358445,"3"
"2021-08-03 02:48:44.027+00",3467586,"4"
"2021-08-03 02:48:44.027+00",0,"1"
"2021-08-03 02:48:44.027+00",3566889,"5"
"2021-08-03 02:48:44.027+00",3069278,"0"
"2021-08-03 02:49:14.027+00",4064123,"5"
"2021-08-03 02:49:14.027+00",3625947,"2"
"2021-08-03 02:49:14.027+00",3958939,"4"
"2021-08-03 02:49:14.027+00",0,"1"
"2021-08-03 02:49:14.027+00",3493277,"0"
"2021-08-03 02:49:14.027+00",5917113,"3"
"2021-08-03 02:49:44.027+00",0,"1"
"2021-08-03 02:49:44.027+00",3917116,"0"
"2021-08-03 02:49:44.027+00",4448756,"4"
"2021-08-03 02:49:44.027+00",4188199,"2"
"2021-08-03 02:49:44.027+00",4557984,"5"
"2021-08-03 02:49:44.027+00",6478459,"3"
"2021-08-03 02:50:14.027+00",4936224,"4"
"2021-08-03 02:50:14.027+00",0,"1"
"2021-08-03 02:50:14.027+00",5051990,"5"
"2021-08-03 02:50:14.027+00",4753484,"2"
"2021-08-03 02:50:14.027+00",7038433,"3"
"2021-08-03 02:50:14.027+00",4336778,"0"
"2021-08-03 02:50:44.027+00",0,"1"
"2021-08-03 02:50:44.027+00",5306427,"2"
"2021-08-03 02:50:44.027+00",7603459,"3"
"2021-08-03 02:50:44.027+00",4758647,"0"
"2021-08-03 02:50:44.027+00",5536367,"5"
"2021-08-03 02:50:44.027+00",5424605,"4"
"2021-08-03 02:51:14.027+00",5870052,"2"
"2021-08-03 02:51:14.027+00",6026207,"5"
"2021-08-03 02:51:14.027+00",0,"1"
"2021-08-03 02:51:14.027+00",5920755,"4"
"2021-08-03 02:51:14.027+00",5186099,"0"
"2021-08-03 02:51:14.027+00",8159814,"3"
"2021-08-03 02:51:44.031+00",6439906,"2"
"2021-08-03 02:51:44.031+00",5610714,"0"
"2021-08-03 02:51:44.031+00",6423143,"4"
"2021-08-03 02:51:44.031+00",6518752,"5"
"2021-08-03 02:51:44.031+00",0,"1"
"2021-08-03 02:51:44.031+00",8726097,"3"
"2021-08-03 02:52:14.027+00",6035309,"0"
"2021-08-03 02:52:14.027+00",6913837,"4"
"2021-08-03 02:52:14.027+00",7004450,"2"
"2021-08-03 02:52:14.027+00",9288293,"3"
"2021-08-03 02:52:14.027+00",7008394,"5"
"2021-08-03 02:52:14.027+00",0,"1"
"2021-08-03 02:52:44.027+00",0,"1"
"2021-08-03 02:52:44.027+00",6450589,"0"
"2021-08-03 02:52:44.027+00",7571832,"2"
"2021-08-03 02:52:44.027+00",7405207,"4"
"2021-08-03 02:52:44.027+00",7494806,"5"
"2021-08-03 02:52:44.027+00",9849989,"3"
"2021-08-03 02:53:14.027+00",7989508,"5"
"2021-08-03 02:53:14.027+00",0,"1"
"2021-08-03 02:53:14.027+00",10407355,"3"
"2021-08-03 02:53:14.027+00",6868630,"0"
"2021-08-03 02:53:14.027+00",7896435,"4"
"2021-08-03 02:53:14.027+00",8136143,"2"
"2021-08-03 02:53:44.027+00",8327912,"2"
"2021-08-03 02:53:44.027+00",8060761,"4"
"2021-08-03 02:53:44.027+00",7007270,"0"
"2021-08-03 02:53:44.027+00",10594799,"3"
"2021-08-03 02:53:44.027+00",8150751,"5"
"2021-08-03 02:53:44.027+00",0,"1"
"2021-08-03 02:54:14.027+00",0,"1"
"2021-08-03 02:54:14.027+00",8327912,"2"
"2021-08-03 02:54:14.027+00",8060761,"4"
"2021-08-03 02:54:14.027+00",8150751,"5"
"2021-08-03 02:54:14.027+00",7007270,"0"
"2021-08-03 02:54:14.027+00",10594799,"3"
"2021-08-03 02:54:44.027+00",8060761,"4"
"2021-08-03 02:54:44.027+00",10594799,"3"
"2021-08-03 02:54:44.027+00",8327912,"2"
"2021-08-03 02:54:44.027+00",0,"1"
"2021-08-03 02:54:44.027+00",8150751,"5"
"2021-08-03 02:54:44.027+00",7007270,"0"
"2021-08-03 02:55:14.027+00",0,"1"
"2021-08-03 02:55:14.027+00",10594799,"3"
"2021-08-03 02:55:14.027+00",7007270,"0"
"2021-08-03 02:55:14.027+00",8327912,"2"
"2021-08-03 02:55:14.027+00",8150751,"5"
"2021-08-03 02:55:14.027+00",8060761,"4"
"2021-08-03 02:55:44.027+00",0,"1"
