"time","mem_used_mb"
"2021-08-03 02:30:46.056+00",40
"2021-08-03 02:30:56.056+00",40
"2021-08-03 02:31:06.056+00",41
"2021-08-03 02:31:16.056+00",41
"2021-08-03 02:31:26.056+00",43
"2021-08-03 02:31:36.056+00",43
"2021-08-03 02:31:46.056+00",44
"2021-08-03 02:31:56.056+00",45
"2021-08-03 02:32:06.056+00",44
"2021-08-03 02:32:16.056+00",45
"2021-08-03 02:32:26.056+00",46
"2021-08-03 02:32:36.056+00",46
"2021-08-03 02:32:46.056+00",47
"2021-08-03 02:32:56.056+00",47
"2021-08-03 02:33:06.056+00",47
"2021-08-03 02:33:16.056+00",47
"2021-08-03 02:33:26.056+00",48
"2021-08-03 02:33:36.056+00",48
"2021-08-03 02:33:46.056+00",49
"2021-08-03 02:33:56.056+00",49
"2021-08-03 02:34:06.056+00",50
"2021-08-03 02:34:16.056+00",50
"2021-08-03 02:34:26.056+00",50
"2021-08-03 02:34:36.056+00",51
"2021-08-03 02:34:46.056+00",51
"2021-08-03 02:34:56.056+00",52
"2021-08-03 02:35:06.056+00",52
"2021-08-03 02:35:16.056+00",52
"2021-08-03 02:35:26.056+00",53
"2021-08-03 02:35:36.056+00",53
"2021-08-03 02:35:46.056+00",53
"2021-08-03 02:35:56.056+00",53
"2021-08-03 02:36:06.056+00",53
"2021-08-03 02:36:16.056+00",53
"2021-08-03 02:36:26.056+00",53
"2021-08-03 02:36:36.056+00",53
"2021-08-03 02:36:46.056+00",53
"2021-08-03 02:36:56.056+00",53
"2021-08-03 02:37:06.056+00",53
"2021-08-03 02:37:16.056+00",53
"2021-08-03 02:37:26.056+00",53
"2021-08-03 02:37:36.056+00",53
"2021-08-03 02:37:46.056+00",53
"2021-08-03 02:37:56.056+00",53
"2021-08-03 02:38:06.056+00",53
"2021-08-03 02:38:16.056+00",53
"2021-08-03 02:38:26.056+00",53
"2021-08-03 02:38:36.056+00",53
"2021-08-03 02:38:46.056+00",53
"2021-08-03 02:38:56.056+00",53
"2021-08-03 02:39:06.056+00",53
"2021-08-03 02:39:16.056+00",53
"2021-08-03 02:39:26.056+00",53
"2021-08-03 02:39:36.056+00",53
"2021-08-03 02:39:46.056+00",53
"2021-08-03 02:39:56.056+00",53
"2021-08-03 02:40:06.056+00",53
"2021-08-03 02:40:16.056+00",53
"2021-08-03 02:40:26.056+00",53
"2021-08-03 02:40:36.056+00",53
"2021-08-03 02:40:46.056+00",53
"2021-08-03 02:40:56.056+00",53
"2021-08-03 02:41:06.056+00",53
"2021-08-03 02:41:16.056+00",53
"2021-08-03 02:41:26.056+00",53
"2021-08-03 02:41:36.056+00",53
"2021-08-03 02:41:46.056+00",53
"2021-08-03 02:41:56.056+00",53
"2021-08-03 02:42:06.056+00",53
"2021-08-03 02:42:16.056+00",53
"2021-08-03 02:42:26.056+00",53
"2021-08-03 02:42:36.056+00",53
"2021-08-03 02:42:46.056+00",53
"2021-08-03 02:42:56.056+00",53
"2021-08-03 02:43:06.056+00",53
"2021-08-03 02:43:16.056+00",53
"2021-08-03 02:43:26.056+00",53
"2021-08-03 02:43:36.056+00",53
"2021-08-03 02:43:46.056+00",53
"2021-08-03 02:43:56.056+00",53
"2021-08-03 02:44:06.056+00",53
"2021-08-03 02:44:16.056+00",53
"2021-08-03 02:44:26.062+00",53
"2021-08-03 02:44:36.056+00",53
"2021-08-03 02:44:46.056+00",53
"2021-08-03 02:44:56.056+00",53
"2021-08-03 02:45:06.056+00",53
"2021-08-03 02:45:16.056+00",53
"2021-08-03 02:45:26.056+00",53
"2021-08-03 02:45:36.056+00",53
"2021-08-03 02:45:46.056+00",53
"2021-08-03 02:45:56.056+00",53
"2021-08-03 02:46:06.056+00",53
"2021-08-03 02:46:16.056+00",53
"2021-08-03 02:46:26.056+00",53
"2021-08-03 02:46:36.056+00",53
"2021-08-03 02:46:46.056+00",53
"2021-08-03 02:46:56.056+00",53
"2021-08-03 02:47:06.056+00",53
"2021-08-03 02:47:16.056+00",53
"2021-08-03 02:47:26.056+00",53
"2021-08-03 02:47:36.056+00",53
"2021-08-03 02:47:46.056+00",53
"2021-08-03 02:47:56.056+00",53
"2021-08-03 02:48:06.056+00",53
"2021-08-03 02:48:16.056+00",53
"2021-08-03 02:48:26.056+00",53
"2021-08-03 02:48:36.056+00",58
"2021-08-03 02:48:46.056+00",65
"2021-08-03 02:48:56.056+00",71
"2021-08-03 02:49:06.056+00",78
"2021-08-03 02:49:16.056+00",83
"2021-08-03 02:49:26.066+00",88
"2021-08-03 02:49:36.056+00",93
"2021-08-03 02:49:46.056+00",97
"2021-08-03 02:49:56.056+00",103
"2021-08-03 02:50:06.056+00",107
"2021-08-03 02:50:16.056+00",113
"2021-08-03 02:50:26.056+00",118
"2021-08-03 02:50:36.056+00",122
"2021-08-03 02:50:46.056+00",128
"2021-08-03 02:50:56.056+00",130
"2021-08-03 02:51:06.056+00",137
"2021-08-03 02:51:16.056+00",140
"2021-08-03 02:51:26.056+00",144
"2021-08-03 02:51:36.056+00",151
"2021-08-03 02:51:46.056+00",155
"2021-08-03 02:51:56.056+00",160
"2021-08-03 02:52:06.056+00",164
"2021-08-03 02:52:16.056+00",170
"2021-08-03 02:52:26.056+00",166
"2021-08-03 02:52:36.056+00",178
"2021-08-03 02:52:46.056+00",178
"2021-08-03 02:52:56.06+00",183
"2021-08-03 02:53:06.072+00",188
"2021-08-03 02:53:16.056+00",189
"2021-08-03 02:53:26.056+00",194
"2021-08-03 02:53:36.056+00",169
"2021-08-03 02:53:46.056+00",169
"2021-08-03 02:53:56.056+00",169
"2021-08-03 02:54:06.056+00",168
"2021-08-03 02:54:16.056+00",168
"2021-08-03 02:54:26.056+00",168
"2021-08-03 02:54:36.056+00",168
"2021-08-03 02:54:46.056+00",168
"2021-08-03 02:54:56.056+00",168
"2021-08-03 02:55:06.056+00",168
"2021-08-03 02:55:16.056+00",168
"2021-08-03 02:55:26.056+00",168
"2021-08-03 02:55:36.056+00",168
"2021-08-03 02:55:46.056+00",168
"2021-08-03 02:55:56.056+00",168
"2021-08-03 02:56:06.056+00",168
"2021-08-03 02:56:16.056+00",168
"2021-08-03 02:56:26.056+00",168
"2021-08-03 02:56:36.056+00",168
"2021-08-03 02:56:46.056+00",168
"2021-08-03 02:56:56.056+00",168
"2021-08-03 02:57:06.056+00",168
"2021-08-03 02:57:16.056+00",168
"2021-08-03 02:57:26.056+00",168
"2021-08-03 02:57:36.056+00",168
"2021-08-03 02:57:46.056+00",168
"2021-08-03 02:57:56.056+00",168
"2021-08-03 02:58:06.056+00",168
"2021-08-03 02:58:16.056+00",168
"2021-08-03 02:58:26.056+00",168
"2021-08-03 02:58:36.056+00",168
"2021-08-03 02:58:46.056+00",168
"2021-08-03 02:58:56.056+00",168
"2021-08-03 02:59:06.058+00",168
"2021-08-03 02:59:16.056+00",168
"2021-08-03 02:59:26.065+00",168
"2021-08-03 02:59:36.06+00",168
"2021-08-03 02:59:46.056+00",168
"2021-08-03 02:59:56.056+00",168
"2021-08-03 03:00:06.056+00",168
"2021-08-03 03:00:16.056+00",168
"2021-08-03 03:00:26.056+00",170
"2021-08-03 03:00:36.056+00",173
"2021-08-03 03:00:46.056+00",176
"2021-08-03 03:00:56.056+00",178
"2021-08-03 03:01:06.056+00",180
"2021-08-03 03:01:16.056+00",182
"2021-08-03 03:01:26.056+00",184
"2021-08-03 03:01:36.056+00",186
"2021-08-03 03:01:46.056+00",188
"2021-08-03 03:01:56.056+00",192
"2021-08-03 03:02:06.056+00",194
"2021-08-03 03:02:16.056+00",196
"2021-08-03 03:02:26.056+00",198
"2021-08-03 03:02:36.056+00",199
"2021-08-03 03:02:46.056+00",201
"2021-08-03 03:02:56.056+00",203
"2021-08-03 03:03:06.056+00",205
"2021-08-03 03:03:16.056+00",208
"2021-08-03 03:03:26.056+00",210
"2021-08-03 03:03:36.056+00",212
"2021-08-03 03:03:46.056+00",214
"2021-08-03 03:03:56.056+00",216
"2021-08-03 03:04:06.056+00",218
"2021-08-03 03:04:16.056+00",220
"2021-08-03 03:04:26.056+00",222
"2021-08-03 03:04:36.056+00",223
"2021-08-03 03:04:46.056+00",224
"2021-08-03 03:04:56.056+00",225
"2021-08-03 03:05:06.056+00",226
"2021-08-03 03:05:16.056+00",226
"2021-08-03 03:05:26.056+00",227
"2021-08-03 03:05:36.056+00",227
"2021-08-03 03:05:46.056+00",227
"2021-08-03 03:05:56.056+00",227
"2021-08-03 03:06:06.056+00",227
"2021-08-03 03:06:16.056+00",227
"2021-08-03 03:06:26.056+00",227
"2021-08-03 03:06:36.056+00",227
"2021-08-03 03:06:46.056+00",227
"2021-08-03 03:06:56.056+00",227
"2021-08-03 03:07:06.056+00",227
"2021-08-03 03:07:16.056+00",227
"2021-08-03 03:07:26.056+00",227
"2021-08-03 03:07:36.056+00",227
"2021-08-03 03:07:46.056+00",227
"2021-08-03 03:07:56.056+00",227
"2021-08-03 03:08:06.056+00",227
"2021-08-03 03:08:16.056+00",227
"2021-08-03 03:08:26.056+00",227
"2021-08-03 03:08:36.056+00",227
"2021-08-03 03:08:46.056+00",227
"2021-08-03 03:08:56.056+00",227
"2021-08-03 03:09:06.056+00",227
"2021-08-03 03:09:16.056+00",227
"2021-08-03 03:09:26.056+00",227
"2021-08-03 03:09:36.056+00",227
"2021-08-03 03:09:46.056+00",227
"2021-08-03 03:09:56.056+00",227
"2021-08-03 03:10:06.056+00",227
"2021-08-03 03:10:16.056+00",227
"2021-08-03 03:10:26.056+00",227
"2021-08-03 03:10:36.056+00",227
"2021-08-03 03:10:46.056+00",227
"2021-08-03 03:10:56.056+00",227
"2021-08-03 03:11:06.056+00",227
"2021-08-03 03:11:16.056+00",227
"2021-08-03 03:11:26.056+00",227
"2021-08-03 03:11:36.056+00",227
"2021-08-03 03:11:46.056+00",227
"2021-08-03 03:11:56.056+00",227
"2021-08-03 03:12:06.056+00",227
"2021-08-03 03:12:16.056+00",227
"2021-08-03 03:12:26.056+00",227
"2021-08-03 03:12:36.056+00",227
"2021-08-03 03:12:46.056+00",227
"2021-08-03 03:12:56.056+00",227
"2021-08-03 03:13:06.056+00",227
"2021-08-03 03:13:16.056+00",227
"2021-08-03 03:13:26.056+00",227
"2021-08-03 03:13:36.056+00",227
"2021-08-03 03:13:46.056+00",227
"2021-08-03 03:13:56.056+00",227
"2021-08-03 03:14:06.056+00",227
"2021-08-03 03:14:16.056+00",227
"2021-08-03 03:14:26.056+00",227
"2021-08-03 03:14:36.056+00",227
"2021-08-03 03:14:46.056+00",229
"2021-08-03 03:14:56.056+00",241
"2021-08-03 03:15:06.056+00",251
"2021-08-03 03:15:16.056+00",259
"2021-08-03 03:15:26.056+00",266
"2021-08-03 03:15:36.056+00",273
"2021-08-03 03:15:46.056+00",281
"2021-08-03 03:15:56.056+00",287
"2021-08-03 03:16:06.056+00",295
"2021-08-03 03:16:16.056+00",301
"2021-08-03 03:16:26.056+00",309
"2021-08-03 03:16:36.056+00",316
"2021-08-03 03:16:46.056+00",323
"2021-08-03 03:16:56.056+00",330
"2021-08-03 03:17:06.056+00",337
"2021-08-03 03:17:16.056+00",344
"2021-08-03 03:17:26.056+00",351
"2021-08-03 03:17:36.056+00",359
"2021-08-03 03:17:46.056+00",365
"2021-08-03 03:17:56.056+00",373
"2021-08-03 03:18:06.056+00",379
"2021-08-03 03:18:16.056+00",387
"2021-08-03 03:18:26.056+00",394
"2021-08-03 03:18:36.056+00",401
"2021-08-03 03:18:46.056+00",407
"2021-08-03 03:18:56.056+00",411
"2021-08-03 03:19:06.056+00",416
"2021-08-03 03:19:16.068+00",421
"2021-08-03 03:19:26.056+00",425
"2021-08-03 03:19:36.056+00",430
"2021-08-03 03:19:46.056+00",454
"2021-08-03 03:19:56.056+00",454
"2021-08-03 03:20:06.056+00",454
"2021-08-03 03:20:16.056+00",454
"2021-08-03 03:20:26.056+00",454
"2021-08-03 03:20:36.056+00",454
"2021-08-03 03:20:46.056+00",454
"2021-08-03 03:20:56.056+00",454
"2021-08-03 03:21:06.056+00",454
"2021-08-03 03:21:16.056+00",454
"2021-08-03 03:21:26.056+00",454
"2021-08-03 03:21:36.056+00",454
"2021-08-03 03:21:46.056+00",454
"2021-08-03 03:21:56.056+00",454
"2021-08-03 03:22:06.056+00",454
"2021-08-03 03:22:16.056+00",454
"2021-08-03 03:22:26.056+00",454
"2021-08-03 03:22:36.056+00",454
"2021-08-03 03:22:46.056+00",454
"2021-08-03 03:22:56.056+00",454
"2021-08-03 03:23:06.056+00",454
"2021-08-03 03:23:16.056+00",454
"2021-08-03 03:23:26.056+00",454
"2021-08-03 03:23:36.056+00",454
"2021-08-03 03:23:46.056+00",454
"2021-08-03 03:23:56.056+00",454
"2021-08-03 03:24:06.056+00",454
"2021-08-03 03:24:16.056+00",454
"2021-08-03 03:24:26.056+00",454
"2021-08-03 03:24:36.056+00",454
"2021-08-03 03:24:46.056+00",454
"2021-08-03 03:24:56.056+00",454
"2021-08-03 03:25:06.056+00",454
"2021-08-03 03:25:16.056+00",454
"2021-08-03 03:25:26.056+00",454
"2021-08-03 03:25:36.064+00",454
"2021-08-03 03:25:46.056+00",454
"2021-08-03 03:25:56.056+00",454
"2021-08-03 03:26:06.056+00",454
"2021-08-03 03:26:16.056+00",454
"2021-08-03 03:26:26.056+00",454
"2021-08-03 03:26:36.056+00",454
"2021-08-03 03:26:46.056+00",454
"2021-08-03 03:26:56.056+00",454
"2021-08-03 03:27:06.056+00",454
"2021-08-03 03:27:16.056+00",454
"2021-08-03 03:27:26.056+00",458
"2021-08-03 03:27:36.056+00",463
"2021-08-03 03:27:46.056+00",469
"2021-08-03 03:27:56.056+00",473
"2021-08-03 03:28:06.056+00",477
"2021-08-03 03:28:16.056+00",481
"2021-08-03 03:28:26.056+00",486
"2021-08-03 03:28:36.056+00",490
"2021-08-03 03:28:46.056+00",494
"2021-08-03 03:28:56.056+00",498
"2021-08-03 03:29:06.056+00",504
"2021-08-03 03:29:16.056+00",508
"2021-08-03 03:29:26.056+00",512
"2021-08-03 03:29:36.056+00",516
"2021-08-03 03:29:46.056+00",520
"2021-08-03 03:29:56.056+00",524
"2021-08-03 03:30:06.056+00",528
"2021-08-03 03:30:16.056+00",533
"2021-08-03 03:30:26.056+00",537
"2021-08-03 03:30:36.056+00",541
"2021-08-03 03:30:46.056+00",545
"2021-08-03 03:30:56.056+00",550
"2021-08-03 03:31:06.056+00",554
"2021-08-03 03:31:16.056+00",558
"2021-08-03 03:31:26.056+00",560
"2021-08-03 03:31:36.056+00",563
"2021-08-03 03:31:46.056+00",564
"2021-08-03 03:31:56.056+00",566
"2021-08-03 03:32:06.056+00",567
"2021-08-03 03:32:16.056+00",570
"2021-08-03 03:32:26.056+00",570
"2021-08-03 03:32:36.056+00",570
"2021-08-03 03:32:46.056+00",570
"2021-08-03 03:32:56.056+00",570
"2021-08-03 03:33:06.056+00",570
"2021-08-03 03:33:16.056+00",570
"2021-08-03 03:33:26.056+00",570
"2021-08-03 03:33:36.056+00",570
"2021-08-03 03:33:46.056+00",570
"2021-08-03 03:33:56.056+00",570
"2021-08-03 03:34:06.056+00",570
"2021-08-03 03:34:16.056+00",570
"2021-08-03 03:34:26.056+00",570
"2021-08-03 03:34:36.056+00",570
"2021-08-03 03:34:46.056+00",570
"2021-08-03 03:34:56.056+00",570
