"time","last_batch_records_per_sec"
"2021-08-03 03:15:26.056+00",14654.5
"2021-08-03 03:15:36.056+00",14679.5
"2021-08-03 03:15:46.056+00",14931
"2021-08-03 03:15:56.056+00",14829
"2021-08-03 03:16:06.056+00",14756
"2021-08-03 03:16:16.056+00",14916.5
"2021-08-03 03:16:26.056+00",15083.5
"2021-08-03 03:16:36.056+00",14899.5
"2021-08-03 03:16:46.056+00",14834.5
"2021-08-03 03:16:56.056+00",15035.5
"2021-08-03 03:17:06.056+00",14851.5
"2021-08-03 03:17:16.056+00",14968.5
"2021-08-03 03:17:26.056+00",14877.5
"2021-08-03 03:17:36.056+00",14738.5
"2021-08-03 03:17:46.056+00",14721
"2021-08-03 03:17:56.056+00",14734.5
"2021-08-03 03:18:06.056+00",14498.5
"2021-08-03 03:18:16.056+00",14656.5
"2021-08-03 03:18:26.056+00",14701
"2021-08-03 03:18:36.056+00",14635
"2021-08-03 03:18:46.056+00",14601
"2021-08-03 03:18:56.056+00",14531
"2021-08-03 03:19:06.056+00",14846
"2021-08-03 03:19:16.068+00",14788
"2021-08-03 03:19:26.056+00",14712.5
"2021-08-03 03:19:36.056+00",14763.5
"2021-08-03 03:19:46.056+00",14763.5
"2021-08-03 03:19:56.056+00",14763.5
"2021-08-03 03:20:06.056+00",14763.5
"2021-08-03 03:20:16.056+00",14763.5
"2021-08-03 03:20:26.056+00",14763.5
"2021-08-03 03:20:36.056+00",14763.5
"2021-08-03 03:20:46.056+00",14763.5
"2021-08-03 03:20:56.056+00",14763.5
"2021-08-03 03:21:06.056+00",14763.5
"2021-08-03 03:21:16.056+00",14763.5
"2021-08-03 03:21:26.056+00",14763.5
"2021-08-03 03:21:36.056+00",14763.5
"2021-08-03 03:21:46.056+00",14763.5
"2021-08-03 03:21:56.056+00",14763.5
"2021-08-03 03:22:06.056+00",14763.5
"2021-08-03 03:22:16.056+00",14763.5
"2021-08-03 03:22:26.056+00",14763.5
"2021-08-03 03:22:36.056+00",14763.5
"2021-08-03 03:22:46.056+00",14763.5
"2021-08-03 03:22:56.056+00",14763.5
"2021-08-03 03:23:06.056+00",14763.5
"2021-08-03 03:23:16.056+00",14763.5
"2021-08-03 03:23:26.056+00",14763.5
"2021-08-03 03:23:36.056+00",14763.5
"2021-08-03 03:23:46.056+00",14763.5
"2021-08-03 03:23:56.056+00",14763.5
"2021-08-03 03:24:06.056+00",14763.5
"2021-08-03 03:24:16.056+00",14763.5
"2021-08-03 03:24:26.056+00",14763.5
"2021-08-03 03:24:36.056+00",nan
"2021-08-03 03:27:16.056+00",0
"2021-08-03 03:27:26.056+00",14849.5
"2021-08-03 03:27:36.056+00",14840
"2021-08-03 03:27:46.056+00",14881.5
"2021-08-03 03:27:56.056+00",14828
"2021-08-03 03:28:06.056+00",14681.5
"2021-08-03 03:28:16.056+00",14572.5
"2021-08-03 03:28:26.056+00",14513.5
"2021-08-03 03:28:36.056+00",14764.5
"2021-08-03 03:28:46.056+00",14591.5
"2021-08-03 03:28:56.056+00",14592
"2021-08-03 03:29:06.056+00",14690
"2021-08-03 03:29:16.056+00",14559.5
"2021-08-03 03:29:26.056+00",14524.5
"2021-08-03 03:29:36.056+00",14808.5
"2021-08-03 03:29:46.056+00",14759
"2021-08-03 03:29:56.056+00",14788.5
"2021-08-03 03:30:06.056+00",14782
"2021-08-03 03:30:16.056+00",14742.5
"2021-08-03 03:30:26.056+00",13316.5
"2021-08-03 03:30:36.056+00",14784
"2021-08-03 03:30:46.056+00",14816.5
"2021-08-03 03:30:56.056+00",14498.5
"2021-08-03 03:31:06.056+00",14474.5
"2021-08-03 03:31:16.056+00",14601
"2021-08-03 03:31:26.056+00",11899
"2021-08-03 03:31:36.056+00",14648.5
"2021-08-03 03:31:46.056+00",14473
"2021-08-03 03:31:56.056+00",14582
"2021-08-03 03:32:06.056+00",14696
"2021-08-03 03:32:16.056+00",14713
"2021-08-03 03:32:26.056+00",14713
"2021-08-03 03:32:36.056+00",14713
"2021-08-03 03:32:46.056+00",14713
"2021-08-03 03:32:56.056+00",14713
"2021-08-03 03:33:06.056+00",14713
"2021-08-03 03:33:16.056+00",14713
"2021-08-03 03:33:26.056+00",14713
"2021-08-03 03:33:36.056+00",14713
"2021-08-03 03:33:46.056+00",14713
"2021-08-03 03:33:56.056+00",14713
"2021-08-03 03:34:06.056+00",14713
"2021-08-03 03:34:16.056+00",14713
"2021-08-03 03:34:26.056+00",14713
"2021-08-03 03:34:36.056+00",14713
"2021-08-03 03:34:46.056+00",14713
"2021-08-03 03:34:56.056+00",14713
