"time","completed_tasks","executor"
"2021-08-02 04:19:11.281+00",71,"5"
"2021-08-02 04:19:41.281+00",67,"2"
"2021-08-02 04:19:41.281+00",71,"5"
"2021-08-02 04:19:41.281+00",0,"3"
"2021-08-02 04:19:41.281+00",73,"1"
"2021-08-02 04:19:41.281+00",77,"4"
"2021-08-02 04:19:41.281+00",72,"0"
"2021-08-02 04:20:11.281+00",71,"5"
"2021-08-02 04:20:11.281+00",72,"0"
"2021-08-02 04:20:11.281+00",67,"2"
"2021-08-02 04:20:11.281+00",77,"4"
"2021-08-02 04:20:11.281+00",73,"1"
"2021-08-02 04:20:11.281+00",0,"3"
"2021-08-02 04:20:41.285+00",71,"5"
"2021-08-02 04:20:41.285+00",73,"1"
"2021-08-02 04:20:41.285+00",77,"4"
"2021-08-02 04:20:41.285+00",67,"2"
"2021-08-02 04:20:41.285+00",72,"0"
"2021-08-02 04:20:41.285+00",0,"3"
"2021-08-02 04:21:11.281+00",0,"3"
"2021-08-02 04:21:11.281+00",77,"4"
"2021-08-02 04:21:11.281+00",67,"2"
"2021-08-02 04:21:11.281+00",72,"0"
"2021-08-02 04:21:11.281+00",73,"1"
"2021-08-02 04:21:11.281+00",71,"5"
"2021-08-02 04:21:41.285+00",73,"1"
"2021-08-02 04:21:41.285+00",77,"4"
"2021-08-02 04:21:41.285+00",0,"3"
"2021-08-02 04:21:41.285+00",71,"5"
"2021-08-02 04:21:41.285+00",72,"0"
"2021-08-02 04:21:41.285+00",67,"2"
"2021-08-02 04:22:11.281+00",72,"0"
"2021-08-02 04:22:11.281+00",71,"5"
"2021-08-02 04:22:11.281+00",0,"3"
"2021-08-02 04:22:11.281+00",73,"1"
"2021-08-02 04:22:11.281+00",77,"4"
"2021-08-02 04:22:11.281+00",67,"2"
"2021-08-02 04:22:41.281+00",71,"2"
"2021-08-02 04:22:41.281+00",81,"4"
"2021-08-02 04:22:41.281+00",79,"1"
"2021-08-02 04:22:41.281+00",0,"3"
"2021-08-02 04:22:41.281+00",76,"5"
"2021-08-02 04:22:41.281+00",77,"0"
"2021-08-02 04:23:11.281+00",95,"5"
"2021-08-02 04:23:11.281+00",0,"3"
"2021-08-02 04:23:11.281+00",98,"1"
"2021-08-02 04:23:11.281+00",101,"4"
"2021-08-02 04:23:11.281+00",86,"2"
"2021-08-02 04:23:11.281+00",94,"0"
"2021-08-02 04:23:41.281+00",103,"2"
"2021-08-02 04:23:41.281+00",116,"5"
"2021-08-02 04:23:41.281+00",115,"1"
"2021-08-02 04:23:41.281+00",111,"0"
"2021-08-02 04:23:41.281+00",0,"3"
"2021-08-02 04:23:41.281+00",119,"4"
"2021-08-02 04:24:11.281+00",0,"3"
"2021-08-02 04:24:11.281+00",120,"2"
"2021-08-02 04:24:11.281+00",133,"1"
"2021-08-02 04:24:11.281+00",130,"0"
"2021-08-02 04:24:11.281+00",136,"5"
"2021-08-02 04:24:11.281+00",135,"4"
"2021-08-02 04:24:41.281+00",0,"3"
"2021-08-02 04:24:41.281+00",153,"5"
"2021-08-02 04:24:41.281+00",153,"1"
"2021-08-02 04:24:41.281+00",154,"4"
"2021-08-02 04:24:41.281+00",139,"2"
"2021-08-02 04:24:41.281+00",145,"0"
"2021-08-02 04:25:11.281+00",171,"1"
"2021-08-02 04:25:11.281+00",0,"3"
"2021-08-02 04:25:11.281+00",173,"5"
"2021-08-02 04:25:11.281+00",162,"0"
"2021-08-02 04:25:11.281+00",172,"4"
"2021-08-02 04:25:11.281+00",156,"2"
"2021-08-02 04:25:41.281+00",0,"3"
"2021-08-02 04:25:41.281+00",191,"1"
"2021-08-02 04:25:41.281+00",178,"0"
"2021-08-02 04:25:41.281+00",190,"4"
"2021-08-02 04:25:41.281+00",176,"2"
"2021-08-02 04:25:41.281+00",189,"5"
"2021-08-02 04:26:11.281+00",0,"3"
"2021-08-02 04:26:11.281+00",206,"1"
"2021-08-02 04:26:11.281+00",209,"4"
"2021-08-02 04:26:11.281+00",193,"2"
"2021-08-02 04:26:11.281+00",197,"0"
"2021-08-02 04:26:11.281+00",209,"5"
"2021-08-02 04:26:41.281+00",215,"0"
"2021-08-02 04:26:41.281+00",230,"5"
"2021-08-02 04:26:41.281+00",0,"3"
"2021-08-02 04:26:41.281+00",224,"1"
"2021-08-02 04:26:41.281+00",227,"4"
"2021-08-02 04:26:41.281+00",208,"2"
"2021-08-02 04:27:11.304+00",247,"5"
"2021-08-02 04:27:11.304+00",249,"4"
"2021-08-02 04:27:11.304+00",0,"3"
"2021-08-02 04:27:11.304+00",242,"1"
"2021-08-02 04:27:11.304+00",226,"2"
"2021-08-02 04:27:11.304+00",230,"0"
"2021-08-02 04:27:41.281+00",260,"5"
"2021-08-02 04:27:41.281+00",240,"2"
"2021-08-02 04:27:41.281+00",263,"4"
"2021-08-02 04:27:41.281+00",0,"3"
"2021-08-02 04:27:41.281+00",253,"1"
"2021-08-02 04:27:41.281+00",244,"0"
"2021-08-02 04:28:11.281+00",263,"4"
"2021-08-02 04:28:11.281+00",253,"1"
"2021-08-02 04:28:11.281+00",0,"3"
"2021-08-02 04:28:11.281+00",260,"5"
"2021-08-02 04:28:11.281+00",244,"0"
"2021-08-02 04:28:11.281+00",240,"2"
"2021-08-02 04:28:41.285+00",244,"0"
"2021-08-02 04:28:41.285+00",263,"4"
"2021-08-02 04:28:41.285+00",253,"1"
"2021-08-02 04:28:41.285+00",0,"3"
"2021-08-02 04:28:41.285+00",260,"5"
"2021-08-02 04:28:41.285+00",240,"2"
"2021-08-02 04:29:11.281+00",253,"1"
"2021-08-02 04:29:11.281+00",260,"5"
"2021-08-02 04:29:11.281+00",244,"0"
"2021-08-02 04:29:11.281+00",240,"2"
"2021-08-02 04:29:11.281+00",263,"4"
"2021-08-02 04:29:11.281+00",0,"3"
"2021-08-02 04:29:41.281+00",240,"2"
"2021-08-02 04:29:41.281+00",253,"1"
"2021-08-02 04:29:41.281+00",0,"3"
"2021-08-02 04:29:41.281+00",260,"5"
"2021-08-02 04:29:41.281+00",244,"0"
"2021-08-02 04:29:41.281+00",263,"4"
"2021-08-02 04:30:11.281+00",263,"4"
"2021-08-02 04:30:11.281+00",260,"5"
"2021-08-02 04:30:11.281+00",0,"3"
"2021-08-02 04:30:11.281+00",253,"1"
"2021-08-02 04:30:11.281+00",244,"0"
"2021-08-02 04:30:11.281+00",240,"2"
"2021-08-02 04:30:41.281+00",240,"2"
"2021-08-02 04:30:41.281+00",0,"3"
"2021-08-02 04:30:41.281+00",253,"1"
"2021-08-02 04:30:41.281+00",260,"5"
"2021-08-02 04:30:41.281+00",263,"4"
"2021-08-02 04:30:41.281+00",244,"0"
"2021-08-02 04:31:11.281+00",253,"1"
"2021-08-02 04:31:11.281+00",0,"3"
"2021-08-02 04:31:11.281+00",260,"5"
"2021-08-02 04:31:11.281+00",244,"0"
"2021-08-02 04:31:11.281+00",240,"2"
"2021-08-02 04:31:11.281+00",263,"4"
"2021-08-02 04:31:41.281+00",244,"0"
"2021-08-02 04:31:41.281+00",260,"5"
"2021-08-02 04:31:41.281+00",0,"3"
"2021-08-02 04:31:41.281+00",253,"1"
"2021-08-02 04:31:41.281+00",263,"4"
"2021-08-02 04:31:41.281+00",240,"2"
"2021-08-02 04:32:11.281+00",240,"2"
"2021-08-02 04:32:11.281+00",0,"3"
"2021-08-02 04:32:11.281+00",260,"5"
"2021-08-02 04:32:11.281+00",253,"1"
"2021-08-02 04:32:11.281+00",244,"0"
"2021-08-02 04:32:11.281+00",263,"4"
"2021-08-02 04:32:41.281+00",263,"4"
"2021-08-02 04:32:41.281+00",253,"1"
"2021-08-02 04:32:41.281+00",0,"3"
"2021-08-02 04:32:41.281+00",260,"5"
"2021-08-02 04:32:41.281+00",244,"0"
"2021-08-02 04:32:41.281+00",240,"2"
"2021-08-02 04:33:11.281+00",0,"3"
"2021-08-02 04:33:11.281+00",253,"1"
"2021-08-02 04:33:11.281+00",263,"4"
"2021-08-02 04:33:11.281+00",240,"2"
"2021-08-02 04:33:11.281+00",244,"0"
"2021-08-02 04:33:11.281+00",260,"5"
"2021-08-02 04:33:41.281+00",244,"0"
"2021-08-02 04:33:41.281+00",263,"4"
"2021-08-02 04:33:41.281+00",240,"2"
"2021-08-02 04:33:41.281+00",253,"1"
"2021-08-02 04:33:41.281+00",0,"3"
"2021-08-02 04:33:41.281+00",260,"5"
"2021-08-02 04:34:11.281+00",263,"4"
"2021-08-02 04:34:11.281+00",240,"2"
"2021-08-02 04:34:11.281+00",260,"5"
"2021-08-02 04:34:11.281+00",244,"0"
"2021-08-02 04:34:11.281+00",0,"3"
"2021-08-02 04:34:11.281+00",253,"1"
"2021-08-02 04:34:41.287+00",253,"1"
"2021-08-02 04:34:41.287+00",240,"2"
"2021-08-02 04:34:41.287+00",260,"5"
"2021-08-02 04:34:41.287+00",0,"3"
"2021-08-02 04:34:41.287+00",263,"4"
"2021-08-02 04:34:41.287+00",244,"0"
"2021-08-02 04:35:11.281+00",263,"4"
"2021-08-02 04:35:11.281+00",244,"0"
"2021-08-02 04:35:11.281+00",260,"5"
"2021-08-02 04:35:11.281+00",0,"3"
"2021-08-02 04:35:11.281+00",253,"1"
"2021-08-02 04:35:11.281+00",240,"2"
"2021-08-02 04:35:41.281+00",253,"1"
"2021-08-02 04:35:41.281+00",260,"5"
"2021-08-02 04:35:41.281+00",244,"0"
"2021-08-02 04:35:41.281+00",240,"2"
"2021-08-02 04:35:41.281+00",263,"4"
"2021-08-02 04:35:41.281+00",0,"3"
"2021-08-02 04:36:11.281+00",0,"3"
"2021-08-02 04:36:11.281+00",260,"5"
"2021-08-02 04:36:11.281+00",253,"1"
"2021-08-02 04:36:11.281+00",263,"4"
"2021-08-02 04:36:11.281+00",240,"2"
"2021-08-02 04:36:11.281+00",244,"0"
"2021-08-02 04:36:41.281+00",264,"5"
"2021-08-02 04:36:41.281+00",249,"0"
"2021-08-02 04:36:41.281+00",245,"2"
"2021-08-02 04:36:41.281+00",268,"4"
"2021-08-02 04:36:41.281+00",258,"1"
"2021-08-02 04:36:41.281+00",0,"3"
"2021-08-02 04:37:11.281+00",0,"3"
"2021-08-02 04:37:11.281+00",287,"4"
"2021-08-02 04:37:11.281+00",260,"2"
"2021-08-02 04:37:11.281+00",266,"0"
"2021-08-02 04:37:11.281+00",278,"1"
"2021-08-02 04:37:11.281+00",283,"5"
"2021-08-02 04:37:41.281+00",278,"2"
"2021-08-02 04:37:41.281+00",301,"5"
"2021-08-02 04:37:41.281+00",0,"3"
"2021-08-02 04:37:41.281+00",296,"1"
"2021-08-02 04:37:41.281+00",306,"4"
"2021-08-02 04:37:41.281+00",283,"0"
"2021-08-02 04:38:11.281+00",302,"0"
"2021-08-02 04:38:11.281+00",316,"5"
"2021-08-02 04:38:11.281+00",0,"3"
"2021-08-02 04:38:11.281+00",315,"1"
"2021-08-02 04:38:11.281+00",326,"4"
"2021-08-02 04:38:11.281+00",295,"2"
"2021-08-02 04:38:41.281+00",318,"0"
"2021-08-02 04:38:41.281+00",334,"5"
"2021-08-02 04:38:41.281+00",0,"3"
"2021-08-02 04:38:41.281+00",331,"1"
"2021-08-02 04:38:41.281+00",314,"2"
"2021-08-02 04:38:41.281+00",347,"4"
"2021-08-02 04:39:11.281+00",351,"5"
"2021-08-02 04:39:11.281+00",338,"0"
"2021-08-02 04:39:11.281+00",366,"4"
"2021-08-02 04:39:11.281+00",332,"2"
"2021-08-02 04:39:11.281+00",0,"3"
"2021-08-02 04:39:11.281+00",347,"1"
"2021-08-02 04:39:41.281+00",350,"2"
"2021-08-02 04:39:41.281+00",370,"5"
"2021-08-02 04:39:41.281+00",356,"0"
"2021-08-02 04:39:41.281+00",0,"3"
"2021-08-02 04:39:41.281+00",386,"4"
"2021-08-02 04:39:41.281+00",362,"1"
"2021-08-02 04:40:11.281+00",389,"5"
"2021-08-02 04:40:11.281+00",367,"2"
"2021-08-02 04:40:11.281+00",403,"4"
"2021-08-02 04:40:11.281+00",373,"0"
"2021-08-02 04:40:11.281+00",382,"1"
"2021-08-02 04:40:11.281+00",0,"3"
"2021-08-02 04:40:41.285+00",392,"0"
"2021-08-02 04:40:41.285+00",0,"3"
"2021-08-02 04:40:41.285+00",421,"4"
"2021-08-02 04:40:41.285+00",398,"1"
"2021-08-02 04:40:41.285+00",409,"5"
"2021-08-02 04:40:41.285+00",384,"2"
"2021-08-02 04:41:11.281+00",439,"4"
"2021-08-02 04:41:11.281+00",402,"2"
"2021-08-02 04:41:11.281+00",408,"0"
"2021-08-02 04:41:11.281+00",429,"5"
"2021-08-02 04:41:11.281+00",0,"3"
"2021-08-02 04:41:11.281+00",416,"1"
"2021-08-02 04:41:41.281+00",429,"1"
"2021-08-02 04:41:41.281+00",0,"3"
"2021-08-02 04:41:41.281+00",415,"2"
"2021-08-02 04:41:41.281+00",422,"0"
"2021-08-02 04:41:41.281+00",442,"5"
"2021-08-02 04:41:41.281+00",452,"4"
"2021-08-02 04:42:11.281+00",429,"1"
"2021-08-02 04:42:11.281+00",415,"2"
"2021-08-02 04:42:11.281+00",422,"0"
"2021-08-02 04:42:11.281+00",442,"5"
"2021-08-02 04:42:11.281+00",0,"3"
"2021-08-02 04:42:11.281+00",452,"4"
"2021-08-02 04:42:41.281+00",0,"3"
"2021-08-02 04:42:41.281+00",415,"2"
"2021-08-02 04:42:41.281+00",452,"4"
"2021-08-02 04:42:41.281+00",442,"5"
"2021-08-02 04:42:41.281+00",429,"1"
"2021-08-02 04:42:41.281+00",422,"0"
"2021-08-02 04:43:11.281+00",422,"0"
"2021-08-02 04:43:11.281+00",429,"1"
"2021-08-02 04:43:11.281+00",442,"5"
"2021-08-02 04:43:11.281+00",0,"3"
"2021-08-02 04:43:11.281+00",415,"2"
"2021-08-02 04:43:11.281+00",452,"4"
"2021-08-02 04:43:41.281+00",442,"5"
"2021-08-02 04:43:41.281+00",429,"1"
"2021-08-02 04:43:41.281+00",0,"3"
"2021-08-02 04:43:41.281+00",415,"2"
"2021-08-02 04:43:41.281+00",422,"0"
"2021-08-02 04:43:41.281+00",452,"4"
"2021-08-02 04:44:11.281+00",415,"2"
"2021-08-02 04:44:11.281+00",429,"1"
"2021-08-02 04:44:11.281+00",0,"3"
"2021-08-02 04:44:11.281+00",442,"5"
"2021-08-02 04:44:11.281+00",422,"0"
"2021-08-02 04:44:11.281+00",452,"4"
"2021-08-02 04:44:41.281+00",442,"5"
"2021-08-02 04:44:41.281+00",422,"0"
"2021-08-02 04:44:41.281+00",452,"4"
"2021-08-02 04:44:41.281+00",415,"2"
"2021-08-02 04:44:41.281+00",429,"1"
"2021-08-02 04:44:41.281+00",0,"3"
"2021-08-02 04:45:11.281+00",422,"0"
"2021-08-02 04:45:11.281+00",442,"5"
"2021-08-02 04:45:11.281+00",0,"3"
"2021-08-02 04:45:11.281+00",429,"1"
"2021-08-02 04:45:11.281+00",452,"4"
"2021-08-02 04:45:11.281+00",415,"2"
"2021-08-02 04:45:41.281+00",429,"1"
"2021-08-02 04:45:41.281+00",0,"3"
"2021-08-02 04:45:41.281+00",442,"5"
"2021-08-02 04:45:41.281+00",422,"0"
"2021-08-02 04:45:41.281+00",415,"2"
"2021-08-02 04:45:41.281+00",452,"4"
"2021-08-02 04:46:11.281+00",442,"5"
"2021-08-02 04:46:11.281+00",422,"0"
"2021-08-02 04:46:11.281+00",0,"3"
"2021-08-02 04:46:11.281+00",429,"1"
"2021-08-02 04:46:11.281+00",452,"4"
"2021-08-02 04:46:11.281+00",415,"2"
"2021-08-02 04:46:41.281+00",415,"2"
"2021-08-02 04:46:41.281+00",452,"4"
"2021-08-02 04:46:41.281+00",422,"0"
"2021-08-02 04:46:41.281+00",429,"1"
"2021-08-02 04:46:41.281+00",0,"3"
"2021-08-02 04:46:41.281+00",442,"5"
"2021-08-02 04:47:11.281+00",452,"4"
"2021-08-02 04:47:11.281+00",442,"5"
"2021-08-02 04:47:11.281+00",422,"0"
"2021-08-02 04:47:11.281+00",0,"3"
"2021-08-02 04:47:11.281+00",429,"1"
"2021-08-02 04:47:11.281+00",415,"2"
"2021-08-02 04:47:41.281+00",452,"4"
"2021-08-02 04:47:41.281+00",422,"0"
"2021-08-02 04:47:41.281+00",442,"5"
"2021-08-02 04:47:41.281+00",429,"1"
"2021-08-02 04:47:41.281+00",0,"3"
"2021-08-02 04:47:41.281+00",415,"2"
"2021-08-02 04:48:11.281+00",0,"3"
"2021-08-02 04:48:11.281+00",455,"4"
"2021-08-02 04:48:11.281+00",418,"2"
"2021-08-02 04:48:11.281+00",424,"0"
"2021-08-02 04:48:11.281+00",445,"5"
"2021-08-02 04:48:11.281+00",433,"1"
"2021-08-02 04:48:41.281+00",472,"4"
"2021-08-02 04:48:41.281+00",436,"2"
"2021-08-02 04:48:41.281+00",444,"0"
"2021-08-02 04:48:41.281+00",451,"1"
"2021-08-02 04:48:41.281+00",0,"3"
"2021-08-02 04:48:41.281+00",465,"5"
"2021-08-02 04:49:11.281+00",0,"3"
"2021-08-02 04:49:11.281+00",470,"1"
"2021-08-02 04:49:11.281+00",488,"4"
"2021-08-02 04:49:11.281+00",484,"5"
"2021-08-02 04:49:11.281+00",463,"0"
"2021-08-02 04:49:11.281+00",453,"2"
"2021-08-02 04:49:41.281+00",468,"2"
"2021-08-02 04:49:41.281+00",507,"4"
"2021-08-02 04:49:41.281+00",489,"1"
"2021-08-02 04:49:41.281+00",0,"3"
"2021-08-02 04:49:41.281+00",502,"5"
"2021-08-02 04:49:41.281+00",482,"0"
"2021-08-02 04:50:11.281+00",508,"1"
"2021-08-02 04:50:11.281+00",524,"4"
"2021-08-02 04:50:11.281+00",485,"2"
"2021-08-02 04:50:11.281+00",521,"5"
"2021-08-02 04:50:11.281+00",0,"3"
"2021-08-02 04:50:11.281+00",500,"0"
"2021-08-02 04:50:41.281+00",541,"4"
"2021-08-02 04:50:41.281+00",503,"2"
"2021-08-02 04:50:41.281+00",520,"0"
"2021-08-02 04:50:41.281+00",525,"1"
"2021-08-02 04:50:41.281+00",0,"3"
"2021-08-02 04:50:41.281+00",539,"5"
"2021-08-02 04:51:11.281+00",535,"0"
"2021-08-02 04:51:11.281+00",525,"2"
"2021-08-02 04:51:11.281+00",541,"1"
"2021-08-02 04:51:11.281+00",561,"4"
"2021-08-02 04:51:11.281+00",556,"5"
"2021-08-02 04:51:11.281+00",0,"3"
"2021-08-02 04:51:41.281+00",572,"5"
"2021-08-02 04:51:41.281+00",0,"3"
"2021-08-02 04:51:41.281+00",558,"1"
"2021-08-02 04:51:41.281+00",542,"2"
"2021-08-02 04:51:41.281+00",555,"0"
"2021-08-02 04:51:41.281+00",581,"4"
"2021-08-02 04:52:11.281+00",573,"0"
"2021-08-02 04:52:11.281+00",559,"2"
"2021-08-02 04:52:11.281+00",601,"4"
"2021-08-02 04:52:11.281+00",590,"5"
"2021-08-02 04:52:11.281+00",575,"1"
"2021-08-02 04:52:11.281+00",0,"3"
"2021-08-02 04:52:41.281+00",606,"5"
"2021-08-02 04:52:41.281+00",589,"0"
"2021-08-02 04:52:41.281+00",577,"2"
"2021-08-02 04:52:41.281+00",619,"4"
"2021-08-02 04:52:41.281+00",597,"1"
"2021-08-02 04:52:41.281+00",0,"3"
"2021-08-02 04:53:11.281+00",610,"1"
"2021-08-02 04:53:11.281+00",0,"3"
"2021-08-02 04:53:11.281+00",620,"5"
"2021-08-02 04:53:11.281+00",634,"4"
"2021-08-02 04:53:11.281+00",592,"2"
"2021-08-02 04:53:11.281+00",604,"0"
"2021-08-02 04:53:41.283+00",604,"0"
"2021-08-02 04:53:41.283+00",592,"2"
"2021-08-02 04:53:41.283+00",634,"4"
"2021-08-02 04:53:41.283+00",620,"5"
"2021-08-02 04:53:41.283+00",0,"3"
"2021-08-02 04:53:41.283+00",610,"1"
"2021-08-02 04:54:11.281+00",634,"4"
"2021-08-02 04:54:11.281+00",592,"2"
"2021-08-02 04:54:11.281+00",604,"0"
"2021-08-02 04:54:11.281+00",620,"5"
"2021-08-02 04:54:11.281+00",0,"3"
"2021-08-02 04:54:11.281+00",610,"1"
"2021-08-02 04:54:41.281+00",610,"1"
"2021-08-02 04:54:41.281+00",604,"0"
"2021-08-02 04:54:41.281+00",592,"2"
"2021-08-02 04:54:41.281+00",634,"4"
"2021-08-02 04:54:41.281+00",0,"3"
"2021-08-02 04:54:41.281+00",620,"5"
"2021-08-02 04:55:11.281+00",620,"5"
"2021-08-02 04:55:11.281+00",592,"2"
"2021-08-02 04:55:11.281+00",604,"0"
"2021-08-02 04:55:11.281+00",634,"4"
"2021-08-02 04:55:11.281+00",610,"1"
"2021-08-02 04:55:11.281+00",0,"3"
"2021-08-02 04:55:41.283+00",592,"2"
"2021-08-02 04:55:41.283+00",634,"4"
"2021-08-02 04:55:41.283+00",604,"0"
"2021-08-02 04:55:41.283+00",610,"1"
"2021-08-02 04:55:41.283+00",0,"3"
"2021-08-02 04:55:41.283+00",620,"5"
"2021-08-02 04:56:11.281+00",604,"0"
"2021-08-02 04:56:11.281+00",610,"1"
"2021-08-02 04:56:11.281+00",0,"3"
"2021-08-02 04:56:11.281+00",620,"5"
"2021-08-02 04:56:11.281+00",634,"4"
"2021-08-02 04:56:11.281+00",592,"2"
"2021-08-02 04:56:41.281+00",634,"4"
"2021-08-02 04:56:41.281+00",604,"0"
"2021-08-02 04:56:41.281+00",592,"2"
"2021-08-02 04:56:41.281+00",610,"1"
"2021-08-02 04:56:41.281+00",0,"3"
"2021-08-02 04:56:41.281+00",620,"5"
"2021-08-02 04:57:11.281+00",0,"3"
"2021-08-02 04:57:11.281+00",620,"5"
"2021-08-02 04:57:11.281+00",604,"0"
"2021-08-02 04:57:11.281+00",592,"2"
"2021-08-02 04:57:11.281+00",634,"4"
"2021-08-02 04:57:11.281+00",610,"1"
"2021-08-02 04:57:41.281+00",604,"0"
"2021-08-02 04:57:41.281+00",620,"5"
"2021-08-02 04:57:41.281+00",0,"3"
"2021-08-02 04:57:41.281+00",610,"1"
"2021-08-02 04:57:41.281+00",634,"4"
"2021-08-02 04:57:41.281+00",592,"2"
"2021-08-02 04:58:11.281+00",592,"2"
"2021-08-02 04:58:11.281+00",610,"1"
"2021-08-02 04:58:11.281+00",0,"3"
"2021-08-02 04:58:11.281+00",620,"5"
"2021-08-02 04:58:11.281+00",634,"4"
"2021-08-02 04:58:11.281+00",604,"0"
"2021-08-02 04:58:41.281+00",0,"3"
"2021-08-02 04:58:41.281+00",604,"0"
"2021-08-02 04:58:41.281+00",634,"4"
"2021-08-02 04:58:41.281+00",592,"2"
"2021-08-02 04:58:41.281+00",610,"1"
"2021-08-02 04:58:41.281+00",620,"5"
"2021-08-02 04:59:11.281+00",0,"3"
"2021-08-02 04:59:11.281+00",604,"0"
"2021-08-02 04:59:11.281+00",592,"2"
"2021-08-02 04:59:11.281+00",634,"4"
"2021-08-02 04:59:11.281+00",610,"1"
"2021-08-02 04:59:11.281+00",620,"5"
"2021-08-02 04:59:41.281+00",634,"4"
"2021-08-02 04:59:41.281+00",592,"2"
"2021-08-02 04:59:41.281+00",604,"0"
"2021-08-02 04:59:41.281+00",620,"5"
"2021-08-02 04:59:41.281+00",610,"1"
"2021-08-02 04:59:41.281+00",0,"3"
"2021-08-02 05:00:11.281+00",0,"3"
"2021-08-02 05:00:11.281+00",620,"5"
"2021-08-02 05:00:11.281+00",634,"4"
"2021-08-02 05:00:11.281+00",592,"2"
"2021-08-02 05:00:11.281+00",604,"0"
"2021-08-02 05:00:11.281+00",610,"1"
"2021-08-02 05:00:41.281+00",610,"1"
"2021-08-02 05:00:41.281+00",0,"3"
"2021-08-02 05:00:41.281+00",620,"5"
"2021-08-02 05:00:41.281+00",604,"0"
"2021-08-02 05:00:41.281+00",592,"2"
"2021-08-02 05:00:41.281+00",634,"4"
"2021-08-02 05:01:11.281+00",620,"5"
"2021-08-02 05:01:11.281+00",604,"0"
"2021-08-02 05:01:11.281+00",592,"2"
"2021-08-02 05:01:11.281+00",634,"4"
"2021-08-02 05:01:11.281+00",610,"1"
"2021-08-02 05:01:11.281+00",0,"3"
"2021-08-02 05:01:41.281+00",604,"0"
"2021-08-02 05:01:41.281+00",620,"5"
"2021-08-02 05:01:41.281+00",0,"3"
"2021-08-02 05:01:41.281+00",610,"1"
"2021-08-02 05:01:41.281+00",634,"4"
"2021-08-02 05:01:41.281+00",592,"2"
"2021-08-02 05:02:11.281+00",0,"3"
"2021-08-02 05:02:11.281+00",610,"1"
"2021-08-02 05:02:11.281+00",634,"4"
"2021-08-02 05:02:11.281+00",592,"2"
"2021-08-02 05:02:11.281+00",604,"0"
"2021-08-02 05:02:11.281+00",620,"5"
"2021-08-02 05:02:41.281+00",0,"3"
"2021-08-02 05:02:41.281+00",610,"1"
"2021-08-02 05:02:41.281+00",604,"0"
"2021-08-02 05:02:41.281+00",634,"4"
"2021-08-02 05:02:41.281+00",592,"2"
"2021-08-02 05:02:41.281+00",620,"5"
"2021-08-02 05:03:11.281+00",634,"4"
"2021-08-02 05:03:11.281+00",604,"0"
"2021-08-02 05:03:11.281+00",620,"5"
"2021-08-02 05:03:11.281+00",610,"1"
"2021-08-02 05:03:11.281+00",0,"3"
"2021-08-02 05:03:11.281+00",592,"2"
