"time","total_processed_records"
"2021-08-02 04:30:30.373+00",2364389
"2021-08-02 04:30:40.373+00",2364389
"2021-08-02 04:30:50.373+00",2364389
"2021-08-02 04:31:00.373+00",2364389
"2021-08-02 04:31:10.373+00",2364389
"2021-08-02 04:31:20.373+00",2364389
"2021-08-02 04:31:30.373+00",2364389
"2021-08-02 04:31:40.373+00",2364389
"2021-08-02 04:31:50.373+00",2364389
"2021-08-02 04:32:00.373+00",2364389
"2021-08-02 04:32:10.373+00",2364389
"2021-08-02 04:32:20.373+00",2364389
"2021-08-02 04:32:30.373+00",nan
"2021-08-02 04:36:40.373+00",4327
"2021-08-02 04:36:50.373+00",14327
"2021-08-02 04:37:00.373+00",24327
"2021-08-02 04:37:10.373+00",34327
"2021-08-02 04:37:20.373+00",44327
"2021-08-02 04:37:30.373+00",54327
"2021-08-02 04:37:40.373+00",64326
"2021-08-02 04:37:50.373+00",74327
"2021-08-02 04:38:00.378+00",84327
"2021-08-02 04:38:10.373+00",94326
"2021-08-02 04:38:20.373+00",104326
"2021-08-02 04:38:30.373+00",114326
"2021-08-02 04:38:40.373+00",124326
"2021-08-02 04:38:50.373+00",134326
"2021-08-02 04:39:00.373+00",144326
"2021-08-02 04:39:10.373+00",154326
"2021-08-02 04:39:20.373+00",164327
"2021-08-02 04:39:30.373+00",174327
"2021-08-02 04:39:40.373+00",184326
"2021-08-02 04:39:50.373+00",194326
"2021-08-02 04:40:00.373+00",204327
"2021-08-02 04:40:10.386+00",214326
"2021-08-02 04:40:20.373+00",224326
"2021-08-02 04:40:30.373+00",234327
"2021-08-02 04:40:40.373+00",244326
"2021-08-02 04:40:50.373+00",254326
"2021-08-02 04:41:00.373+00",264327
"2021-08-02 04:41:10.373+00",274327
"2021-08-02 04:41:20.373+00",284327
"2021-08-02 04:41:30.373+00",294327
"2021-08-02 04:41:40.373+00",294327
"2021-08-02 04:41:50.379+00",294327
"2021-08-02 04:42:00.376+00",294327
"2021-08-02 04:42:10.373+00",294327
"2021-08-02 04:42:20.376+00",294327
"2021-08-02 04:42:30.373+00",294327
"2021-08-02 04:42:40.373+00",294327
"2021-08-02 04:42:50.373+00",294327
"2021-08-02 04:43:00.373+00",294327
"2021-08-02 04:43:10.373+00",294327
"2021-08-02 04:43:20.373+00",294327
"2021-08-02 04:43:30.373+00",294327
"2021-08-02 04:43:40.373+00",294327
"2021-08-02 04:43:50.373+00",294327
"2021-08-02 04:44:00.373+00",294327
"2021-08-02 04:44:10.373+00",294327
"2021-08-02 04:44:20.373+00",294327
"2021-08-02 04:44:30.373+00",294327
"2021-08-02 04:44:40.373+00",294327
"2021-08-02 04:44:50.373+00",294327
"2021-08-02 04:45:00.373+00",294327
"2021-08-02 04:45:10.373+00",294327
"2021-08-02 04:45:20.373+00",294327
"2021-08-02 04:45:30.373+00",294327
"2021-08-02 04:45:40.373+00",294327
"2021-08-02 04:45:50.373+00",294327
"2021-08-02 04:46:00.373+00",294327
"2021-08-02 04:46:10.373+00",294327
"2021-08-02 04:46:20.373+00",294327
"2021-08-02 04:46:30.373+00",nan
"2021-08-02 04:48:10.373+00",3423
"2021-08-02 04:48:20.373+00",134537
"2021-08-02 04:48:30.373+00",265065
"2021-08-02 04:48:40.373+00",384305
"2021-08-02 04:48:50.373+00",502578
"2021-08-02 04:49:00.373+00",620123
"2021-08-02 04:49:10.373+00",738672
"2021-08-02 04:49:20.373+00",857792
"2021-08-02 04:49:30.373+00",976422
"2021-08-02 04:49:40.373+00",1096059
"2021-08-02 04:49:50.373+00",1215412
"2021-08-02 04:50:00.373+00",1334337
"2021-08-02 04:50:10.373+00",1454252
"2021-08-02 04:50:20.373+00",1573885
"2021-08-02 04:50:30.373+00",1693998
"2021-08-02 04:50:40.373+00",1813248
"2021-08-02 04:50:50.373+00",1933054
"2021-08-02 04:51:00.373+00",2051999
"2021-08-02 04:51:10.373+00",2170764
"2021-08-02 04:51:20.373+00",2289689
"2021-08-02 04:51:30.373+00",2407714
"2021-08-02 04:51:40.382+00",2527334
"2021-08-02 04:51:50.373+00",2646825
"2021-08-02 04:52:00.373+00",2766445
"2021-08-02 04:52:10.373+00",2885933
"2021-08-02 04:52:20.373+00",3004945
"2021-08-02 04:52:30.373+00",3124949
"2021-08-02 04:52:40.373+00",3244704
"2021-08-02 04:52:50.373+00",3364194
"2021-08-02 04:53:00.373+00",3484459
"2021-08-02 04:53:10.373+00",3484459
"2021-08-02 04:53:20.373+00",3484459
"2021-08-02 04:53:30.373+00",3484459
"2021-08-02 04:53:40.373+00",3484459
"2021-08-02 04:53:50.373+00",3484459
"2021-08-02 04:54:00.373+00",3484459
"2021-08-02 04:54:10.373+00",3484459
"2021-08-02 04:54:20.373+00",3484459
"2021-08-02 04:54:30.379+00",3484459
"2021-08-02 04:54:40.373+00",3484459
"2021-08-02 04:54:50.373+00",3484459
"2021-08-02 04:55:00.373+00",3484459
"2021-08-02 04:55:10.373+00",3484459
"2021-08-02 04:55:20.373+00",3484459
"2021-08-02 04:55:30.373+00",3484459
"2021-08-02 04:55:40.373+00",3484459
"2021-08-02 04:55:50.378+00",3484459
"2021-08-02 04:56:00.373+00",3484459
"2021-08-02 04:56:10.373+00",3484459
"2021-08-02 04:56:20.373+00",3484459
"2021-08-02 04:56:30.373+00",3484459
"2021-08-02 04:56:40.373+00",3484459
"2021-08-02 04:56:50.373+00",3484459
"2021-08-02 04:57:00.373+00",3484459
"2021-08-02 04:57:10.373+00",3484459
"2021-08-02 04:57:20.373+00",3484459
"2021-08-02 04:57:30.373+00",3484459
"2021-08-02 04:57:40.373+00",3484459
"2021-08-02 04:57:50.373+00",3484459
"2021-08-02 04:58:00.373+00",nan
"2021-08-02 05:07:00.373+00",0
"2021-08-02 05:07:10.373+00",110123
"2021-08-02 05:07:20.373+00",207311
"2021-08-02 05:07:30.373+00",305976
"2021-08-02 05:07:40.373+00",413834
"2021-08-02 05:07:50.373+00",546466
"2021-08-02 05:08:00.373+00",638193
"2021-08-02 05:08:10.373+00",771073
"2021-08-02 05:08:20.373+00",862593
"2021-08-02 05:08:30.373+00",996020
"2021-08-02 05:08:40.373+00",1088187
"2021-08-02 05:08:50.373+00",1198565
"2021-08-02 05:09:00.373+00",1309802
"2021-08-02 05:09:10.373+00",1443227
"2021-08-02 05:09:20.373+00",1534797
"2021-08-02 05:09:30.373+00",1667275
"2021-08-02 05:09:40.373+00",1759330
"2021-08-02 05:09:50.373+00",1868235
"2021-08-02 05:10:00.373+00",1978567
"2021-08-02 05:10:10.373+00",2088115
"2021-08-02 05:10:20.373+00",2222513
"2021-08-02 05:10:30.373+00",2338757
"2021-08-02 05:10:40.373+00",2454737
"2021-08-02 05:10:50.373+00",2547767
"2021-08-02 05:11:00.373+00",2681173
"2021-08-02 05:11:10.373+00",2797410
"2021-08-02 05:11:20.373+00",2913070
"2021-08-02 05:11:30.373+00",3005290
"2021-08-02 05:11:40.373+00",3115355
"2021-08-02 05:11:50.373+00",3224753
"2021-08-02 05:12:00.373+00",3224753
"2021-08-02 05:12:10.373+00",3224753
"2021-08-02 05:12:20.373+00",3224753
"2021-08-02 05:12:30.373+00",3224753
"2021-08-02 05:12:40.373+00",3224753
"2021-08-02 05:12:50.381+00",3224753
"2021-08-02 05:13:00.373+00",3224753
"2021-08-02 05:13:10.373+00",3224753
"2021-08-02 05:13:20.381+00",3224753
"2021-08-02 05:13:30.373+00",3224753
"2021-08-02 05:13:40.373+00",3224753
"2021-08-02 05:13:50.373+00",3224753
"2021-08-02 05:14:00.373+00",3224753
"2021-08-02 05:14:10.373+00",3224753
"2021-08-02 05:14:20.373+00",3224753
"2021-08-02 05:14:30.373+00",3224753
"2021-08-02 05:14:40.373+00",3224753
"2021-08-02 05:14:50.373+00",3224753
"2021-08-02 05:15:00.373+00",3224753
"2021-08-02 05:15:10.373+00",3224753
"2021-08-02 05:15:20.373+00",3224753
"2021-08-02 05:15:30.373+00",3224753
"2021-08-02 05:15:40.373+00",3224753
"2021-08-02 05:15:50.373+00",3224753
"2021-08-02 05:16:00.373+00",3224753
"2021-08-02 05:16:10.373+00",3224753
"2021-08-02 05:16:20.373+00",3224753
"2021-08-02 05:16:30.373+00",3224753
"2021-08-02 05:16:40.378+00",3224753
"2021-08-02 05:16:50.373+00",nan
"2021-08-02 05:18:30.373+00",0
"2021-08-02 05:18:40.373+00",0
"2021-08-02 05:18:50.373+00",0
"2021-08-02 05:19:00.373+00",0
"2021-08-02 05:19:10.373+00",0
"2021-08-02 05:19:20.373+00",0
"2021-08-02 05:19:30.373+00",0
"2021-08-02 05:19:40.373+00",0
"2021-08-02 05:19:50.373+00",0
"2021-08-02 05:20:00.373+00",0
"2021-08-02 05:20:10.373+00",0
"2021-08-02 05:20:20.373+00",0
"2021-08-02 05:20:30.373+00",0
"2021-08-02 05:20:40.373+00",0
"2021-08-02 05:20:50.373+00",0
"2021-08-02 05:21:00.373+00",0
"2021-08-02 05:21:10.373+00",0
"2021-08-02 05:21:20.373+00",0
"2021-08-02 05:21:30.373+00",0
"2021-08-02 05:21:40.388+00",0
"2021-08-02 05:21:50.373+00",0
"2021-08-02 05:22:00.373+00",0
"2021-08-02 05:22:10.373+00",0
"2021-08-02 05:22:20.373+00",0
"2021-08-02 05:22:30.373+00",0
"2021-08-02 05:22:40.373+00",0
"2021-08-02 05:22:50.373+00",0
"2021-08-02 05:23:00.373+00",0
"2021-08-02 05:23:10.373+00",0
"2021-08-02 05:23:20.373+00",0
"2021-08-02 05:23:30.373+00",0
"2021-08-02 05:23:40.373+00",0
"2021-08-02 05:23:50.373+00",0
"2021-08-02 05:24:00.373+00",0
"2021-08-02 05:24:10.373+00",0
"2021-08-02 05:24:20.373+00",0
"2021-08-02 05:24:30.373+00",0
"2021-08-02 05:24:40.373+00",0
"2021-08-02 05:24:50.373+00",0
"2021-08-02 05:25:00.373+00",0
"2021-08-02 05:25:10.373+00",0
"2021-08-02 05:25:20.373+00",0
"2021-08-02 05:25:30.373+00",0
"2021-08-02 05:25:40.373+00",0
"2021-08-02 05:25:50.373+00",0
"2021-08-02 05:26:00.373+00",0
"2021-08-02 05:26:10.373+00",0
"2021-08-02 05:26:20.373+00",0
"2021-08-02 05:26:30.373+00",0
"2021-08-02 05:26:40.373+00",0
"2021-08-02 05:26:50.373+00",0
"2021-08-02 05:27:00.373+00",0
"2021-08-02 05:27:10.373+00",0
"2021-08-02 05:27:20.373+00",0
"2021-08-02 05:27:30.373+00",0
"2021-08-02 05:27:40.373+00",0
"2021-08-02 05:27:50.373+00",0
"2021-08-02 05:28:00.373+00",0
"2021-08-02 05:28:10.373+00",0
"2021-08-02 05:28:20.373+00",0
"2021-08-02 05:28:30.373+00",0
"2021-08-02 05:28:40.373+00",0
"2021-08-02 05:28:50.373+00",0
"2021-08-02 05:29:00.373+00",0
"2021-08-02 05:29:10.373+00",0
"2021-08-02 05:29:20.373+00",0
"2021-08-02 05:29:30.373+00",0
"2021-08-02 05:29:40.373+00",0
"2021-08-02 05:29:50.373+00",0
"2021-08-02 05:30:00.373+00",0
"2021-08-02 05:30:10.373+00",0
"2021-08-02 05:30:20.373+00",0
"2021-08-02 05:30:30.373+00",0
"2021-08-02 05:30:40.373+00",0
"2021-08-02 05:30:50.373+00",0
"2021-08-02 05:31:00.373+00",0
"2021-08-02 05:31:10.373+00",0
"2021-08-02 05:31:20.373+00",0
"2021-08-02 05:31:30.373+00",0
"2021-08-02 05:31:40.373+00",0
"2021-08-02 05:31:50.373+00",0
"2021-08-02 05:32:00.373+00",0
"2021-08-02 05:32:10.373+00",0
"2021-08-02 05:32:20.373+00",0
"2021-08-02 05:32:30.373+00",0
"2021-08-02 05:32:40.373+00",0
"2021-08-02 05:32:50.373+00",0
"2021-08-02 05:33:00.373+00",0
"2021-08-02 05:33:10.373+00",0
"2021-08-02 05:33:20.373+00",0
"2021-08-02 05:33:30.373+00",0
"2021-08-02 05:33:40.373+00",0
"2021-08-02 05:33:50.373+00",0
"2021-08-02 05:34:00.373+00",0
"2021-08-02 05:34:10.373+00",0
"2021-08-02 05:34:20.373+00",0
"2021-08-02 05:34:30.373+00",0
"2021-08-02 05:34:40.373+00",0
"2021-08-02 05:34:50.373+00",1740243
"2021-08-02 05:35:00.373+00",1740243
"2021-08-02 05:35:10.373+00",1740243
"2021-08-02 05:35:20.373+00",1740243
"2021-08-02 05:35:30.373+00",1740243
"2021-08-02 05:35:40.373+00",1740243
"2021-08-02 05:35:50.373+00",1740243
"2021-08-02 05:36:00.378+00",1740243
"2021-08-02 05:36:10.373+00",1740243
"2021-08-02 05:36:20.373+00",1740243
"2021-08-02 05:36:30.373+00",1740243
"2021-08-02 05:36:40.38+00",1740243
"2021-08-02 05:36:50.376+00",1740243
"2021-08-02 05:37:00.373+00",1740243
"2021-08-02 05:37:10.373+00",1740243
"2021-08-02 05:37:20.373+00",1740243
"2021-08-02 05:37:30.373+00",1740243
"2021-08-02 05:37:40.373+00",1740243
"2021-08-02 05:37:50.373+00",1740243
"2021-08-02 05:38:00.373+00",1740243
"2021-08-02 05:38:10.373+00",1740243
"2021-08-02 05:38:20.373+00",1740243
"2021-08-02 05:38:30.373+00",1740243
"2021-08-02 05:38:40.373+00",1740243
"2021-08-02 05:38:50.373+00",1740243
"2021-08-02 05:39:00.373+00",1740243
"2021-08-02 05:39:10.381+00",1740243
"2021-08-02 05:39:20.373+00",1740243
"2021-08-02 05:39:30.373+00",1740243
"2021-08-02 05:39:40.373+00",1740243
"2021-08-02 05:39:50.373+00",1740243
"2021-08-02 05:40:00.381+00",1740243
"2021-08-02 05:40:10.373+00",1740243
"2021-08-02 05:40:20.373+00",1740243
"2021-08-02 05:40:30.373+00",1740243
"2021-08-02 05:40:40.373+00",1740243
"2021-08-02 05:40:50.373+00",1740243
"2021-08-02 05:41:00.373+00",1740243
"2021-08-02 05:41:10.382+00",1740243
"2021-08-02 05:41:20.373+00",1740243
"2021-08-02 05:41:30.373+00",1740243
"2021-08-02 05:41:40.373+00",1740243
"2021-08-02 05:41:50.373+00",1740243
"2021-08-02 05:42:00.373+00",1740243
"2021-08-02 05:42:10.373+00",1740243
"2021-08-02 05:42:20.373+00",1740243
"2021-08-02 05:42:30.373+00",1740243
"2021-08-02 05:42:40.373+00",1740243
"2021-08-02 05:42:50.373+00",1740243
"2021-08-02 05:43:00.373+00",1740243
"2021-08-02 05:43:10.373+00",1740243
"2021-08-02 05:43:20.373+00",1740243
"2021-08-02 05:43:30.373+00",1740243
"2021-08-02 05:43:40.373+00",1740243
"2021-08-02 05:43:50.378+00",1740243
"2021-08-02 05:44:00.379+00",1740243
"2021-08-02 05:44:10.373+00",1740243
"2021-08-02 05:44:20.373+00",1740243
"2021-08-02 05:44:30.373+00",1740243
"2021-08-02 05:44:40.373+00",1740243
"2021-08-02 05:44:50.373+00",1740243
"2021-08-02 05:45:00.391+00",1740243
"2021-08-02 05:45:10.373+00",1740243
"2021-08-02 05:45:20.373+00",1740243
"2021-08-02 05:45:30.373+00",1740243
"2021-08-02 05:45:40.373+00",1740243
"2021-08-02 05:45:50.373+00",1740243
"2021-08-02 05:46:00.373+00",1740243
"2021-08-02 05:46:10.373+00",1740243
"2021-08-02 05:46:20.376+00",1740243
"2021-08-02 05:46:30.373+00",1740243
"2021-08-02 05:46:40.373+00",1740243
"2021-08-02 05:46:50.373+00",1740243
"2021-08-02 05:47:00.376+00",1740243
"2021-08-02 05:47:10.373+00",1740243
"2021-08-02 05:47:20.373+00",1740243
"2021-08-02 05:47:30.373+00",1740243
"2021-08-02 05:47:40.375+00",1740243
"2021-08-02 05:47:50.373+00",1740243
"2021-08-02 05:48:00.373+00",1740243
"2021-08-02 05:48:10.373+00",1740243
"2021-08-02 05:48:20.373+00",6540230
"2021-08-02 05:48:30.373+00",6540230
"2021-08-02 05:48:40.373+00",6540230
"2021-08-02 05:48:50.373+00",6540230
"2021-08-02 05:49:00.373+00",6540230
"2021-08-02 05:49:10.373+00",6540230
"2021-08-02 05:49:20.373+00",6540230
"2021-08-02 05:49:30.373+00",6540230
"2021-08-02 05:49:40.375+00",6540230
"2021-08-02 05:49:50.373+00",6540230
"2021-08-02 05:50:00.373+00",6540230
"2021-08-02 05:50:10.373+00",6540230
"2021-08-02 05:50:20.373+00",6540230
"2021-08-02 05:50:30.373+00",6540230
"2021-08-02 05:50:40.373+00",6540230
"2021-08-02 05:50:50.373+00",6540230
"2021-08-02 05:51:00.373+00",6540230
"2021-08-02 05:51:10.373+00",6540230
"2021-08-02 05:51:20.373+00",6540230
"2021-08-02 05:51:30.376+00",6540230
"2021-08-02 05:51:40.373+00",6540230
"2021-08-02 05:51:50.373+00",6540230
"2021-08-02 05:52:00.373+00",6540230
"2021-08-02 05:52:10.373+00",6540230
"2021-08-02 05:52:20.373+00",6540230
"2021-08-02 05:52:30.373+00",6540230
"2021-08-02 05:52:40.373+00",6540230
"2021-08-02 05:52:50.373+00",6540230
"2021-08-02 05:53:00.373+00",6540230
"2021-08-02 05:53:10.373+00",6540230
"2021-08-02 05:53:20.373+00",6540230
"2021-08-02 05:53:30.373+00",6540230
"2021-08-02 05:53:40.373+00",6540230
"2021-08-02 05:53:50.373+00",6540230
"2021-08-02 05:54:00.373+00",6540230
"2021-08-02 05:54:10.373+00",6540230
"2021-08-02 05:54:20.373+00",6540230
"2021-08-02 05:54:30.373+00",6540230
"2021-08-02 05:54:40.373+00",6540230
"2021-08-02 05:54:50.373+00",6540230
"2021-08-02 05:55:00.373+00",6540230
"2021-08-02 05:55:10.373+00",6540230
"2021-08-02 05:55:20.373+00",6540230
"2021-08-02 05:55:30.373+00",6540230
"2021-08-02 05:55:40.373+00",6540230
"2021-08-02 05:55:50.373+00",6540230
"2021-08-02 05:56:00.373+00",6540230
"2021-08-02 05:56:10.373+00",6540230
"2021-08-02 05:56:20.373+00",6540230
"2021-08-02 05:56:30.373+00",6540230
"2021-08-02 05:56:40.373+00",6540230
"2021-08-02 05:56:50.373+00",6540230
"2021-08-02 05:57:00.373+00",6540230
"2021-08-02 05:57:10.373+00",6540230
"2021-08-02 05:57:20.373+00",6540230
"2021-08-02 05:57:30.391+00",6540230
"2021-08-02 05:57:40.373+00",6540230
"2021-08-02 05:57:50.373+00",6540230
"2021-08-02 05:58:00.373+00",6540230
"2021-08-02 05:58:10.373+00",6540230
"2021-08-02 05:58:20.382+00",6540230
"2021-08-02 05:58:30.373+00",6540230
"2021-08-02 05:58:40.373+00",6540230
"2021-08-02 05:58:50.373+00",6540230
"2021-08-02 05:59:00.373+00",6540230
"2021-08-02 05:59:10.373+00",6540230
"2021-08-02 05:59:20.373+00",6540230
"2021-08-02 05:59:30.376+00",6540230
"2021-08-02 05:59:40.373+00",6540230
"2021-08-02 05:59:50.373+00",6540230
"2021-08-02 06:00:00.381+00",6540230
"2021-08-02 06:00:10.373+00",6540230
"2021-08-02 06:00:20.373+00",6540230
"2021-08-02 06:00:30.375+00",6540230
"2021-08-02 06:00:40.373+00",6540230
"2021-08-02 06:00:50.373+00",6540230
"2021-08-02 06:01:00.373+00",6540230
"2021-08-02 06:01:10.373+00",6540230
"2021-08-02 06:01:20.373+00",6540230
"2021-08-02 06:01:30.373+00",6540230
"2021-08-02 06:01:40.373+00",6540230
"2021-08-02 06:01:50.373+00",6540230
"2021-08-02 06:02:00.373+00",6540230
"2021-08-02 06:02:10.382+00",6540230
"2021-08-02 06:02:20.373+00",6540230
"2021-08-02 06:02:30.373+00",6540230
"2021-08-02 06:02:40.373+00",6540230
"2021-08-02 06:02:50.378+00",6540230
"2021-08-02 06:03:00.373+00",6540230
"2021-08-02 06:03:10.373+00",6540230
"2021-08-02 06:03:20.373+00",6540230
"2021-08-02 06:03:30.373+00",6540230
"2021-08-02 06:03:40.373+00",6540230
"2021-08-02 06:03:50.373+00",6540230
"2021-08-02 06:04:00.373+00",6540230
"2021-08-02 06:04:10.375+00",6540230
"2021-08-02 06:04:20.373+00",6540230
"2021-08-02 06:04:30.373+00",6540230
"2021-08-02 06:04:40.373+00",6540230
"2021-08-02 06:04:50.373+00",6540230
"2021-08-02 06:05:00.376+00",6540230
"2021-08-02 06:05:10.373+00",6540230
"2021-08-02 06:05:20.373+00",6540230
"2021-08-02 06:05:30.373+00",6540230
"2021-08-02 06:05:40.373+00",6540230
"2021-08-02 06:05:50.373+00",6540230
"2021-08-02 06:06:00.373+00",6540230
"2021-08-02 06:06:10.373+00",6540230
"2021-08-02 06:06:20.389+00",6540230
"2021-08-02 06:06:30.373+00",nan
"2021-08-02 06:12:00.373+00",60607
"2021-08-02 06:12:10.373+00",140610
"2021-08-02 06:12:20.373+00",220600
"2021-08-02 06:12:30.381+00",300612
"2021-08-02 06:12:40.373+00",380610
"2021-08-02 06:12:50.373+00",460605
"2021-08-02 06:13:00.373+00",540610
"2021-08-02 06:13:10.373+00",620605
"2021-08-02 06:13:20.373+00",700605
"2021-08-02 06:13:30.373+00",780603
"2021-08-02 06:13:40.373+00",860609
"2021-08-02 06:13:50.373+00",940604
"2021-08-02 06:14:00.373+00",1020609
"2021-08-02 06:14:10.373+00",1100609
"2021-08-02 06:14:20.373+00",1180607
"2021-08-02 06:14:30.373+00",1260611
"2021-08-02 06:14:40.376+00",1340610
"2021-08-02 06:14:50.373+00",1420605
"2021-08-02 06:15:00.373+00",1500611
"2021-08-02 06:15:10.373+00",1580609
"2021-08-02 06:15:20.373+00",1660610
"2021-08-02 06:15:30.373+00",1740609
"2021-08-02 06:15:40.373+00",1820605
"2021-08-02 06:15:50.373+00",1900609
"2021-08-02 06:16:00.373+00",1980607
"2021-08-02 06:16:10.373+00",2060606
"2021-08-02 06:16:20.373+00",2140609
"2021-08-02 06:16:30.373+00",2220601
"2021-08-02 06:16:40.373+00",2300612
"2021-08-02 06:16:50.373+00",2380609
"2021-08-02 06:17:00.373+00",2380609
"2021-08-02 06:17:10.381+00",2380609
"2021-08-02 06:17:20.373+00",2380609
"2021-08-02 06:17:30.373+00",2380609
"2021-08-02 06:17:40.373+00",2380609
"2021-08-02 06:17:50.373+00",2380609
"2021-08-02 06:18:00.373+00",2380609
"2021-08-02 06:18:10.373+00",2380609
"2021-08-02 06:18:20.373+00",2380609
"2021-08-02 06:18:30.373+00",2380609
"2021-08-02 06:18:40.373+00",2380609
"2021-08-02 06:18:50.373+00",2380609
"2021-08-02 06:19:00.373+00",2380609
"2021-08-02 06:19:10.373+00",2380609
"2021-08-02 06:19:20.373+00",2380609
"2021-08-02 06:19:30.373+00",2380609
"2021-08-02 06:19:40.373+00",2380609
"2021-08-02 06:19:50.373+00",2380609
"2021-08-02 06:20:00.373+00",2380609
"2021-08-02 06:20:10.373+00",2380609
"2021-08-02 06:20:20.373+00",2380609
"2021-08-02 06:20:30.373+00",2380609
"2021-08-02 06:20:40.373+00",2380609
"2021-08-02 06:20:50.373+00",2380609
"2021-08-02 06:21:00.373+00",2380609
"2021-08-02 06:21:10.373+00",2380609
"2021-08-02 06:21:20.373+00",2380609
"2021-08-02 06:21:30.373+00",2380609
"2021-08-02 06:21:40.373+00",2380609
"2021-08-02 06:21:50.373+00",nan
"2021-08-02 06:26:10.373+00",132
"2021-08-02 06:26:20.373+00",10131
"2021-08-02 06:26:30.373+00",20131
"2021-08-02 06:26:40.392+00",30132
"2021-08-02 06:26:50.373+00",40131
"2021-08-02 06:27:00.382+00",50131
"2021-08-02 06:27:10.373+00",60130
"2021-08-02 06:27:20.373+00",70131
"2021-08-02 06:27:30.373+00",80131
"2021-08-02 06:27:40.373+00",90131
"2021-08-02 06:27:50.373+00",100130
"2021-08-02 06:28:00.373+00",110131
"2021-08-02 06:28:10.373+00",120131
"2021-08-02 06:28:20.373+00",130131
"2021-08-02 06:28:30.373+00",140131
"2021-08-02 06:28:40.375+00",150131
"2021-08-02 06:28:50.373+00",160130
"2021-08-02 06:29:00.373+00",170131
